epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1651820554516,2022-05-06T10.02.34.516,0.000,-0.939,0.058,0.384
1651820554555,2022-05-06T10.02.34.555,0.039,-0.934,0.054,0.390
1651820554595,2022-05-06T10.02.34.595,0.079,-0.932,0.065,0.384
1651820554636,2022-05-06T10.02.34.636,0.120,-0.947,0.067,0.383
1651820554675,2022-05-06T10.02.34.675,0.159,-0.921,0.061,0.396
1651820554716,2022-05-06T10.02.34.716,0.200,-0.924,0.058,0.391
1651820554756,2022-05-06T10.02.34.756,0.240,-0.937,0.053,0.390
1651820554796,2022-05-06T10.02.34.796,0.280,-0.933,0.069,0.393
1651820554837,2022-05-06T10.02.34.837,0.321,-0.934,0.061,0.389
1651820554876,2022-05-06T10.02.34.876,0.360,-0.941,0.061,0.384
1651820554916,2022-05-06T10.02.34.916,0.400,-0.939,0.055,0.381
1651820554957,2022-05-06T10.02.34.957,0.441,-0.937,0.062,0.386
1651820554996,2022-05-06T10.02.34.996,0.480,-0.929,0.057,0.394
1651820555037,2022-05-06T10.02.35.037,0.521,-0.933,0.057,0.390
1651820555077,2022-05-06T10.02.35.077,0.561,-0.935,0.055,0.389
1651820555116,2022-05-06T10.02.35.116,0.600,-0.939,0.052,0.391
1651820555157,2022-05-06T10.02.35.157,0.641,-0.933,0.069,0.390
1651820555197,2022-05-06T10.02.35.197,0.681,-0.932,0.062,0.391
1651820555238,2022-05-06T10.02.35.238,0.722,-0.937,0.063,0.389
1651820555277,2022-05-06T10.02.35.277,0.761,-0.937,0.059,0.389
1651820555317,2022-05-06T10.02.35.317,0.801,-0.919,0.047,0.399
1651820555358,2022-05-06T10.02.35.358,0.842,-0.933,0.063,0.396
1651820555398,2022-05-06T10.02.35.398,0.882,-0.936,0.062,0.394
1651820555439,2022-05-06T10.02.35.439,0.923,-0.929,0.047,0.397
1651820555478,2022-05-06T10.02.35.478,0.962,-0.938,0.052,0.395
1651820555518,2022-05-06T10.02.35.518,1.002,-0.938,0.056,0.393
1651820555559,2022-05-06T10.02.35.559,1.043,-0.921,0.062,0.392
1651820555598,2022-05-06T10.02.35.598,1.082,-0.939,0.055,0.393
1651820555639,2022-05-06T10.02.35.639,1.123,-0.929,0.048,0.409
1651820555679,2022-05-06T10.02.35.679,1.163,-0.928,0.052,0.406
1651820555718,2022-05-06T10.02.35.718,1.202,-0.931,0.052,0.401
1651820555759,2022-05-06T10.02.35.759,1.243,-0.930,0.037,0.397
1651820555799,2022-05-06T10.02.35.799,1.283,-0.929,0.037,0.395
1651820555840,2022-05-06T10.02.35.840,1.324,-0.931,0.042,0.401
1651820555880,2022-05-06T10.02.35.880,1.364,-0.932,0.042,0.397
1651820555919,2022-05-06T10.02.35.919,1.403,-0.932,0.044,0.397
1651820555960,2022-05-06T10.02.35.960,1.444,-0.933,0.042,0.397
1651820556000,2022-05-06T10.02.36.000,1.484,-0.934,0.041,0.394
1651820556041,2022-05-06T10.02.36.041,1.525,-0.934,0.041,0.391
1651820556080,2022-05-06T10.02.36.080,1.564,-0.937,0.040,0.390
1651820556120,2022-05-06T10.02.36.120,1.604,-0.940,0.045,0.390
1651820556161,2022-05-06T10.02.36.161,1.645,-0.927,0.046,0.396
1651820556200,2022-05-06T10.02.36.200,1.684,-0.935,0.044,0.396
1651820556241,2022-05-06T10.02.36.241,1.725,-0.936,0.042,0.393
1651820556281,2022-05-06T10.02.36.281,1.765,-0.933,0.042,0.386
1651820556320,2022-05-06T10.02.36.320,1.804,-0.936,0.039,0.382
1651820556361,2022-05-06T10.02.36.361,1.845,-0.935,0.048,0.380
1651820556401,2022-05-06T10.02.36.401,1.885,-0.944,0.046,0.384
1651820556441,2022-05-06T10.02.36.441,1.925,-0.942,0.036,0.389
1651820556482,2022-05-06T10.02.36.482,1.966,-0.943,0.045,0.387
1651820556521,2022-05-06T10.02.36.521,2.005,-0.933,0.042,0.384
1651820556562,2022-05-06T10.02.36.562,2.046,-0.929,0.039,0.380
1651820556602,2022-05-06T10.02.36.602,2.086,-0.938,0.040,0.379
1651820556641,2022-05-06T10.02.36.641,2.125,-0.936,0.047,0.384
1651820556682,2022-05-06T10.02.36.682,2.166,-0.938,0.049,0.384
1651820556722,2022-05-06T10.02.36.722,2.206,-0.945,0.049,0.378
1651820556763,2022-05-06T10.02.36.763,2.247,-0.943,0.053,0.376
1651820556802,2022-05-06T10.02.36.802,2.286,-0.940,0.051,0.378
1651820556843,2022-05-06T10.02.36.843,2.327,-0.941,0.049,0.375
1651820556883,2022-05-06T10.02.36.883,2.367,-0.935,0.050,0.376
1651820556922,2022-05-06T10.02.36.922,2.406,-0.936,0.050,0.375
1651820556963,2022-05-06T10.02.36.963,2.447,-0.941,0.047,0.377
1651820557003,2022-05-06T10.02.37.003,2.487,-0.941,0.053,0.381
1651820557043,2022-05-06T10.02.37.043,2.527,-0.939,0.054,0.379
1651820557084,2022-05-06T10.02.37.084,2.568,-0.943,0.056,0.374
1651820557123,2022-05-06T10.02.37.123,2.607,-0.944,0.052,0.375
1651820557164,2022-05-06T10.02.37.164,2.648,-0.932,0.050,0.382
1651820557204,2022-05-06T10.02.37.204,2.688,-0.928,0.049,0.384
1651820557243,2022-05-06T10.02.37.243,2.727,-0.940,0.053,0.380
1651820557284,2022-05-06T10.02.37.284,2.768,-0.943,0.052,0.375
1651820557324,2022-05-06T10.02.37.324,2.808,-0.941,0.051,0.376
1651820557365,2022-05-06T10.02.37.365,2.849,-0.938,0.048,0.378
1651820557404,2022-05-06T10.02.37.404,2.888,-0.936,0.048,0.377
1651820557444,2022-05-06T10.02.37.444,2.928,-0.941,0.047,0.372
1651820557485,2022-05-06T10.02.37.485,2.969,-0.945,0.045,0.371
1651820557525,2022-05-06T10.02.37.525,3.009,-0.942,0.051,0.372
1651820557566,2022-05-06T10.02.37.566,3.050,-0.941,0.048,0.373
1651820557605,2022-05-06T10.02.37.605,3.089,-0.941,0.048,0.372
1651820557645,2022-05-06T10.02.37.645,3.129,-0.942,0.046,0.373
1651820557686,2022-05-06T10.02.37.686,3.170,-0.942,0.043,0.372
1651820557725,2022-05-06T10.02.37.725,3.209,-0.943,0.043,0.369
1651820557765,2022-05-06T10.02.37.765,3.249,-0.941,0.045,0.370
1651820557806,2022-05-06T10.02.37.806,3.290,-0.940,0.047,0.373
1651820557845,2022-05-06T10.02.37.845,3.329,-0.941,0.045,0.370
1651820557886,2022-05-06T10.02.37.886,3.370,-0.946,0.042,0.371
1651820557926,2022-05-06T10.02.37.926,3.410,-0.940,0.045,0.374
1651820557965,2022-05-06T10.02.37.965,3.449,-0.938,0.043,0.369
1651820558006,2022-05-06T10.02.38.006,3.490,-0.947,0.037,0.368
1651820558046,2022-05-06T10.02.38.046,3.530,-0.948,0.045,0.368
1651820558087,2022-05-06T10.02.38.087,3.571,-0.941,0.047,0.370
1651820558127,2022-05-06T10.02.38.127,3.611,-0.940,0.045,0.370
1651820558166,2022-05-06T10.02.38.166,3.650,-0.947,0.038,0.366
1651820558207,2022-05-06T10.02.38.207,3.691,-0.942,0.043,0.368
1651820558247,2022-05-06T10.02.38.247,3.731,-0.940,0.040,0.370
1651820558288,2022-05-06T10.02.38.288,3.772,-0.944,0.036,0.367
