epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681804165574,2023-04-18T10.49.25.574,0.000,0.000,-0.001,0.025
1681804165585,2023-04-18T10.49.25.585,0.011,0.000,-0.001,0.032
1681804165595,2023-04-18T10.49.25.595,0.021,0.001,0.001,0.030
1681804165605,2023-04-18T10.49.25.605,0.031,-0.001,0.000,0.030
1681804165615,2023-04-18T10.49.25.615,0.041,-0.002,0.002,0.030
1681804165626,2023-04-18T10.49.25.626,0.052,-0.001,0.001,0.033
1681804165636,2023-04-18T10.49.25.636,0.062,-0.003,0.001,0.032
1681804165646,2023-04-18T10.49.25.646,0.072,-0.005,-0.002,0.030
1681804165656,2023-04-18T10.49.25.656,0.082,-0.002,0.000,0.033
1681804165667,2023-04-18T10.49.25.667,0.093,-0.002,0.004,0.033
1681804165675,2023-04-18T10.49.25.675,0.101,-0.002,0.001,0.034
1681804165686,2023-04-18T10.49.25.686,0.112,0.000,0.001,0.033
1681804165696,2023-04-18T10.49.25.696,0.122,-0.002,0.001,0.032
1681804165706,2023-04-18T10.49.25.706,0.132,-0.005,0.001,0.030
1681804165716,2023-04-18T10.49.25.716,0.142,-0.003,-0.003,0.030
1681804165727,2023-04-18T10.49.25.727,0.153,-0.002,-0.004,0.032
1681804165737,2023-04-18T10.49.25.737,0.163,-0.004,-0.003,0.031
1681804165747,2023-04-18T10.49.25.747,0.173,-0.002,-0.003,0.029
1681804165757,2023-04-18T10.49.25.757,0.183,0.000,-0.002,0.032
1681804165768,2023-04-18T10.49.25.768,0.194,0.001,0.000,0.033
1681804165778,2023-04-18T10.49.25.778,0.204,-0.002,0.003,0.033
1681804165787,2023-04-18T10.49.25.787,0.213,-0.001,0.001,0.032
1681804165797,2023-04-18T10.49.25.797,0.223,-0.001,0.001,0.032
1681804165807,2023-04-18T10.49.25.807,0.233,-0.001,0.001,0.034
1681804165817,2023-04-18T10.49.25.817,0.243,0.002,0.001,0.035
1681804165828,2023-04-18T10.49.25.828,0.254,0.000,0.000,0.033
1681804165838,2023-04-18T10.49.25.838,0.264,0.000,0.001,0.031
1681804165848,2023-04-18T10.49.25.848,0.274,0.000,0.000,0.032
1681804165859,2023-04-18T10.49.25.859,0.285,-0.002,0.000,0.031
1681804165869,2023-04-18T10.49.25.869,0.295,-0.003,-0.003,0.034
1681804165879,2023-04-18T10.49.25.879,0.305,-0.002,-0.002,0.031
1681804165889,2023-04-18T10.49.25.889,0.315,-0.003,-0.002,0.028
1681804165898,2023-04-18T10.49.25.898,0.324,-0.002,0.000,0.031
1681804165908,2023-04-18T10.49.25.908,0.334,-0.002,-0.003,0.030
1681804165919,2023-04-18T10.49.25.919,0.345,-0.002,0.000,0.030
1681804165929,2023-04-18T10.49.25.929,0.355,-0.003,0.001,0.032
1681804165939,2023-04-18T10.49.25.939,0.365,-0.002,-0.001,0.029
1681804165949,2023-04-18T10.49.25.949,0.375,-0.003,-0.003,0.030
1681804165960,2023-04-18T10.49.25.960,0.386,-0.001,-0.003,0.030
1681804165970,2023-04-18T10.49.25.970,0.396,-0.001,-0.002,0.028
1681804165980,2023-04-18T10.49.25.980,0.406,0.001,-0.001,0.031
1681804165990,2023-04-18T10.49.25.990,0.416,-0.001,0.002,0.033
1681804166001,2023-04-18T10.49.26.001,0.427,-0.001,0.005,0.033
1681804166009,2023-04-18T10.49.26.009,0.435,0.001,0.002,0.035
1681804166020,2023-04-18T10.49.26.020,0.446,0.000,-0.001,0.036
1681804166030,2023-04-18T10.49.26.030,0.456,-0.001,0.001,0.033
1681804166040,2023-04-18T10.49.26.040,0.466,0.000,0.000,0.030
1681804166050,2023-04-18T10.49.26.050,0.476,0.002,-0.002,0.033
1681804166061,2023-04-18T10.49.26.061,0.487,0.001,-0.003,0.032
1681804166071,2023-04-18T10.49.26.071,0.497,0.000,-0.002,0.031
1681804166081,2023-04-18T10.49.26.081,0.507,-0.002,-0.001,0.030
1681804166091,2023-04-18T10.49.26.091,0.517,-0.001,-0.002,0.030
1681804166102,2023-04-18T10.49.26.102,0.528,-0.002,-0.002,0.033
1681804166112,2023-04-18T10.49.26.112,0.538,-0.004,-0.002,0.031
1681804166121,2023-04-18T10.49.26.121,0.547,-0.003,-0.003,0.031
1681804166131,2023-04-18T10.49.26.131,0.557,-0.001,0.000,0.032
1681804166141,2023-04-18T10.49.26.141,0.567,0.000,0.001,0.033
1681804166151,2023-04-18T10.49.26.151,0.577,0.003,0.003,0.035
1681804166162,2023-04-18T10.49.26.162,0.588,-0.002,0.003,0.035
1681804166172,2023-04-18T10.49.26.172,0.598,-0.001,0.002,0.034
1681804166182,2023-04-18T10.49.26.182,0.608,0.000,0.000,0.033
1681804166192,2023-04-18T10.49.26.192,0.618,0.000,0.000,0.030
1681804166203,2023-04-18T10.49.26.203,0.629,0.000,0.000,0.031
1681804166213,2023-04-18T10.49.26.213,0.639,-0.004,0.000,0.033
1681804166222,2023-04-18T10.49.26.222,0.648,-0.003,0.002,0.032
1681804166232,2023-04-18T10.49.26.232,0.658,-0.001,0.003,0.036
1681804166242,2023-04-18T10.49.26.242,0.668,-0.004,0.002,0.037
1681804166253,2023-04-18T10.49.26.253,0.679,-0.001,0.000,0.033
1681804166263,2023-04-18T10.49.26.263,0.689,-0.002,-0.002,0.030
1681804166273,2023-04-18T10.49.26.273,0.699,-0.003,-0.003,0.031
1681804166283,2023-04-18T10.49.26.283,0.709,0.000,-0.002,0.030
1681804166294,2023-04-18T10.49.26.294,0.720,-0.002,-0.002,0.029
1681804166304,2023-04-18T10.49.26.304,0.730,-0.001,-0.001,0.032
1681804166314,2023-04-18T10.49.26.314,0.740,0.000,0.000,0.030
1681804166324,2023-04-18T10.49.26.324,0.750,-0.001,-0.002,0.031
1681804166333,2023-04-18T10.49.26.333,0.759,-0.002,-0.002,0.032
1681804166343,2023-04-18T10.49.26.343,0.769,-0.002,-0.001,0.032
1681804166354,2023-04-18T10.49.26.354,0.780,0.001,-0.001,0.031
1681804166364,2023-04-18T10.49.26.364,0.790,0.003,-0.001,0.034
1681804166374,2023-04-18T10.49.26.374,0.800,0.003,0.001,0.034
1681804166384,2023-04-18T10.49.26.384,0.810,-0.001,0.004,0.035
1681804166395,2023-04-18T10.49.26.395,0.821,0.000,0.003,0.035
1681804166405,2023-04-18T10.49.26.405,0.831,-0.001,0.003,0.036
1681804166415,2023-04-18T10.49.26.415,0.841,-0.003,-0.002,0.034
1681804166425,2023-04-18T10.49.26.425,0.851,-0.001,0.000,0.032
1681804166436,2023-04-18T10.49.26.436,0.862,-0.002,-0.001,0.031
1681804166446,2023-04-18T10.49.26.446,0.872,-0.001,0.001,0.028
1681804166455,2023-04-18T10.49.26.455,0.881,0.000,0.002,0.028
1681804166465,2023-04-18T10.49.26.465,0.891,-0.003,0.000,0.034
1681804166475,2023-04-18T10.49.26.475,0.901,-0.002,-0.001,0.034
1681804166485,2023-04-18T10.49.26.485,0.911,0.000,0.001,0.035
1681804166496,2023-04-18T10.49.26.496,0.922,0.000,0.000,0.034
1681804166506,2023-04-18T10.49.26.506,0.932,-0.004,0.002,0.030
1681804166516,2023-04-18T10.49.26.516,0.942,-0.002,-0.001,0.031
1681804166526,2023-04-18T10.49.26.526,0.952,-0.003,-0.001,0.030
1681804166537,2023-04-18T10.49.26.537,0.963,0.000,0.000,0.030
1681804166547,2023-04-18T10.49.26.547,0.973,0.002,0.001,0.032
1681804166556,2023-04-18T10.49.26.556,0.982,0.000,0.003,0.035
1681804166566,2023-04-18T10.49.26.566,0.992,0.000,0.000,0.034
1681804166576,2023-04-18T10.49.26.576,1.002,-0.001,0.000,0.033
1681804166587,2023-04-18T10.49.26.587,1.013,0.001,-0.001,0.032
1681804166597,2023-04-18T10.49.26.597,1.023,0.000,-0.002,0.033
1681804166607,2023-04-18T10.49.26.607,1.033,0.000,0.000,0.033
1681804166617,2023-04-18T10.49.26.617,1.043,-0.002,0.002,0.032
1681804166628,2023-04-18T10.49.26.628,1.054,-0.002,0.001,0.032
1681804166638,2023-04-18T10.49.26.638,1.064,0.000,-0.001,0.030
1681804166648,2023-04-18T10.49.26.648,1.074,-0.001,-0.004,0.031
1681804166658,2023-04-18T10.49.26.658,1.084,-0.004,-0.002,0.028
1681804166667,2023-04-18T10.49.26.667,1.093,-0.003,-0.002,0.030
1681804166677,2023-04-18T10.49.26.677,1.103,-0.003,0.001,0.032
1681804166688,2023-04-18T10.49.26.688,1.114,-0.002,0.001,0.033
1681804166698,2023-04-18T10.49.26.698,1.124,0.000,0.001,0.034
1681804166708,2023-04-18T10.49.26.708,1.134,-0.003,0.000,0.035
1681804166718,2023-04-18T10.49.26.718,1.144,-0.002,0.003,0.033
1681804166729,2023-04-18T10.49.26.729,1.155,-0.001,-0.002,0.032
1681804166739,2023-04-18T10.49.26.739,1.165,0.000,-0.002,0.032
1681804166749,2023-04-18T10.49.26.749,1.175,-0.001,0.000,0.033
1681804166759,2023-04-18T10.49.26.759,1.185,0.000,0.002,0.034
1681804166770,2023-04-18T10.49.26.770,1.196,0.002,0.001,0.032
1681804166778,2023-04-18T10.49.26.778,1.204,0.001,0.000,0.033
1681804166789,2023-04-18T10.49.26.789,1.215,-0.001,0.001,0.035
1681804166799,2023-04-18T10.49.26.799,1.225,0.002,-0.001,0.035
1681804166809,2023-04-18T10.49.26.809,1.235,0.004,-0.001,0.034
1681804166819,2023-04-18T10.49.26.819,1.245,0.001,-0.001,0.032
1681804166830,2023-04-18T10.49.26.830,1.256,-0.001,-0.001,0.033
1681804166840,2023-04-18T10.49.26.840,1.266,-0.001,0.000,0.030
1681804166850,2023-04-18T10.49.26.850,1.276,-0.002,0.001,0.031
1681804166860,2023-04-18T10.49.26.860,1.286,-0.002,0.000,0.032
1681804166871,2023-04-18T10.49.26.871,1.297,-0.001,-0.001,0.032
1681804166881,2023-04-18T10.49.26.881,1.307,-0.002,-0.003,0.031
1681804166891,2023-04-18T10.49.26.891,1.317,-0.002,0.000,0.030
1681804166900,2023-04-18T10.49.26.900,1.326,-0.002,0.000,0.033
1681804166910,2023-04-18T10.49.26.910,1.336,-0.002,0.003,0.035
1681804166921,2023-04-18T10.49.26.921,1.347,-0.001,0.002,0.036
1681804166931,2023-04-18T10.49.26.931,1.357,0.000,0.002,0.035
1681804166941,2023-04-18T10.49.26.941,1.367,0.002,0.001,0.035
1681804166951,2023-04-18T10.49.26.951,1.377,0.000,-0.001,0.034
1681804166962,2023-04-18T10.49.26.962,1.388,0.000,0.002,0.034
1681804166972,2023-04-18T10.49.26.972,1.398,-0.004,0.000,0.033
1681804166982,2023-04-18T10.49.26.982,1.408,-0.002,-0.002,0.030
1681804166992,2023-04-18T10.49.26.992,1.418,-0.002,0.000,0.032
1681804167001,2023-04-18T10.49.27.001,1.427,-0.001,0.000,0.033
1681804167011,2023-04-18T10.49.27.011,1.437,-0.001,0.000,0.029
1681804167022,2023-04-18T10.49.27.022,1.448,0.000,0.001,0.033
1681804167032,2023-04-18T10.49.27.032,1.458,-0.004,-0.001,0.030
1681804167042,2023-04-18T10.49.27.042,1.468,-0.002,-0.001,0.030
1681804167052,2023-04-18T10.49.27.052,1.478,0.000,0.000,0.030
1681804167063,2023-04-18T10.49.27.063,1.489,0.003,0.000,0.033
1681804167073,2023-04-18T10.49.27.073,1.499,0.000,0.000,0.033
1681804167083,2023-04-18T10.49.27.083,1.509,-0.002,0.001,0.036
1681804167093,2023-04-18T10.49.27.093,1.519,-0.001,-0.001,0.034
1681804167104,2023-04-18T10.49.27.104,1.530,-0.001,0.001,0.031
1681804167112,2023-04-18T10.49.27.112,1.538,0.000,0.001,0.034
1681804167123,2023-04-18T10.49.27.123,1.549,0.001,0.001,0.036
1681804167133,2023-04-18T10.49.27.133,1.559,-0.002,0.004,0.037
1681804167143,2023-04-18T10.49.27.143,1.569,-0.002,0.002,0.035
1681804167153,2023-04-18T10.49.27.153,1.579,-0.002,0.001,0.034
1681804167164,2023-04-18T10.49.27.164,1.590,-0.002,0.002,0.034
1681804167174,2023-04-18T10.49.27.174,1.600,-0.003,0.001,0.032
1681804167184,2023-04-18T10.49.27.184,1.610,-0.001,-0.001,0.032
1681804167194,2023-04-18T10.49.27.194,1.620,-0.002,-0.001,0.031
1681804167205,2023-04-18T10.49.27.205,1.631,-0.002,-0.002,0.032
1681804167215,2023-04-18T10.49.27.215,1.641,-0.002,-0.002,0.033
1681804167224,2023-04-18T10.49.27.224,1.650,-0.004,0.000,0.032
1681804167234,2023-04-18T10.49.27.234,1.660,-0.002,0.000,0.030
1681804167244,2023-04-18T10.49.27.244,1.670,0.003,0.001,0.034
1681804167255,2023-04-18T10.49.27.255,1.681,0.001,-0.001,0.033
