epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681804165665,2023-04-18T10.49.25.665,0.000,1.000,-0.030,-0.006,0.000
1681804165675,2023-04-18T10.49.25.675,0.010,1.000,-0.030,-0.006,0.000
1681804165686,2023-04-18T10.49.25.686,0.021,1.000,-0.030,-0.006,0.000
1681804165696,2023-04-18T10.49.25.696,0.031,1.000,-0.030,-0.006,0.000
1681804165706,2023-04-18T10.49.25.706,0.041,1.000,-0.030,-0.006,0.000
1681804165716,2023-04-18T10.49.25.716,0.051,1.000,-0.030,-0.006,0.000
1681804165727,2023-04-18T10.49.25.727,0.062,1.000,-0.030,-0.006,0.000
1681804165737,2023-04-18T10.49.25.737,0.072,1.000,-0.030,-0.006,0.000
1681804165747,2023-04-18T10.49.25.747,0.082,1.000,-0.030,-0.006,0.000
1681804165757,2023-04-18T10.49.25.757,0.092,1.000,-0.030,-0.006,0.000
1681804165768,2023-04-18T10.49.25.768,0.103,1.000,-0.030,-0.006,0.000
1681804165778,2023-04-18T10.49.25.778,0.113,1.000,-0.030,-0.006,0.000
1681804165787,2023-04-18T10.49.25.787,0.122,1.000,-0.030,-0.006,0.000
1681804165797,2023-04-18T10.49.25.797,0.132,1.000,-0.030,-0.006,0.000
1681804165807,2023-04-18T10.49.25.807,0.142,1.000,-0.030,-0.006,0.000
1681804165817,2023-04-18T10.49.25.817,0.152,1.000,-0.030,-0.006,0.000
1681804165828,2023-04-18T10.49.25.828,0.163,1.000,-0.030,-0.006,0.000
1681804165838,2023-04-18T10.49.25.838,0.173,1.000,-0.030,-0.006,0.000
1681804165848,2023-04-18T10.49.25.848,0.183,1.000,-0.030,-0.006,0.000
1681804165859,2023-04-18T10.49.25.859,0.194,1.000,-0.030,-0.006,0.000
1681804165869,2023-04-18T10.49.25.869,0.204,1.000,-0.030,-0.006,0.000
1681804165879,2023-04-18T10.49.25.879,0.214,1.000,-0.030,-0.006,0.000
1681804165888,2023-04-18T10.49.25.888,0.223,1.000,-0.030,-0.006,0.000
1681804165898,2023-04-18T10.49.25.898,0.233,1.000,-0.030,-0.006,0.000
1681804165908,2023-04-18T10.49.25.908,0.243,1.000,-0.030,-0.006,0.000
1681804165919,2023-04-18T10.49.25.919,0.254,1.000,-0.030,-0.006,0.000
1681804165929,2023-04-18T10.49.25.929,0.264,1.000,-0.030,-0.006,0.000
