epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681839389679,2023-04-18T20.36.29.679,0.000,0.001,-0.001,0.027
1681839389689,2023-04-18T20.36.29.689,0.010,-0.001,-0.001,0.036
1681839389699,2023-04-18T20.36.29.699,0.020,-0.005,0.001,0.036
1681839389710,2023-04-18T20.36.29.710,0.031,-0.010,0.000,0.034
1681839389720,2023-04-18T20.36.29.720,0.041,-0.016,0.000,0.031
1681839389730,2023-04-18T20.36.29.730,0.051,-0.014,-0.001,0.031
1681839389740,2023-04-18T20.36.29.740,0.061,-0.016,-0.001,0.032
1681839389751,2023-04-18T20.36.29.751,0.072,-0.020,-0.002,0.031
1681839389759,2023-04-18T20.36.29.759,0.080,-0.022,-0.002,0.027
1681839389770,2023-04-18T20.36.29.770,0.091,-0.020,0.000,0.030
1681839389780,2023-04-18T20.36.29.780,0.101,-0.019,0.002,0.035
1681839389790,2023-04-18T20.36.29.790,0.111,-0.020,0.002,0.034
1681839389800,2023-04-18T20.36.29.800,0.121,-0.022,0.001,0.030
1681839389811,2023-04-18T20.36.29.811,0.132,-0.022,0.001,0.030
1681839389821,2023-04-18T20.36.29.821,0.142,-0.019,0.001,0.034
1681839389831,2023-04-18T20.36.29.831,0.152,-0.020,-0.001,0.032
1681839389841,2023-04-18T20.36.29.841,0.162,-0.019,0.000,0.031
1681839389852,2023-04-18T20.36.29.852,0.173,-0.015,-0.002,0.033
1681839389862,2023-04-18T20.36.29.862,0.183,-0.012,-0.001,0.031
1681839389871,2023-04-18T20.36.29.871,0.192,-0.014,0.000,0.031
1681839389881,2023-04-18T20.36.29.881,0.202,-0.016,0.000,0.031
1681839389891,2023-04-18T20.36.29.891,0.212,-0.014,0.001,0.032
1681839389901,2023-04-18T20.36.29.901,0.222,-0.015,-0.001,0.033
1681839389912,2023-04-18T20.36.29.912,0.233,-0.011,-0.001,0.033
1681839389922,2023-04-18T20.36.29.922,0.243,-0.003,-0.002,0.034
1681839389932,2023-04-18T20.36.29.932,0.253,-0.003,0.000,0.031
1681839389942,2023-04-18T20.36.29.942,0.263,-0.007,0.004,0.032
1681839389953,2023-04-18T20.36.29.953,0.274,-0.010,-0.002,0.033
1681839389963,2023-04-18T20.36.29.963,0.284,-0.011,0.001,0.032
1681839389973,2023-04-18T20.36.29.973,0.294,-0.011,-0.007,0.029
1681839389982,2023-04-18T20.36.29.982,0.303,-0.013,-0.003,0.032
1681839389992,2023-04-18T20.36.29.992,0.313,-0.008,-0.002,0.030
1681839390003,2023-04-18T20.36.30.003,0.324,-0.009,-0.002,0.031
1681839390013,2023-04-18T20.36.30.013,0.334,-0.013,-0.001,0.033
1681839390023,2023-04-18T20.36.30.023,0.344,-0.017,0.002,0.031
1681839390033,2023-04-18T20.36.30.033,0.354,-0.022,0.001,0.032
1681839390044,2023-04-18T20.36.30.044,0.365,-0.023,0.000,0.030
1681839390054,2023-04-18T20.36.30.054,0.375,-0.020,0.002,0.030
1681839390064,2023-04-18T20.36.30.064,0.385,-0.018,0.004,0.037
1681839390074,2023-04-18T20.36.30.074,0.395,-0.017,-0.001,0.032
1681839390085,2023-04-18T20.36.30.085,0.406,-0.016,0.000,0.031
1681839390093,2023-04-18T20.36.30.093,0.414,-0.019,-0.001,0.030
1681839390104,2023-04-18T20.36.30.104,0.425,-0.016,-0.001,0.029
1681839390114,2023-04-18T20.36.30.114,0.435,-0.011,-0.001,0.033
1681839390124,2023-04-18T20.36.30.124,0.445,-0.009,-0.002,0.036
1681839390134,2023-04-18T20.36.30.134,0.455,-0.008,0.000,0.033
1681839390145,2023-04-18T20.36.30.145,0.466,-0.006,-0.001,0.032
1681839390155,2023-04-18T20.36.30.155,0.476,-0.004,-0.001,0.032
1681839390165,2023-04-18T20.36.30.165,0.486,-0.006,-0.001,0.034
1681839390175,2023-04-18T20.36.30.175,0.496,-0.006,-0.003,0.031
1681839390186,2023-04-18T20.36.30.186,0.507,-0.007,-0.003,0.033
1681839390196,2023-04-18T20.36.30.196,0.517,-0.010,-0.002,0.032
1681839390205,2023-04-18T20.36.30.205,0.526,-0.012,-0.002,0.031
1681839390215,2023-04-18T20.36.30.215,0.536,-0.011,0.003,0.032
1681839390225,2023-04-18T20.36.30.225,0.546,-0.015,-0.004,0.030
1681839390235,2023-04-18T20.36.30.235,0.556,-0.014,-0.003,0.031
1681839390246,2023-04-18T20.36.30.246,0.567,-0.011,0.005,0.034
1681839390256,2023-04-18T20.36.30.256,0.577,-0.014,0.001,0.033
1681839390266,2023-04-18T20.36.30.266,0.587,-0.018,0.000,0.032
1681839390276,2023-04-18T20.36.30.276,0.597,-0.019,-0.001,0.030
1681839390287,2023-04-18T20.36.30.287,0.608,-0.011,0.022,0.031
1681839390297,2023-04-18T20.36.30.297,0.618,-0.012,-0.003,0.034
1681839390306,2023-04-18T20.36.30.306,0.627,-0.010,0.003,0.038
1681839390317,2023-04-18T20.36.30.317,0.638,-0.022,0.002,0.028
1681839390326,2023-04-18T20.36.30.326,0.647,0.002,-0.008,0.035
1681839390336,2023-04-18T20.36.30.336,0.657,-0.010,-0.007,0.029
1681839390347,2023-04-18T20.36.30.347,0.668,-0.016,0.002,0.034
1681839390357,2023-04-18T20.36.30.357,0.678,-0.005,0.004,0.035
1681839390367,2023-04-18T20.36.30.367,0.688,-0.007,0.009,0.035
1681839390378,2023-04-18T20.36.30.378,0.699,-0.006,0.046,0.039
1681839390388,2023-04-18T20.36.30.388,0.709,-0.021,0.042,0.062
1681839390398,2023-04-18T20.36.30.398,0.719,-0.017,0.000,0.067
1681839390408,2023-04-18T20.36.30.408,0.729,-0.033,-0.063,0.075
1681839390417,2023-04-18T20.36.30.417,0.738,-0.033,-0.064,0.105
1681839390427,2023-04-18T20.36.30.427,0.748,-0.033,-0.013,0.117
1681839390438,2023-04-18T20.36.30.438,0.759,-0.016,0.004,0.123
1681839390448,2023-04-18T20.36.30.448,0.769,0.004,0.014,0.137
1681839390458,2023-04-18T20.36.30.458,0.779,0.016,0.006,0.134
1681839390468,2023-04-18T20.36.30.468,0.789,0.007,0.011,0.136
1681839390479,2023-04-18T20.36.30.479,0.800,-0.001,0.004,0.147
1681839390489,2023-04-18T20.36.30.489,0.810,-0.002,-0.031,0.169
1681839390499,2023-04-18T20.36.30.499,0.820,0.008,-0.052,0.206
1681839390509,2023-04-18T20.36.30.509,0.830,0.015,-0.021,0.244
1681839390520,2023-04-18T20.36.30.520,0.841,0.015,0.000,0.224
1681839390528,2023-04-18T20.36.30.528,0.849,-0.019,-0.028,0.131
1681839390539,2023-04-18T20.36.30.539,0.860,-0.023,-0.051,0.086
1681839390549,2023-04-18T20.36.30.549,0.870,-0.002,-0.051,0.098
1681839390559,2023-04-18T20.36.30.559,0.880,-0.005,-0.046,0.099
1681839390569,2023-04-18T20.36.30.569,0.890,-0.003,-0.028,0.112
1681839390580,2023-04-18T20.36.30.580,0.901,0.008,-0.017,0.131
1681839390590,2023-04-18T20.36.30.590,0.911,0.014,-0.021,0.132
1681839390600,2023-04-18T20.36.30.600,0.921,0.011,-0.020,0.098
1681839390610,2023-04-18T20.36.30.610,0.931,0.003,-0.021,0.061
1681839390621,2023-04-18T20.36.30.621,0.942,0.007,-0.022,0.042
1681839390631,2023-04-18T20.36.30.631,0.952,0.004,-0.018,0.028
1681839390641,2023-04-18T20.36.30.641,0.962,0.009,-0.037,0.000
1681839390650,2023-04-18T20.36.30.650,0.971,-0.003,-0.039,0.003
1681839390660,2023-04-18T20.36.30.660,0.981,-0.001,-0.014,0.028
1681839390670,2023-04-18T20.36.30.670,0.991,-0.002,0.001,0.042
1681839390681,2023-04-18T20.36.30.681,1.002,0.004,0.012,0.039
1681839390691,2023-04-18T20.36.30.691,1.012,0.004,0.012,0.021
1681839390701,2023-04-18T20.36.30.701,1.022,0.009,-0.011,-0.011
1681839390711,2023-04-18T20.36.30.711,1.032,0.000,-0.038,-0.041
1681839390722,2023-04-18T20.36.30.722,1.043,-0.005,-0.023,-0.046
1681839390732,2023-04-18T20.36.30.732,1.053,-0.008,-0.002,-0.051
1681839390741,2023-04-18T20.36.30.741,1.062,0.001,-0.005,-0.055
1681839390751,2023-04-18T20.36.30.751,1.072,0.008,-0.010,-0.056
1681839390761,2023-04-18T20.36.30.761,1.082,-0.004,-0.009,-0.056
1681839390772,2023-04-18T20.36.30.772,1.093,-0.007,0.002,-0.035
1681839390782,2023-04-18T20.36.30.782,1.103,0.001,0.018,-0.009
1681839390792,2023-04-18T20.36.30.792,1.113,-0.006,0.025,-0.039
1681839390802,2023-04-18T20.36.30.802,1.123,-0.011,0.017,-0.052
1681839390813,2023-04-18T20.36.30.813,1.134,-0.012,0.034,-0.050
1681839390823,2023-04-18T20.36.30.823,1.144,-0.006,0.047,-0.032
1681839390833,2023-04-18T20.36.30.833,1.154,-0.013,0.029,-0.028
1681839390843,2023-04-18T20.36.30.843,1.164,-0.011,0.015,-0.066
1681839390852,2023-04-18T20.36.30.852,1.173,0.002,0.034,-0.125
1681839390862,2023-04-18T20.36.30.862,1.183,0.004,0.002,-0.021
1681839390873,2023-04-18T20.36.30.873,1.194,-0.011,-0.003,-0.048
1681839390884,2023-04-18T20.36.30.884,1.205,-0.017,-0.013,-0.072
1681839390893,2023-04-18T20.36.30.893,1.214,-0.010,0.028,-0.069
1681839390903,2023-04-18T20.36.30.903,1.224,-0.005,0.048,-0.042
1681839390914,2023-04-18T20.36.30.914,1.235,-0.013,0.027,-0.047
1681839390924,2023-04-18T20.36.30.924,1.245,-0.002,0.035,-0.062
1681839390934,2023-04-18T20.36.30.934,1.255,0.006,0.042,-0.051
1681839390944,2023-04-18T20.36.30.944,1.265,0.000,-0.002,-0.072
1681839390955,2023-04-18T20.36.30.955,1.276,-0.008,-0.011,-0.060
1681839390965,2023-04-18T20.36.30.965,1.286,-0.016,-0.024,-0.034
1681839390974,2023-04-18T20.36.30.974,1.295,-0.008,-0.019,-0.024
1681839390984,2023-04-18T20.36.30.984,1.305,-0.016,-0.017,-0.011
1681839390994,2023-04-18T20.36.30.994,1.315,-0.031,-0.022,0.021
1681839391004,2023-04-18T20.36.31.004,1.325,-0.042,-0.022,0.044
1681839391015,2023-04-18T20.36.31.015,1.336,-0.050,-0.023,0.056
1681839391025,2023-04-18T20.36.31.025,1.346,-0.028,0.002,0.055
1681839391035,2023-04-18T20.36.31.035,1.356,-0.014,0.004,0.021
1681839391045,2023-04-18T20.36.31.045,1.366,-0.019,0.012,0.035
1681839391056,2023-04-18T20.36.31.056,1.377,-0.013,0.017,0.033
1681839391066,2023-04-18T20.36.31.066,1.387,0.002,0.016,0.010
1681839391075,2023-04-18T20.36.31.075,1.396,0.001,0.002,0.014
1681839391085,2023-04-18T20.36.31.085,1.406,-0.009,-0.005,0.044
1681839391095,2023-04-18T20.36.31.095,1.416,-0.020,-0.027,0.045
1681839391106,2023-04-18T20.36.31.106,1.427,-0.021,-0.025,0.025
1681839391116,2023-04-18T20.36.31.116,1.437,-0.029,-0.001,0.080
1681839391126,2023-04-18T20.36.31.126,1.447,-0.010,0.009,0.065
1681839391136,2023-04-18T20.36.31.136,1.457,0.001,0.024,0.049
1681839391147,2023-04-18T20.36.31.147,1.468,-0.003,0.022,0.049
1681839391157,2023-04-18T20.36.31.157,1.478,-0.013,0.012,0.052
