epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1712478158373,2024-04-07T11:22:38.373,0.000,-0.564,0.192,0.843
1712478158393,2024-04-07T11:22:38.393,0.020,-0.570,0.195,0.851
1712478158413,2024-04-07T11:22:38.413,0.040,-0.566,0.195,0.849
1712478158433,2024-04-07T11:22:38.433,0.060,-0.567,0.197,0.849
1712478158453,2024-04-07T11:22:38.453,0.080,-0.567,0.197,0.849
1712478158473,2024-04-07T11:22:38.473,0.100,-0.568,0.194,0.849
1712478158493,2024-04-07T11:22:38.493,0.120,-0.567,0.192,0.849
1712478158513,2024-04-07T11:22:38.513,0.140,-0.568,0.196,0.848
1712478158533,2024-04-07T11:22:38.533,0.160,-0.568,0.198,0.848
1712478158553,2024-04-07T11:22:38.553,0.180,-0.569,0.195,0.849
1712478158573,2024-04-07T11:22:38.573,0.200,-0.569,0.195,0.848
1712478158593,2024-04-07T11:22:38.593,0.220,-0.567,0.195,0.848
1712478158613,2024-04-07T11:22:38.613,0.240,-0.567,0.196,0.849
1712478158633,2024-04-07T11:22:38.633,0.260,-0.567,0.193,0.850
1712478158653,2024-04-07T11:22:38.653,0.280,-0.564,0.197,0.850
1712478158673,2024-04-07T11:22:38.673,0.300,-0.567,0.194,0.849
1712478158693,2024-04-07T11:22:38.693,0.320,-0.566,0.192,0.847
1712478158713,2024-04-07T11:22:38.713,0.340,-0.567,0.195,0.847
1712478158733,2024-04-07T11:22:38.733,0.360,-0.567,0.197,0.850
1712478158753,2024-04-07T11:22:38.753,0.380,-0.568,0.195,0.850
1712478158773,2024-04-07T11:22:38.773,0.400,-0.567,0.194,0.849
1712478158793,2024-04-07T11:22:38.793,0.420,-0.567,0.195,0.849
1712478158813,2024-04-07T11:22:38.813,0.440,-0.568,0.194,0.849
1712478158833,2024-04-07T11:22:38.833,0.460,-0.568,0.197,0.847
1712478158853,2024-04-07T11:22:38.853,0.480,-0.566,0.195,0.850
1712478158873,2024-04-07T11:22:38.873,0.500,-0.567,0.195,0.851
1712478158893,2024-04-07T11:22:38.893,0.520,-0.567,0.197,0.849
1712478158913,2024-04-07T11:22:38.913,0.540,-0.566,0.197,0.851
1712478158933,2024-04-07T11:22:38.933,0.560,-0.566,0.196,0.851
1712478158953,2024-04-07T11:22:38.953,0.580,-0.567,0.194,0.850
1712478158973,2024-04-07T11:22:38.973,0.600,-0.566,0.195,0.849
1712478158993,2024-04-07T11:22:38.993,0.620,-0.564,0.195,0.851
1712478159013,2024-04-07T11:22:39.013,0.640,-0.567,0.194,0.853
1712478159033,2024-04-07T11:22:39.033,0.660,-0.569,0.194,0.850
1712478159053,2024-04-07T11:22:39.053,0.680,-0.567,0.195,0.851
1712478159073,2024-04-07T11:22:39.073,0.700,-0.566,0.196,0.850
1712478159093,2024-04-07T11:22:39.093,0.720,-0.569,0.196,0.849
1712478159113,2024-04-07T11:22:39.113,0.740,-0.566,0.196,0.850
1712478159133,2024-04-07T11:22:39.133,0.760,-0.566,0.195,0.849
1712478159153,2024-04-07T11:22:39.153,0.780,-0.567,0.195,0.850
1712478159173,2024-04-07T11:22:39.173,0.800,-0.567,0.196,0.849
