epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682855468605,2023-04-30T14.51.08.605,0.000,0.007,-0.007,0.002
1682855468616,2023-04-30T14.51.08.616,0.011,0.008,-0.017,0.008
1682855468626,2023-04-30T14.51.08.626,0.021,0.002,-0.022,0.011
1682855468636,2023-04-30T14.51.08.636,0.031,0.007,-0.025,0.012
1682855468646,2023-04-30T14.51.08.646,0.041,0.011,-0.028,0.016
1682855468657,2023-04-30T14.51.08.657,0.052,-0.003,-0.030,0.026
1682855468667,2023-04-30T14.51.08.667,0.062,-0.009,-0.030,0.019
1682855468677,2023-04-30T14.51.08.677,0.072,-0.010,-0.024,-0.001
1682855468686,2023-04-30T14.51.08.686,0.081,-0.014,-0.011,-0.023
1682855468696,2023-04-30T14.51.08.696,0.091,-0.004,-0.034,0.035
1682855468707,2023-04-30T14.51.08.707,0.102,0.012,-0.051,0.081
1682855468717,2023-04-30T14.51.08.717,0.112,0.010,-0.049,0.080
1682855468727,2023-04-30T14.51.08.727,0.122,0.025,-0.049,0.082
1682855468737,2023-04-30T14.51.08.737,0.132,0.009,-0.037,0.045
1682855468748,2023-04-30T14.51.08.748,0.143,-0.032,-0.025,0.008
1682855468758,2023-04-30T14.51.08.758,0.153,-0.038,-0.016,-0.013
1682855468768,2023-04-30T14.51.08.768,0.163,-0.008,-0.010,-0.018
1682855468778,2023-04-30T14.51.08.778,0.173,-0.005,-0.002,-0.036
1682855468789,2023-04-30T14.51.08.789,0.184,0.034,-0.011,-0.013
1682855468797,2023-04-30T14.51.08.797,0.192,0.043,-0.035,0.048
1682855468808,2023-04-30T14.51.08.808,0.203,0.035,-0.040,0.066
1682855468818,2023-04-30T14.51.08.818,0.213,0.052,-0.031,0.044
1682855468828,2023-04-30T14.51.08.828,0.223,0.037,-0.022,0.002
1682855468838,2023-04-30T14.51.08.838,0.233,-0.016,-0.013,-0.014
1682855468849,2023-04-30T14.51.08.849,0.244,-0.045,-0.022,-0.003
1682855468859,2023-04-30T14.51.08.859,0.254,-0.041,-0.026,-0.002
1682855468869,2023-04-30T14.51.08.869,0.264,-0.034,-0.022,0.017
1682855468879,2023-04-30T14.51.08.879,0.274,-0.015,-0.017,0.019
1682855468890,2023-04-30T14.51.08.890,0.285,0.014,-0.019,0.019
1682855468900,2023-04-30T14.51.08.900,0.295,0.031,-0.011,-0.005
1682855468909,2023-04-30T14.51.08.909,0.304,0.053,0.000,-0.033
1682855468919,2023-04-30T14.51.08.919,0.314,0.032,-0.019,0.013
1682855468929,2023-04-30T14.51.08.929,0.324,0.002,-0.038,0.064
1682855468939,2023-04-30T14.51.08.939,0.334,-0.103,-0.049,0.044
1682855468950,2023-04-30T14.51.08.950,0.345,-0.092,0.005,0.032
1682855468960,2023-04-30T14.51.08.960,0.355,0.004,-0.011,0.000
1682855468970,2023-04-30T14.51.08.970,0.365,0.064,0.000,-0.011
1682855468980,2023-04-30T14.51.08.980,0.375,0.037,-0.055,0.028
1682855468991,2023-04-30T14.51.08.991,0.386,0.060,-0.043,0.080
1682855469001,2023-04-30T14.51.09.001,0.396,0.080,0.006,0.033
1682855469011,2023-04-30T14.51.09.011,0.406,0.045,-0.016,0.032
1682855469020,2023-04-30T14.51.09.020,0.415,-0.016,-0.039,0.009
1682855469032,2023-04-30T14.51.09.032,0.427,-0.020,0.002,-0.023
1682855469041,2023-04-30T14.51.09.041,0.436,-0.003,-0.003,-0.018
1682855469051,2023-04-30T14.51.09.051,0.446,-0.029,-0.004,-0.062
1682855469061,2023-04-30T14.51.09.061,0.456,0.015,-0.007,-0.006
1682855469071,2023-04-30T14.51.09.071,0.466,0.017,-0.025,0.019
1682855469082,2023-04-30T14.51.09.082,0.477,0.009,-0.027,0.025
1682855469092,2023-04-30T14.51.09.092,0.487,0.015,-0.032,0.009
1682855469102,2023-04-30T14.51.09.102,0.497,0.007,-0.038,0.008
1682855469112,2023-04-30T14.51.09.112,0.507,-0.003,-0.032,0.030
1682855469123,2023-04-30T14.51.09.123,0.518,-0.005,-0.019,0.026
1682855469131,2023-04-30T14.51.09.131,0.526,-0.012,-0.010,0.007
1682855469142,2023-04-30T14.51.09.142,0.537,-0.016,-0.006,-0.010
1682855469152,2023-04-30T14.51.09.152,0.547,-0.013,-0.009,-0.009
1682855469162,2023-04-30T14.51.09.162,0.557,-0.008,-0.018,-0.004
1682855469172,2023-04-30T14.51.09.172,0.567,0.025,-0.032,0.028
1682855469183,2023-04-30T14.51.09.183,0.578,0.019,-0.024,0.049
1682855469193,2023-04-30T14.51.09.193,0.588,-0.036,-0.020,0.045
1682855469203,2023-04-30T14.51.09.203,0.598,-0.016,-0.045,0.033
1682855469213,2023-04-30T14.51.09.213,0.608,0.041,-0.003,-0.020
1682855469224,2023-04-30T14.51.09.224,0.619,0.021,0.006,-0.019
1682855469234,2023-04-30T14.51.09.234,0.629,-0.001,-0.010,0.015
1682855469244,2023-04-30T14.51.09.244,0.639,-0.011,-0.013,0.007
1682855469253,2023-04-30T14.51.09.253,0.648,-0.024,-0.007,-0.005
1682855469263,2023-04-30T14.51.09.263,0.658,-0.020,-0.005,-0.028
1682855469273,2023-04-30T14.51.09.273,0.668,-0.007,0.001,-0.039
1682855469284,2023-04-30T14.51.09.284,0.679,-0.016,-0.012,0.005
1682855469294,2023-04-30T14.51.09.294,0.689,-0.023,-0.055,0.091
1682855469304,2023-04-30T14.51.09.304,0.699,-0.013,-0.048,0.107
1682855469314,2023-04-30T14.51.09.314,0.709,0.012,-0.021,0.055
1682855469325,2023-04-30T14.51.09.325,0.720,0.017,-0.022,0.056
1682855469335,2023-04-30T14.51.09.335,0.730,0.000,-0.022,0.042
1682855469345,2023-04-30T14.51.09.345,0.740,-0.012,-0.024,-0.003
1682855469354,2023-04-30T14.51.09.354,0.749,-0.020,-0.006,-0.038
1682855469364,2023-04-30T14.51.09.364,0.759,-0.001,-0.017,-0.009
1682855469375,2023-04-30T14.51.09.375,0.770,-0.003,-0.017,-0.012
1682855469385,2023-04-30T14.51.09.385,0.780,-0.002,-0.017,-0.020
1682855469395,2023-04-30T14.51.09.395,0.790,0.005,-0.023,-0.003
1682855469405,2023-04-30T14.51.09.405,0.800,-0.002,-0.027,-0.001
1682855469416,2023-04-30T14.51.09.416,0.811,0.005,-0.029,0.016
1682855469426,2023-04-30T14.51.09.426,0.821,0.017,-0.027,0.023
1682855469436,2023-04-30T14.51.09.436,0.831,0.000,-0.029,0.024
1682855469446,2023-04-30T14.51.09.446,0.841,-0.011,-0.030,0.034
1682855469457,2023-04-30T14.51.09.457,0.852,-0.008,-0.026,0.027
1682855469465,2023-04-30T14.51.09.465,0.860,-0.009,-0.023,0.021
1682855469476,2023-04-30T14.51.09.476,0.871,-0.007,-0.025,0.028
1682855469487,2023-04-30T14.51.09.487,0.882,0.001,-0.023,0.027
1682855469496,2023-04-30T14.51.09.496,0.891,0.007,-0.029,0.020
1682855469506,2023-04-30T14.51.09.506,0.901,0.017,-0.019,0.009
1682855469517,2023-04-30T14.51.09.517,0.912,0.013,-0.020,0.012
1682855469527,2023-04-30T14.51.09.527,0.922,0.002,-0.029,0.025
1682855469537,2023-04-30T14.51.09.537,0.932,0.004,-0.020,0.029
1682855469547,2023-04-30T14.51.09.547,0.942,0.004,-0.012,0.017
1682855469558,2023-04-30T14.51.09.558,0.953,-0.002,-0.005,0.008
1682855469568,2023-04-30T14.51.09.568,0.963,-0.001,-0.007,-0.001
1682855469577,2023-04-30T14.51.09.577,0.972,-0.005,-0.006,-0.001
1682855469587,2023-04-30T14.51.09.587,0.982,-0.002,-0.014,0.011
1682855469597,2023-04-30T14.51.09.597,0.992,0.004,-0.029,0.019
1682855469607,2023-04-30T14.51.09.607,1.002,0.003,-0.028,0.027
1682855469618,2023-04-30T14.51.09.618,1.013,-0.001,-0.024,0.021
1682855469628,2023-04-30T14.51.09.628,1.023,0.000,-0.017,0.014
1682855469638,2023-04-30T14.51.09.638,1.033,0.005,-0.016,0.021
