epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682855468605,2023-04-30T14.51.08.605,0.000,0.759,-0.460,-0.460,0.000
1682855468616,2023-04-30T14.51.08.616,0.011,0.759,-0.460,-0.460,0.000
1682855468626,2023-04-30T14.51.08.626,0.021,0.760,-0.460,-0.459,0.000
1682855468636,2023-04-30T14.51.08.636,0.031,0.760,-0.460,-0.459,0.000
1682855468646,2023-04-30T14.51.08.646,0.041,0.760,-0.461,-0.458,0.000
1682855468657,2023-04-30T14.51.08.657,0.052,0.761,-0.461,-0.457,-0.001
1682855468667,2023-04-30T14.51.08.667,0.062,0.762,-0.461,-0.455,-0.001
1682855468677,2023-04-30T14.51.08.677,0.072,0.762,-0.462,-0.454,-0.001
1682855468686,2023-04-30T14.51.08.686,0.081,0.762,-0.462,-0.453,-0.002
1682855468696,2023-04-30T14.51.08.696,0.091,0.762,-0.462,-0.454,-0.002
1682855468707,2023-04-30T14.51.08.707,0.102,0.762,-0.462,-0.454,-0.002
1682855468717,2023-04-30T14.51.08.717,0.112,0.762,-0.463,-0.453,-0.002
1682855468727,2023-04-30T14.51.08.727,0.122,0.762,-0.464,-0.452,-0.003
1682855468737,2023-04-30T14.51.08.737,0.132,0.763,-0.465,-0.449,-0.003
1682855468748,2023-04-30T14.51.08.748,0.143,0.764,-0.466,-0.446,-0.004
1682855468758,2023-04-30T14.51.08.758,0.153,0.764,-0.467,-0.444,-0.005
1682855468768,2023-04-30T14.51.08.768,0.163,0.764,-0.468,-0.443,-0.005
1682855468778,2023-04-30T14.51.08.778,0.173,0.764,-0.469,-0.443,-0.006
1682855468789,2023-04-30T14.51.08.789,0.184,0.764,-0.469,-0.444,-0.006
1682855468797,2023-04-30T14.51.08.797,0.192,0.763,-0.470,-0.444,-0.006
1682855468808,2023-04-30T14.51.08.808,0.203,0.763,-0.470,-0.444,-0.006
1682855468818,2023-04-30T14.51.08.818,0.213,0.763,-0.471,-0.443,-0.007
1682855468828,2023-04-30T14.51.08.828,0.223,0.763,-0.472,-0.442,-0.007
1682855468838,2023-04-30T14.51.08.838,0.233,0.763,-0.472,-0.440,-0.007
1682855468849,2023-04-30T14.51.08.849,0.244,0.763,-0.473,-0.440,-0.007
1682855468859,2023-04-30T14.51.08.859,0.254,0.763,-0.474,-0.439,-0.007
1682855468869,2023-04-30T14.51.08.869,0.264,0.764,-0.474,-0.438,-0.007
1682855468879,2023-04-30T14.51.08.879,0.274,0.764,-0.475,-0.437,-0.007
1682855468890,2023-04-30T14.51.08.890,0.285,0.764,-0.475,-0.436,-0.008
1682855468900,2023-04-30T14.51.08.900,0.295,0.765,-0.476,-0.435,-0.008
1682855468909,2023-04-30T14.51.08.909,0.304,0.765,-0.476,-0.434,-0.008
1682855468919,2023-04-30T14.51.08.919,0.314,0.765,-0.477,-0.434,-0.008
1682855468929,2023-04-30T14.51.08.929,0.324,0.764,-0.477,-0.433,-0.009
1682855468939,2023-04-30T14.51.08.939,0.334,0.764,-0.478,-0.432,-0.009
1682855468950,2023-04-30T14.51.08.950,0.345,0.764,-0.481,-0.430,-0.012
1682855468960,2023-04-30T14.51.08.960,0.355,0.764,-0.484,-0.427,-0.014
1682855468970,2023-04-30T14.51.08.970,0.365,0.764,-0.486,-0.425,-0.015
1682855468980,2023-04-30T14.51.08.980,0.375,0.764,-0.486,-0.424,-0.016
1682855468991,2023-04-30T14.51.08.991,0.386,0.764,-0.484,-0.425,-0.015
1682855469001,2023-04-30T14.51.09.001,0.396,0.765,-0.483,-0.426,-0.015
1682855469010,2023-04-30T14.51.09.010,0.405,0.764,-0.485,-0.426,-0.016
1682855469020,2023-04-30T14.51.09.020,0.415,0.763,-0.486,-0.425,-0.017
1682855469030,2023-04-30T14.51.09.030,0.425,0.764,-0.487,-0.424,-0.017
1682855469041,2023-04-30T14.51.09.041,0.436,0.764,-0.487,-0.423,-0.017
1682855469051,2023-04-30T14.51.09.051,0.446,0.764,-0.487,-0.423,-0.017
1682855469061,2023-04-30T14.51.09.061,0.456,0.764,-0.487,-0.423,-0.016
1682855469071,2023-04-30T14.51.09.071,0.466,0.764,-0.487,-0.423,-0.016
1682855469082,2023-04-30T14.51.09.082,0.477,0.765,-0.486,-0.423,-0.015
1682855469092,2023-04-30T14.51.09.092,0.487,0.765,-0.485,-0.423,-0.014
1682855469102,2023-04-30T14.51.09.102,0.497,0.766,-0.484,-0.423,-0.013
1682855469112,2023-04-30T14.51.09.112,0.507,0.766,-0.482,-0.425,-0.012
1682855469123,2023-04-30T14.51.09.123,0.518,0.767,-0.480,-0.425,-0.011
1682855469131,2023-04-30T14.51.09.131,0.526,0.768,-0.479,-0.425,-0.011
1682855469142,2023-04-30T14.51.09.142,0.537,0.768,-0.479,-0.424,-0.011
1682855469152,2023-04-30T14.51.09.152,0.547,0.768,-0.479,-0.424,-0.012
1682855469162,2023-04-30T14.51.09.162,0.557,0.768,-0.481,-0.424,-0.012
1682855469172,2023-04-30T14.51.09.172,0.567,0.766,-0.482,-0.424,-0.014
1682855469183,2023-04-30T14.51.09.183,0.578,0.765,-0.485,-0.424,-0.015
1682855469193,2023-04-30T14.51.09.193,0.588,0.764,-0.487,-0.423,-0.016
1682855469203,2023-04-30T14.51.09.203,0.598,0.765,-0.487,-0.421,-0.015
1682855469213,2023-04-30T14.51.09.213,0.608,0.766,-0.488,-0.419,-0.015
1682855469224,2023-04-30T14.51.09.224,0.619,0.765,-0.488,-0.420,-0.015
1682855469234,2023-04-30T14.51.09.234,0.629,0.765,-0.488,-0.420,-0.015
1682855469244,2023-04-30T14.51.09.244,0.639,0.765,-0.488,-0.420,-0.015
1682855469253,2023-04-30T14.51.09.253,0.648,0.765,-0.487,-0.420,-0.015
1682855469263,2023-04-30T14.51.09.263,0.658,0.765,-0.487,-0.421,-0.015
1682855469273,2023-04-30T14.51.09.273,0.668,0.764,-0.486,-0.423,-0.015
1682855469284,2023-04-30T14.51.09.284,0.679,0.764,-0.485,-0.425,-0.015
1682855469294,2023-04-30T14.51.09.294,0.689,0.763,-0.485,-0.428,-0.015
1682855469304,2023-04-30T14.51.09.304,0.699,0.762,-0.485,-0.429,-0.016
1682855469314,2023-04-30T14.51.09.314,0.709,0.761,-0.486,-0.430,-0.017
1682855469325,2023-04-30T14.51.09.325,0.720,0.760,-0.487,-0.430,-0.018
1682855469335,2023-04-30T14.51.09.335,0.730,0.760,-0.488,-0.429,-0.019
1682855469344,2023-04-30T14.51.09.344,0.739,0.759,-0.490,-0.429,-0.021
1682855469354,2023-04-30T14.51.09.354,0.749,0.759,-0.491,-0.428,-0.022
1682855469364,2023-04-30T14.51.09.364,0.759,0.758,-0.491,-0.428,-0.022
1682855469375,2023-04-30T14.51.09.375,0.770,0.758,-0.492,-0.428,-0.023
1682855469385,2023-04-30T14.51.09.385,0.780,0.757,-0.492,-0.429,-0.024
1682855469395,2023-04-30T14.51.09.395,0.790,0.756,-0.492,-0.431,-0.025
1682855469405,2023-04-30T14.51.09.405,0.800,0.756,-0.491,-0.432,-0.025
1682855469416,2023-04-30T14.51.09.416,0.811,0.755,-0.491,-0.434,-0.026
1682855469426,2023-04-30T14.51.09.426,0.821,0.755,-0.490,-0.435,-0.026
1682855469436,2023-04-30T14.51.09.436,0.831,0.755,-0.489,-0.436,-0.026
1682855469446,2023-04-30T14.51.09.446,0.841,0.755,-0.488,-0.437,-0.027
1682855469457,2023-04-30T14.51.09.457,0.852,0.755,-0.487,-0.438,-0.027
1682855469465,2023-04-30T14.51.09.465,0.860,0.755,-0.487,-0.439,-0.028
1682855469476,2023-04-30T14.51.09.476,0.871,0.754,-0.486,-0.440,-0.029
1682855469487,2023-04-30T14.51.09.487,0.882,0.754,-0.486,-0.441,-0.030
1682855469496,2023-04-30T14.51.09.496,0.891,0.754,-0.485,-0.442,-0.030
1682855469506,2023-04-30T14.51.09.506,0.901,0.754,-0.484,-0.442,-0.030
1682855469517,2023-04-30T14.51.09.517,0.912,0.754,-0.483,-0.443,-0.030
1682855469527,2023-04-30T14.51.09.527,0.922,0.755,-0.482,-0.444,-0.030
1682855469537,2023-04-30T14.51.09.537,0.932,0.755,-0.482,-0.444,-0.030
1682855469547,2023-04-30T14.51.09.547,0.942,0.755,-0.481,-0.444,-0.030
1682855469558,2023-04-30T14.51.09.558,0.953,0.756,-0.481,-0.443,-0.030
1682855469568,2023-04-30T14.51.09.568,0.963,0.756,-0.481,-0.443,-0.030
1682855469577,2023-04-30T14.51.09.577,0.972,0.757,-0.480,-0.442,-0.029
1682855469587,2023-04-30T14.51.09.587,0.982,0.757,-0.480,-0.442,-0.029
