epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682853453272,2023-04-30T14.17.33.272,0.000,0.919,-0.098,-0.383,0.000
1682853453280,2023-04-30T14.17.33.280,0.008,0.919,-0.098,-0.383,-0.001
1682853453291,2023-04-30T14.17.33.291,0.019,0.919,-0.097,-0.382,-0.001
1682853453301,2023-04-30T14.17.33.301,0.029,0.919,-0.096,-0.382,-0.002
1682853453311,2023-04-30T14.17.33.311,0.039,0.919,-0.096,-0.381,-0.003
1682853453321,2023-04-30T14.17.33.321,0.049,0.920,-0.095,-0.381,-0.004
1682853453332,2023-04-30T14.17.33.332,0.060,0.920,-0.094,-0.380,-0.006
1682853453342,2023-04-30T14.17.33.342,0.070,0.920,-0.094,-0.380,-0.007
1682853453352,2023-04-30T14.17.33.352,0.080,0.920,-0.094,-0.380,-0.008
1682853453362,2023-04-30T14.17.33.362,0.090,0.920,-0.095,-0.380,-0.009
1682853453373,2023-04-30T14.17.33.373,0.101,0.920,-0.095,-0.380,-0.010
1682853453383,2023-04-30T14.17.33.383,0.111,0.920,-0.096,-0.380,-0.011
1682853453392,2023-04-30T14.17.33.392,0.120,0.920,-0.096,-0.380,-0.012
1682853453402,2023-04-30T14.17.33.402,0.130,0.920,-0.097,-0.379,-0.013
1682853453412,2023-04-30T14.17.33.412,0.140,0.920,-0.098,-0.380,-0.013
1682853453423,2023-04-30T14.17.33.423,0.151,0.920,-0.099,-0.380,-0.013
1682853453433,2023-04-30T14.17.33.433,0.161,0.920,-0.100,-0.380,-0.014
1682853453443,2023-04-30T14.17.33.443,0.171,0.920,-0.100,-0.380,-0.014
1682853453453,2023-04-30T14.17.33.453,0.181,0.920,-0.101,-0.380,-0.015
1682853453464,2023-04-30T14.17.33.464,0.192,0.920,-0.102,-0.379,-0.016
1682853453474,2023-04-30T14.17.33.474,0.202,0.919,-0.103,-0.379,-0.017
1682853453484,2023-04-30T14.17.33.484,0.212,0.919,-0.104,-0.379,-0.018
1682853453493,2023-04-30T14.17.33.493,0.221,0.919,-0.104,-0.379,-0.019
1682853453503,2023-04-30T14.17.33.503,0.231,0.919,-0.105,-0.378,-0.021
1682853453513,2023-04-30T14.17.33.513,0.241,0.919,-0.106,-0.378,-0.022
1682853453524,2023-04-30T14.17.33.524,0.252,0.919,-0.106,-0.378,-0.024
1682853453534,2023-04-30T14.17.33.534,0.262,0.920,-0.107,-0.377,-0.025
1682853453544,2023-04-30T14.17.33.544,0.272,0.920,-0.108,-0.376,-0.026
1682853453554,2023-04-30T14.17.33.554,0.282,0.920,-0.108,-0.376,-0.028
1682853453565,2023-04-30T14.17.33.565,0.293,0.920,-0.108,-0.375,-0.029
1682853453575,2023-04-30T14.17.33.575,0.303,0.920,-0.109,-0.375,-0.029
1682853453585,2023-04-30T14.17.33.585,0.313,0.920,-0.109,-0.375,-0.030
1682853453595,2023-04-30T14.17.33.595,0.323,0.920,-0.109,-0.375,-0.031
1682853453604,2023-04-30T14.17.33.604,0.332,0.920,-0.109,-0.375,-0.031
1682853453614,2023-04-30T14.17.33.614,0.342,0.920,-0.110,-0.375,-0.032
1682853453625,2023-04-30T14.17.33.625,0.353,0.920,-0.110,-0.375,-0.032
1682853453635,2023-04-30T14.17.33.635,0.363,0.920,-0.110,-0.375,-0.033
1682853453645,2023-04-30T14.17.33.645,0.373,0.920,-0.110,-0.374,-0.034
1682853453655,2023-04-30T14.17.33.655,0.383,0.920,-0.110,-0.374,-0.035
1682853453666,2023-04-30T14.17.33.666,0.394,0.921,-0.110,-0.373,-0.036
1682853453676,2023-04-30T14.17.33.676,0.404,0.921,-0.110,-0.373,-0.037
