epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682855386477,2023-04-30T14.49.46.477,0.000,-0.045,-0.035,0.007
1682855386487,2023-04-30T14.49.46.487,0.010,-0.053,-0.043,0.009
1682855386497,2023-04-30T14.49.46.497,0.020,-0.063,-0.055,0.014
1682855386508,2023-04-30T14.49.46.508,0.031,-0.059,-0.054,0.020
1682855386518,2023-04-30T14.49.46.518,0.041,-0.046,-0.034,0.024
1682855386527,2023-04-30T14.49.46.527,0.050,-0.032,-0.016,0.035
1682855386537,2023-04-30T14.49.46.537,0.060,-0.021,-0.009,0.049
1682855386547,2023-04-30T14.49.46.547,0.070,-0.029,-0.027,0.065
1682855386557,2023-04-30T14.49.46.557,0.080,-0.044,-0.052,0.074
1682855386568,2023-04-30T14.49.46.568,0.091,-0.051,-0.067,0.080
1682855386578,2023-04-30T14.49.46.578,0.101,-0.049,-0.057,0.083
1682855386588,2023-04-30T14.49.46.588,0.111,-0.029,-0.032,0.081
1682855386598,2023-04-30T14.49.46.598,0.121,-0.014,-0.003,0.077
1682855386609,2023-04-30T14.49.46.609,0.132,-0.005,0.026,0.072
1682855386619,2023-04-30T14.49.46.619,0.142,0.008,0.049,0.063
1682855386629,2023-04-30T14.49.46.629,0.152,0.003,0.065,0.044
1682855386638,2023-04-30T14.49.46.638,0.161,-0.005,0.071,0.028
1682855386648,2023-04-30T14.49.46.648,0.171,-0.019,0.065,0.020
1682855386659,2023-04-30T14.49.46.659,0.182,-0.035,0.053,0.021
1682855386669,2023-04-30T14.49.46.669,0.192,-0.047,0.034,0.035
1682855386679,2023-04-30T14.49.46.679,0.202,-0.059,0.019,0.049
1682855386689,2023-04-30T14.49.46.689,0.212,-0.057,0.010,0.059
1682855386700,2023-04-30T14.49.46.700,0.223,-0.050,0.005,0.062
1682855386710,2023-04-30T14.49.46.710,0.233,-0.037,0.010,0.067
1682855386720,2023-04-30T14.49.46.720,0.243,-0.023,0.015,0.067
1682855386730,2023-04-30T14.49.46.730,0.253,-0.021,0.024,0.068
1682855386741,2023-04-30T14.49.46.741,0.264,-0.008,0.040,0.059
1682855386749,2023-04-30T14.49.46.749,0.272,-0.005,0.052,0.048
1682855386760,2023-04-30T14.49.46.760,0.283,-0.012,0.055,0.039
1682855386770,2023-04-30T14.49.46.770,0.293,-0.017,0.051,0.035
1682855386780,2023-04-30T14.49.46.780,0.303,-0.024,0.044,0.034
