epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682855386477,2023-04-30T14.49.46.477,0.000,0.664,0.456,-0.593,0.000
1682855386487,2023-04-30T14.49.46.487,0.010,0.664,0.456,-0.593,0.000
1682855386497,2023-04-30T14.49.46.497,0.020,0.664,0.455,-0.594,0.001
1682855386508,2023-04-30T14.49.46.508,0.031,0.663,0.455,-0.594,0.001
1682855386516,2023-04-30T14.49.46.516,0.039,0.663,0.455,-0.594,0.000
1682855386527,2023-04-30T14.49.46.527,0.050,0.663,0.456,-0.594,0.000
1682855386537,2023-04-30T14.49.46.537,0.060,0.663,0.456,-0.594,0.000
1682855386547,2023-04-30T14.49.46.547,0.070,0.662,0.456,-0.595,0.001
1682855386557,2023-04-30T14.49.46.557,0.080,0.662,0.456,-0.594,0.001
1682855386568,2023-04-30T14.49.46.568,0.091,0.663,0.456,-0.594,0.001
1682855386578,2023-04-30T14.49.46.578,0.101,0.663,0.456,-0.594,0.001
1682855386588,2023-04-30T14.49.46.588,0.111,0.664,0.456,-0.593,0.002
1682855386598,2023-04-30T14.49.46.598,0.121,0.664,0.456,-0.592,0.001
1682855386609,2023-04-30T14.49.46.609,0.132,0.665,0.456,-0.592,0.001
1682855386619,2023-04-30T14.49.46.619,0.142,0.665,0.456,-0.592,0.000
1682855386628,2023-04-30T14.49.46.628,0.151,0.664,0.456,-0.592,-0.001
1682855386638,2023-04-30T14.49.46.638,0.161,0.664,0.456,-0.593,-0.002
1682855386648,2023-04-30T14.49.46.648,0.171,0.664,0.456,-0.593,-0.002
1682855386659,2023-04-30T14.49.46.659,0.182,0.664,0.456,-0.593,-0.003
1682855386669,2023-04-30T14.49.46.669,0.192,0.664,0.456,-0.593,-0.003
1682855386679,2023-04-30T14.49.46.679,0.202,0.664,0.456,-0.593,-0.002
1682855386689,2023-04-30T14.49.46.689,0.212,0.665,0.456,-0.592,-0.002
1682855386700,2023-04-30T14.49.46.700,0.223,0.665,0.456,-0.592,-0.002
1682855386710,2023-04-30T14.49.46.710,0.233,0.666,0.456,-0.591,-0.001
1682855386720,2023-04-30T14.49.46.720,0.243,0.666,0.456,-0.590,-0.001
1682855386730,2023-04-30T14.49.46.730,0.253,0.667,0.456,-0.590,-0.001
1682855386739,2023-04-30T14.49.46.739,0.262,0.666,0.456,-0.590,-0.002
1682855386749,2023-04-30T14.49.46.749,0.272,0.666,0.456,-0.590,-0.002
1682855386760,2023-04-30T14.49.46.760,0.283,0.666,0.456,-0.591,-0.003
1682855386770,2023-04-30T14.49.46.770,0.293,0.666,0.456,-0.591,-0.003
1682855386780,2023-04-30T14.49.46.780,0.303,0.666,0.456,-0.591,-0.003
1682855386790,2023-04-30T14.49.46.790,0.313,0.666,0.455,-0.591,-0.002
1682855386801,2023-04-30T14.49.46.801,0.324,0.667,0.455,-0.590,-0.002
1682855386811,2023-04-30T14.49.46.811,0.334,0.667,0.455,-0.590,-0.001
1682855386821,2023-04-30T14.49.46.821,0.344,0.667,0.455,-0.589,-0.001
1682855386831,2023-04-30T14.49.46.831,0.354,0.667,0.455,-0.589,-0.001
1682855386842,2023-04-30T14.49.46.842,0.365,0.667,0.455,-0.590,-0.001
1682855386850,2023-04-30T14.49.46.850,0.373,0.667,0.455,-0.590,-0.001
1682855386861,2023-04-30T14.49.46.861,0.384,0.667,0.455,-0.590,-0.001
1682855386872,2023-04-30T14.49.46.872,0.395,0.667,0.455,-0.590,-0.002
1682855386881,2023-04-30T14.49.46.881,0.404,0.667,0.455,-0.590,-0.002
1682855386891,2023-04-30T14.49.46.891,0.414,0.668,0.455,-0.589,-0.002
1682855386902,2023-04-30T14.49.46.902,0.425,0.668,0.455,-0.589,-0.002
1682855386912,2023-04-30T14.49.46.912,0.435,0.669,0.455,-0.588,-0.002
1682855386922,2023-04-30T14.49.46.922,0.445,0.669,0.455,-0.587,-0.002
1682855386932,2023-04-30T14.49.46.932,0.455,0.670,0.455,-0.587,-0.001
1682855386943,2023-04-30T14.49.46.943,0.466,0.670,0.455,-0.587,-0.002
1682855386953,2023-04-30T14.49.46.953,0.476,0.670,0.454,-0.587,-0.002
1682855386962,2023-04-30T14.49.46.962,0.485,0.670,0.454,-0.587,-0.002
1682855386972,2023-04-30T14.49.46.972,0.495,0.671,0.454,-0.586,-0.003
1682855386982,2023-04-30T14.49.46.982,0.505,0.671,0.454,-0.586,-0.003
1682855386993,2023-04-30T14.49.46.993,0.516,0.671,0.454,-0.586,-0.003
1682855387003,2023-04-30T14.49.47.003,0.526,0.671,0.454,-0.586,-0.003
1682855387013,2023-04-30T14.49.47.013,0.536,0.671,0.454,-0.585,-0.003
1682855387023,2023-04-30T14.49.47.023,0.546,0.672,0.454,-0.585,-0.002
1682855387034,2023-04-30T14.49.47.034,0.557,0.672,0.454,-0.585,-0.002
1682855387044,2023-04-30T14.49.47.044,0.567,0.672,0.454,-0.584,-0.002
1682855387054,2023-04-30T14.49.47.054,0.577,0.673,0.454,-0.584,-0.002
1682855387064,2023-04-30T14.49.47.064,0.587,0.673,0.454,-0.584,-0.003
1682855387073,2023-04-30T14.49.47.073,0.596,0.673,0.454,-0.584,-0.003
1682855387083,2023-04-30T14.49.47.083,0.606,0.673,0.454,-0.584,-0.003
1682855387094,2023-04-30T14.49.47.094,0.617,0.673,0.454,-0.584,-0.003
1682855387104,2023-04-30T14.49.47.104,0.627,0.673,0.454,-0.584,-0.003
1682855387114,2023-04-30T14.49.47.114,0.637,0.673,0.454,-0.583,-0.003
1682855387124,2023-04-30T14.49.47.124,0.647,0.674,0.454,-0.583,-0.003
1682855387135,2023-04-30T14.49.47.135,0.658,0.674,0.454,-0.582,-0.003
1682855387145,2023-04-30T14.49.47.145,0.668,0.674,0.454,-0.582,-0.003
1682855387155,2023-04-30T14.49.47.155,0.678,0.675,0.454,-0.582,-0.003
1682855387165,2023-04-30T14.49.47.165,0.688,0.675,0.454,-0.582,-0.003
1682855387176,2023-04-30T14.49.47.176,0.699,0.675,0.454,-0.582,-0.003
1682855387184,2023-04-30T14.49.47.184,0.707,0.675,0.454,-0.582,-0.004
1682855387196,2023-04-30T14.49.47.196,0.719,0.675,0.454,-0.582,-0.004
1682855387205,2023-04-30T14.49.47.205,0.728,0.675,0.454,-0.582,-0.004
1682855387215,2023-04-30T14.49.47.215,0.738,0.675,0.454,-0.582,-0.004
1682855387225,2023-04-30T14.49.47.225,0.748,0.675,0.454,-0.582,-0.004
1682855387236,2023-04-30T14.49.47.236,0.759,0.676,0.454,-0.581,-0.004
1682855387246,2023-04-30T14.49.47.246,0.769,0.676,0.454,-0.581,-0.004
1682855387256,2023-04-30T14.49.47.256,0.779,0.676,0.454,-0.581,-0.004
1682855387266,2023-04-30T14.49.47.266,0.789,0.676,0.454,-0.580,-0.004
1682855387277,2023-04-30T14.49.47.277,0.800,0.676,0.454,-0.581,-0.005
1682855387287,2023-04-30T14.49.47.287,0.810,0.676,0.454,-0.581,-0.005
1682855387296,2023-04-30T14.49.47.296,0.819,0.675,0.454,-0.581,-0.006
1682855387306,2023-04-30T14.49.47.306,0.829,0.676,0.454,-0.581,-0.006
1682855387316,2023-04-30T14.49.47.316,0.839,0.676,0.454,-0.581,-0.006
1682855387327,2023-04-30T14.49.47.327,0.850,0.676,0.454,-0.580,-0.006
1682855387337,2023-04-30T14.49.47.337,0.860,0.677,0.454,-0.579,-0.006
1682855387347,2023-04-30T14.49.47.347,0.870,0.678,0.454,-0.579,-0.005
1682855387357,2023-04-30T14.49.47.357,0.880,0.678,0.454,-0.578,-0.005
1682855387368,2023-04-30T14.49.47.368,0.891,0.678,0.453,-0.578,-0.005
1682855387378,2023-04-30T14.49.47.378,0.901,0.678,0.454,-0.578,-0.006
1682855387388,2023-04-30T14.49.47.388,0.911,0.678,0.454,-0.578,-0.006
1682855387398,2023-04-30T14.49.47.398,0.921,0.678,0.454,-0.578,-0.006
1682855387407,2023-04-30T14.49.47.407,0.930,0.678,0.454,-0.578,-0.006
1682855387417,2023-04-30T14.49.47.417,0.940,0.679,0.453,-0.578,-0.007
1682855387428,2023-04-30T14.49.47.428,0.951,0.679,0.453,-0.578,-0.006
1682855387438,2023-04-30T14.49.47.438,0.961,0.680,0.452,-0.577,-0.006
1682855387448,2023-04-30T14.49.47.448,0.971,0.680,0.451,-0.577,-0.005
1682855387458,2023-04-30T14.49.47.458,0.981,0.681,0.450,-0.577,-0.005
1682855387469,2023-04-30T14.49.47.469,0.992,0.682,0.448,-0.577,-0.003
1682855387479,2023-04-30T14.49.47.479,1.002,0.683,0.447,-0.578,-0.003
1682855387489,2023-04-30T14.49.47.489,1.012,0.682,0.445,-0.580,-0.003
1682855387499,2023-04-30T14.49.47.499,1.022,0.682,0.443,-0.582,-0.004
1682855387510,2023-04-30T14.49.47.510,1.033,0.683,0.441,-0.582,-0.005
1682855387520,2023-04-30T14.49.47.520,1.043,0.683,0.440,-0.583,-0.007
1682855387529,2023-04-30T14.49.47.529,1.052,0.684,0.439,-0.582,-0.009
1682855387539,2023-04-30T14.49.47.539,1.062,0.685,0.438,-0.582,-0.011
1682855387549,2023-04-30T14.49.47.549,1.072,0.686,0.438,-0.581,-0.012
1682855387559,2023-04-30T14.49.47.559,1.082,0.687,0.438,-0.580,-0.014
1682855387570,2023-04-30T14.49.47.570,1.093,0.687,0.438,-0.579,-0.015
1682855387580,2023-04-30T14.49.47.580,1.103,0.687,0.438,-0.579,-0.016
1682855387590,2023-04-30T14.49.47.590,1.113,0.687,0.438,-0.579,-0.017
1682855387600,2023-04-30T14.49.47.600,1.123,0.687,0.439,-0.579,-0.018
1682855387611,2023-04-30T14.49.47.611,1.134,0.687,0.439,-0.579,-0.020
1682855387621,2023-04-30T14.49.47.621,1.144,0.687,0.440,-0.578,-0.021
1682855387630,2023-04-30T14.49.47.630,1.153,0.687,0.440,-0.578,-0.022
1682855387640,2023-04-30T14.49.47.640,1.163,0.687,0.441,-0.577,-0.023
1682855387650,2023-04-30T14.49.47.650,1.173,0.688,0.441,-0.576,-0.024
1682855387660,2023-04-30T14.49.47.660,1.183,0.688,0.441,-0.576,-0.025
1682855387671,2023-04-30T14.49.47.671,1.194,0.688,0.441,-0.576,-0.025
1682855387681,2023-04-30T14.49.47.681,1.204,0.687,0.441,-0.576,-0.026
