epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681211087940,2023-04-11T14.04.47.940,0.000,0.709,0.705,0.009,0.000
1681211087940,2023-04-11T14.04.47.940,0.000,0.709,0.705,0.009,0.000
1681211087958,2023-04-11T14.04.47.958,0.018,0.710,0.704,0.009,0.000
1681211087961,2023-04-11T14.04.47.961,0.021,0.710,0.704,0.009,-0.001
1681211087974,2023-04-11T14.04.47.974,0.034,0.710,0.704,0.009,-0.001
1681211087974,2023-04-11T14.04.47.974,0.034,0.711,0.704,0.009,-0.001
1681211088003,2023-04-11T14.04.48.003,0.063,0.711,0.703,0.009,-0.001
1681211088010,2023-04-11T14.04.48.010,0.070,0.711,0.703,0.009,-0.001
1681211088010,2023-04-11T14.04.48.010,0.070,0.711,0.703,0.008,-0.001
1681211088025,2023-04-11T14.04.48.025,0.085,0.711,0.703,0.008,-0.001
1681211088038,2023-04-11T14.04.48.038,0.098,0.711,0.703,0.009,-0.001
1681211088140,2023-04-11T14.04.48.140,0.200,0.711,0.703,0.009,-0.001
1681211088140,2023-04-11T14.04.48.140,0.200,0.711,0.703,0.009,-0.001
1681211088140,2023-04-11T14.04.48.140,0.200,0.711,0.703,0.010,-0.001
1681211088156,2023-04-11T14.04.48.156,0.216,0.711,0.703,0.010,-0.001
1681211088156,2023-04-11T14.04.48.156,0.216,0.712,0.703,0.010,-0.001
1681211088156,2023-04-11T14.04.48.156,0.216,0.712,0.702,0.010,-0.001
1681211088160,2023-04-11T14.04.48.160,0.220,0.712,0.702,0.009,-0.001
1681211088163,2023-04-11T14.04.48.163,0.223,0.712,0.702,0.009,-0.001
1681211088163,2023-04-11T14.04.48.163,0.223,0.712,0.702,0.009,-0.001
1681211088163,2023-04-11T14.04.48.163,0.223,0.712,0.702,0.009,-0.001
1681211088163,2023-04-11T14.04.48.163,0.223,0.712,0.702,0.009,-0.001
1681211088163,2023-04-11T14.04.48.163,0.223,0.713,0.702,0.009,-0.002
1681211088174,2023-04-11T14.04.48.174,0.234,0.713,0.702,0.009,-0.002
