epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681210733427,2023-04-11T13.58.53.427,0.000,1.000,-0.014,-0.002,0.000
1681210733443,2023-04-11T13.58.53.443,0.016,1.000,-0.014,-0.002,0.000
1681210733462,2023-04-11T13.58.53.462,0.035,1.000,-0.014,-0.002,0.000
1681210733465,2023-04-11T13.58.53.465,0.038,1.000,-0.014,-0.002,0.000
1681210733477,2023-04-11T13.58.53.477,0.050,1.000,-0.014,-0.002,0.000
1681210733477,2023-04-11T13.58.53.477,0.050,1.000,-0.014,-0.002,0.000
1681210733492,2023-04-11T13.58.53.492,0.065,1.000,-0.014,-0.002,0.000
1681210733507,2023-04-11T13.58.53.507,0.080,1.000,-0.014,-0.002,0.000
1681210733510,2023-04-11T13.58.53.510,0.083,1.000,-0.014,-0.002,0.000
1681210733524,2023-04-11T13.58.53.524,0.097,1.000,-0.014,-0.002,0.000
1681210733524,2023-04-11T13.58.53.524,0.097,1.000,-0.014,-0.002,0.000
1681210733553,2023-04-11T13.58.53.553,0.126,1.000,-0.014,-0.002,0.000
1681210733560,2023-04-11T13.58.53.560,0.133,1.000,-0.014,-0.002,0.000
1681210733560,2023-04-11T13.58.53.560,0.133,1.000,-0.014,-0.002,0.000
1681210733627,2023-04-11T13.58.53.627,0.200,1.000,-0.014,-0.002,0.000
1681210733642,2023-04-11T13.58.53.642,0.215,1.000,-0.014,-0.002,0.000
1681210733642,2023-04-11T13.58.53.642,0.215,1.000,-0.014,-0.002,0.000
1681210733648,2023-04-11T13.58.53.648,0.221,1.000,-0.014,-0.002,0.000
1681210733650,2023-04-11T13.58.53.650,0.223,1.000,-0.014,-0.002,0.000
1681210733651,2023-04-11T13.58.53.651,0.224,1.000,-0.014,-0.002,0.000
1681210733651,2023-04-11T13.58.53.651,0.224,1.000,-0.014,-0.002,0.000
1681210733651,2023-04-11T13.58.53.651,0.224,1.000,-0.014,-0.002,0.000
1681210733660,2023-04-11T13.58.53.660,0.233,1.000,-0.014,-0.002,0.000
1681210733660,2023-04-11T13.58.53.660,0.233,1.000,-0.014,-0.002,0.000
1681210733684,2023-04-11T13.58.53.684,0.257,1.000,-0.014,-0.002,0.000
1681210733684,2023-04-11T13.58.53.684,0.257,1.000,-0.014,-0.002,0.000
1681210733693,2023-04-11T13.58.53.693,0.266,1.000,-0.014,-0.002,0.000
1681210733709,2023-04-11T13.58.53.709,0.282,1.000,-0.014,-0.002,0.000
1681210733719,2023-04-11T13.58.53.719,0.292,1.000,-0.014,-0.002,0.000
1681210733741,2023-04-11T13.58.53.741,0.314,1.000,-0.014,-0.002,0.000
1681210733743,2023-04-11T13.58.53.743,0.316,1.000,-0.014,-0.002,0.000
1681210733749,2023-04-11T13.58.53.749,0.322,1.000,-0.014,-0.002,0.000
