,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,275,0.836501978113749,-0.104812111028107,0.455474955507768,0.286044449166236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639305250369136,-0.461515445869021,-0.554001004359378,-0.267161331864429,0.443234751198232,-0.0173136591355004,-0.891180538005092,-0.0950812348391475,0.91412351019836,-0.0728495139423268,-0.379934195959084,-0.121330800549244,0,0,0,0,0.449193962650662,0.314102489013898,0.730837137850966,-0.40674499167326,0.193795526383514,0.79489055945369,0.178900491621434,-0.546431062937264,0.155535647797411,0.117624921889807,0.053293483848138,-0.979353278747759,0,0,0,0
1,276,0.836249636914697,-0.105136524514689,0.455744595557718,0.286233680046467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641791622771114,-0.460847505093691,-0.552589554196669,-0.265269437709036,0.438522066336987,-0.0154642118433902,-0.893671456242807,-0.093864710005754,0.912256942680212,-0.0734640788393331,-0.384777406771051,-0.119735737733503,0,0,0,0,0.449350541869836,0.315004765563402,0.730263973142161,-0.406903695884245,0.193760160182764,0.794603833747825,0.178744738832493,-0.546911387757573,0.155522172713392,0.1175709588711,0.0532444861462666,-0.979364563438793,0,0,0,0
2,277,0.835933467204976,-0.105587658549555,0.456175762621783,0.286304310769374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644348160195717,-0.459527770247639,-0.551715213774149,-0.263172946394142,0.434229963861758,-0.0136435069226444,-0.895915111915039,-0.0927054768917869,0.910651162697889,-0.073610014632038,-0.389125914746569,-0.117800883254327,0,0,0,0,0.449418595377631,0.315974716618093,0.729648782235288,-0.407180008312633,0.193724087201914,0.794416037263885,0.178550542450185,-0.547260305125886,0.155544793052359,0.117509130026143,0.0531647237132878,-0.979372724690293,0,0,0,0
3,278,0.835631069893046,-0.106011925392438,0.45667681091093,0.286231509586586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646778480991373,-0.457790814226043,-0.551414682942521,-0.260858226575564,0.43042746879771,-0.011752343778101,-0.897905178217083,-0.0914350449831353,0.909466104823171,-0.0732523142690102,-0.392726776914769,-0.115200613393076,0,0,0,0,0.449464557180134,0.316937323092238,0.728998533822761,-0.40754568180053,0.193611921556363,0.794333189836251,0.178295191580443,-0.547503453884187,0.155539798158684,0.117450860659691,0.0531049514757426,-0.979383750451178,0,0,0,0
4,279,0.835366478133198,-0.106350462765645,0.457214111705753,0.286020422938626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648968295305606,-0.455862730812327,-0.551628887856465,-0.258330974578552,0.427310324142129,-0.00971205522981713,-0.899569205262923,-0.0899266801755524,0.908685426778628,-0.0726779416398158,-0.395551070909163,-0.112018133629143,0,0,0,0,0.449429245466085,0.317785073784132,0.728400743173113,-0.4079930851677,0.193467852557197,0.79439265062711,0.178029307580128,-0.547554629511141,0.155546736115892,0.117410764906571,0.0530358838452301,-0.979391198751808,0,0,0,0
5,280,0.835124663064786,-0.106597291842863,0.457800566311878,0.285696440294975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650581293870915,-0.454051997472682,-0.552482186026982,-0.255625111792958,0.424986896021783,-0.00755620670260999,-0.900866060529985,-0.0881441032356944,0.908302486182561,-0.0717983051748182,-0.397583343912563,-0.108439299204242,0,0,0,0,0.449397362832685,0.318381159928107,0.727898649623373,-0.408459304164239,0.193295965117662,0.794575418673465,0.177757592024708,-0.547438409674274,0.155568877884314,0.117402866552269,0.0529759951067975,-0.979391870040574,0,0,0,0
6,281,0.834873803593242,-0.106736407259073,0.45848440385383,0.285280778991466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651403446897125,-0.452545130328602,-0.553850983455254,-0.253230216427785,0.423605212873322,-0.00550366845887692,-0.901719722749654,-0.0861967218885441,0.908294562217258,-0.0709295905751887,-0.398714407075609,-0.104865642694557,0,0,0,0,0.449377667765125,0.318613140905507,0.727575774127124,-0.408875128932566,0.193105177944698,0.79485226628499,0.17750178883649,-0.547186787114245,0.155581342379554,0.117465439712306,0.0529065889907902,-0.979386138975804,0,0,0,0
7,282,0.834600615120284,-0.106746514454386,0.459274547697074,0.284804994215924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651502442671537,-0.451405805429465,-0.555347566215006,-0.251726928866715,0.423269592825508,-0.00376946017261213,-0.902061103702161,-0.0843469510235944,0.9086858766322,-0.0702777068161307,-0.398782424416646,-0.101605115571106,0,0,0,0,0.449261879578344,0.318599613968579,0.727398136343346,-0.409328719711965,0.1929529304286,0.795196892286669,0.177357751365722,-0.54678633593675,0.155612968729597,0.117528745193533,0.0528279534322475,-0.979377764375196,0,0,0,0
8,283,0.834278226514611,-0.106702019257448,0.460196602854999,0.284277340937928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650685191910199,-0.45090753807266,-0.557078792537903,-0.250907138285371,0.424094266248796,-0.00246769890047519,-0.901824076912453,-0.0827725685117709,0.909575281804378,-0.069731410352223,-0.397561803739918,-0.0987671471079308,0,0,0,0,0.448974640992131,0.318550266505041,0.727235920829991,-0.409970017086753,0.192895856434196,0.795597611616898,0.177336411332283,-0.546230195225232,0.155642721520114,0.117520308142133,0.0527341229569124,-0.979379105703179,0,0,0,0
9,284,0.833960715500769,-0.106603177756993,0.461132938496908,0.283728215951047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648809233640145,-0.451095701800973,-0.559226616931755,-0.250648832183673,0.426291845811619,-0.00156229801672097,-0.900901832943695,-0.0815396150231367,0.911003551532175,-0.0693982195573909,-0.39488568579871,-0.096549010193327,0,0,0,0,0.448499786152101,0.318645850442627,0.726996751839693,-0.410838759894622,0.192624979882607,0.796185776543136,0.177180085608946,-0.54551905889642,0.1555604760153,0.117454840600973,0.0526891410253428,-0.97940244697433,0,0,0,0
