,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,618,0.232298621964121,0.400570669942321,-0.145121618840376,0.874368460296162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262195938502376,-0.725647339457562,-0.25290309414227,-0.583720184287204,0.299859271980303,-0.797539906091918,0.410846489319545,0.324375827416507,0.773767155106545,-0.200129263150698,-0.252637861121271,-0.545350143336511,0,0,0,0,0.189105472625378,0.737913261612544,0.314904332248136,-0.566178770434593,0.151059718974204,-0.818539467585391,0.247134787522569,0.49608315644117,0.972159674215996,0.0558555986386743,-0.196284312866443,-0.115144207199125,0,0,0,0
1,619,0.23363435513221,0.40458881791562,-0.14832840745023,0.871620077822257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268005667852699,-0.724096587289734,-0.251397791129859,-0.583657643562747,0.296879040978595,-0.800324339576234,0.411646367541213,0.319203782245169,0.765443956892284,-0.204216558220082,-0.28080314241158,-0.541794002751609,0,0,0,0,0.191521646553732,0.742058191383853,0.31102521108021,-0.562078657817556,0.152325492965074,-0.817452909145248,0.250869511972083,0.495612927076977,0.972280363255147,0.055048970895822,-0.195930668487292,-0.115115937983739,0,0,0,0
2,620,0.235184626649864,0.408468590472816,-0.151962624078996,0.868762892202321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275749397433493,-0.722412842963992,-0.249715153026876,-0.582858727724406,0.294263463615042,-0.802829689469297,0.413177713367289,0.313301262149535,0.755374361303597,-0.209380925167572,-0.31210614010323,-0.536804396191964,0,0,0,0,0.193863589020335,0.746475933828432,0.307590029906939,-0.557296117489594,0.153926163258542,-0.816044143012857,0.255053537500342,0.495304336673402,0.972431270687049,0.0542804754531197,-0.195434966239342,-0.115048805928548,0,0,0,0
3,621,0.237056872321544,0.412159922660554,-0.156142452747364,0.865764270392127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284633077960078,-0.720964074359585,-0.247694565952641,-0.581241960298233,0.292706823449466,-0.804696041553669,0.41580403333364,0.306421282024369,0.743212964034222,-0.216774565818358,-0.3456807993069,-0.530233969768321,0,0,0,0,0.196235163071259,0.751120407402727,0.304388315994825,-0.551958012391698,0.155552671579495,-0.814550139555006,0.259259895063255,0.49507145274919,0.972604988462352,0.0536061867214588,-0.194846051892972,-0.114895296792585,0,0,0,0
4,622,0.239204631090018,0.415800176456477,-0.16094374075868,0.862547662471156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293995351026853,-0.7202805646357,-0.244572134111103,-0.578746155925909,0.292119388777059,-0.805978993655469,0.419255209772549,0.298812974225036,0.728624431554789,-0.228589544498335,-0.376791999337104,-0.524290994699561,0,0,0,0,0.19881736557697,0.755748214158352,0.301260724061733,-0.546404857298411,0.156844263909653,-0.813148548157041,0.263123284057324,0.494929745414061,0.972785143078171,0.0529286874870248,-0.194227029270305,-0.114732212338634,0,0,0,0
5,623,0.2415362879785,0.419580868159505,-0.166548460738069,0.858995766514518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303327019776575,-0.719522075172544,-0.241424242808698,-0.576190105257896,0.291495829496704,-0.807125288650563,0.422752561170761,0.291306062124249,0.713431501597744,-0.242910088280014,-0.404033167458437,-0.518427797415694,0,0,0,0,0.201643728502671,0.760574180558788,0.298274215060561,-0.540276980124896,0.157949499243926,-0.811660714802995,0.266893182019962,0.4950018880018,0.972954576967801,0.0523881607407489,-0.193611629162256,-0.114583632446998,0,0,0,0
6,624,0.243852544729548,0.423334807762099,-0.172142561736741,0.85538910175701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31147480517884,-0.720456566811648,-0.236549028162188,-0.57268694620386,0.289726094471205,-0.8087088738126,0.425759208525884,0.284214433051232,0.699436875862374,-0.258627010293122,-0.423877108790576,-0.514031441522857,0,0,0,0,0.204520594947571,0.765145729123324,0.29474333154207,-0.534649144727748,0.158960617162711,-0.810126121282974,0.270415099562536,0.495280590912708,0.973124708650264,0.051902153045609,-0.192966096469929,-0.114448912344019,0,0,0,0
7,625,0.246398674278349,0.42667369406906,-0.178083936895659,0.851776592495402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317939830927365,-0.723063657036235,-0.230282484363243,-0.568386478708598,0.286427690325401,-0.811056072681572,0.427416060507597,0.278321282695681,0.688173894252922,-0.274154916734223,-0.433452443428027,-0.513200499011345,0,0,0,0,0.207349245182599,0.769434238316852,0.290644883672085,-0.529625145761806,0.159850557361283,-0.808728833759336,0.273526909344076,0.495568867688671,0.9732899254819,0.0515989295063387,-0.192305307499463,-0.114293219994794,0,0,0,0
8,626,0.249199307013813,0.429736760528207,-0.183910648948943,0.848176217090375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322894146466669,-0.727018478139871,-0.222702575508324,-0.563548636306315,0.28219981331196,-0.813901451097823,0.428081081510214,0.273265952728475,0.683423733784176,-0.28214229548529,-0.433881244586069,-0.514854145166601,0,0,0,0,0.210025057381233,0.773295716522675,0.28591552914841,-0.525505014506503,0.160650301323544,-0.807364909321432,0.276446988455514,0.495913749007759,0.973426592398638,0.051405302880414,-0.191706451379659,-0.114222592101433,0,0,0,0
9,627,0.252528027597996,0.43287988498917,-0.189176544326543,0.844426927286132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326828721316404,-0.731728764562337,-0.214284592824747,-0.558424672908257,0.277705494047532,-0.816800557943078,0.427993866572664,0.269328344768752,0.685539539971175,-0.285007113532089,-0.428100378635063,-0.515302387132772,0,0,0,0,0.21249171185477,0.776439595991875,0.280448902858995,-0.522816639993595,0.161218616638483,-0.806144260761408,0.279192554490595,0.496176889836313,0.973489824238374,0.0514427805024932,-0.191364698993688,-0.114239898536238,0,0,0,0
10,628,0.255840902947381,0.435995847778286,-0.194430569549405,0.840624652698134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330035077357427,-0.736834093226333,-0.205821172209549,-0.552982831418204,0.273808708278317,-0.81926201886564,0.427499221717589,0.266613861503884,0.68733047390298,-0.296912313659116,-0.418340706244074,-0.514209053927589,0,0,0,0,0.214478894352496,0.77914022007885,0.274109275389452,-0.521347702093608,0.161702668117536,-0.805071436677479,0.281844954035669,0.496261675786439,0.973500609784987,0.0518675732118912,-0.191138237447424,-0.114334998066485,0,0,0,0
11,629,0.259777378989402,0.439621409424778,-0.198878327565672,0.836478416078653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332845731993519,-0.741873936704726,-0.198254632130802,-0.547295058967841,0.270813564781141,-0.821197243991382,0.426065739186107,0.266013318244197,0.702926214999736,-0.284866089396339,-0.421882141370357,-0.49675094984403,0,0,0,0,0.215916005387631,0.781576620262351,0.267070803772925,-0.520760454574669,0.162317500087476,-0.804120253143356,0.28439260010669,0.496149671625989,0.97349863411478,0.0525405994875859,-0.190874977390473,-0.114484225063251,0,0,0,0
12,630,0.264096007970715,0.443612787441617,-0.202698084741627,0.83209042767856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335959046508774,-0.74600218981155,-0.192122911077535,-0.541941914696015,0.26734184407571,-0.823079782132631,0.423635195674165,0.267584064616739,0.718025925092379,-0.272618844870915,-0.425125868689282,-0.478942305593969,0,0,0,0,0.216901337880705,0.783771070064603,0.2594274659525,-0.520916604904102,0.162761642843747,-0.803464212890824,0.286547229288846,0.49582717917579,0.973434158681516,0.0534563015281085,-0.190863745433341,-0.114627192315371,0,0,0,0
13,631,0.268755463295562,0.447876751051945,-0.205723800728441,0.827559444771062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340182418401388,-0.748319720580271,-0.188161867319049,-0.537483608762405,0.262498626519322,-0.824822857636833,0.42058720506137,0.271786915678342,0.734227799426777,-0.245104979419288,-0.425673265830399,-0.468652705497437,0,0,0,0,0.217105318828241,0.786285937230987,0.25132033539804,-0.521016117279203,0.162813966162426,-0.803168698256134,0.288147500596161,0.495361153567977,0.973230849263014,0.0548878073864546,-0.191381874758366,-0.114812981221969,0,0,0,0
14,632,0.273858981343987,0.452029513417027,-0.209000633484913,0.822793602636837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344009349864933,-0.750778740493691,-0.183657513379368,-0.533159233069748,0.256311077430676,-0.826022621903106,0.417119382842542,0.279289599068247,0.739714065282503,-0.234712424084658,-0.415371327273088,-0.474552252215634,0,0,0,0,0.216766428871054,0.789282858260367,0.243452877168221,-0.52036101080822,0.162320741753486,-0.803309740750513,0.289054391765972,0.494765596836265,0.972913853262435,0.0572494440366817,-0.192315358647397,-0.114786489256598,0,0,0,0
15,633,0.278402599086637,0.456016310405523,-0.21119036875991,0.818498470132347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34921063942392,-0.751471740448484,-0.18041913675156,-0.529897242599248,0.250042356342286,-0.826302363447636,0.413675101258725,0.289095373180258,0.737149290524956,-0.242267282074256,-0.393612373823642,-0.492936899296274,0,0,0,0,0.216073227399192,0.792566105080382,0.235457566782742,-0.519337138787282,0.161477813592389,-0.803588418099199,0.289609352226693,0.494264092482029,0.972547637209507,0.0607609993808049,-0.19318990561218,-0.114616118770478,0,0,0,0
16,634,0.282606771811352,0.459099968017067,-0.212750842473683,0.814921904798142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354726275516962,-0.751165047848942,-0.176455862221074,-0.527999686586819,0.248491473048897,-0.823927534652394,0.412072400484622,0.29931879697483,0.736054449420345,-0.237493094845153,-0.370570221086317,-0.51429426268764,0,0,0,0,0.215651111672585,0.795804753875881,0.228073661404228,-0.517853064794056,0.160361325944091,-0.803934509213189,0.289720747493845,0.493999431689157,0.97221357075275,0.0639524836247931,-0.194004775538508,-0.114337219446083,0,0,0,0
17,635,0.286204302446549,0.461319780849999,-0.213770819117216,0.812141117018187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359994909037986,-0.750395620906807,-0.171632903557047,-0.527116897857768,0.246911980411714,-0.821457845354247,0.410422256951903,0.309507759569338,0.734215406248091,-0.232478785635436,-0.347153396169569,-0.535131638931356,0,0,0,0,0.215897012971974,0.798876760084684,0.221763292366213,-0.515757156174567,0.158905623702554,-0.804553065314862,0.289360530198819,0.493673830996965,0.97186066479298,0.0672712799256513,-0.194875767118215,-0.113951123361722,0,0,0,0
18,636,0.288947922178117,0.462987599587193,-0.214446892268206,0.810039573906082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364497197987215,-0.749858278245685,-0.166335024496577,-0.526485531455148,0.253580627380845,-0.815656742503041,0.411424506450162,0.318010722018467,0.73396306322427,-0.220396970922763,-0.329628130292248,-0.551424240263843,0,0,0,0,0.217023024046481,0.801724743020082,0.216743903597448,-0.51299173844853,0.157436587712816,-0.805390865669609,0.288970681037895,0.493006308119681,0.971541661287946,0.0702214227320833,-0.195609834868935,-0.113633378344082,0,0,0,0
19,637,0.290969735170879,0.464227856265996,-0.214892410867548,0.808486463976237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36791533902866,-0.749994618311333,-0.160960583174174,-0.52558354852078,0.265718431126533,-0.807525684600673,0.414122346086038,0.325267069562944,0.735511722927452,-0.209466178124081,-0.312488350551797,-0.563469126419362,0,0,0,0,0.218949394979454,0.80439508499182,0.212706534121777,-0.509672090682859,0.156338330102375,-0.80620194979022,0.288937506817904,0.492048635654143,0.971217090223661,0.0727823992201087,-0.196453254203268,-0.113341099933773,0,0,0,0
20,638,0.292648241755505,0.465071493836603,-0.214924530182789,0.807386498861425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370133574603201,-0.750859045483611,-0.155713068341137,-0.524371310346673,0.281928073815477,-0.797330982991078,0.417842767410623,0.33194470394903,0.737261205739807,-0.202249037095097,-0.292717857777344,-0.574332218531606,0,0,0,0,0.221463145613603,0.806776210562518,0.209593480977254,-0.50609958895177,0.15555231033717,-0.807090799369373,0.289228478694105,0.490667715907997,0.970919552982698,0.0750163926036115,-0.197251226985119,-0.11304740567339,0,0,0,0
21,639,0.294411172634368,0.465285143068716,-0.214580725440464,0.806713647669993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371208643054657,-0.752330274149085,-0.150782484002963,-0.522941626224362,0.300650192831405,-0.785376975436452,0.421939512414752,0.338761739085057,0.739040757871234,-0.20074808726643,-0.27357679998426,-0.581957642938345,0,0,0,0,0.224343678837793,0.808802763075136,0.207191349798671,-0.502573127789535,0.15483439539238,-0.808157326522245,0.289612522046165,0.488909636503469,0.970659872462643,0.0768208920855158,-0.197975919620904,-0.112798483058287,0,0,0,0
22,640,0.296077242117554,0.464880189384999,-0.214187917542729,0.80644169795227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371326394963725,-0.754304761618619,-0.146309772052924,-0.521281579958993,0.31975281280966,-0.772415677940109,0.425488557797137,0.34654241638845,0.742594477821853,-0.200219424397435,-0.257938674114322,-0.584750599827479,0,0,0,0,0.22721532010153,0.810331037427016,0.205841900733765,-0.499365517427793,0.153788507872958,-0.80950484754687,0.289663912019402,0.486976195227184,0.970433604382737,0.0782431545105342,-0.198622094614832,-0.112631664232526,0,0,0,0
23,641,0.297933929803737,0.464299738586896,-0.214167014320279,0.806097770867145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370672830252911,-0.756530173331455,-0.142221174845597,-0.519650735760967,0.337388575671291,-0.7592996159822,0.427468107266893,0.356235960348533,0.748305903379356,-0.196836196234244,-0.244473052074916,-0.584402869285236,0,0,0,0,0.230081805458148,0.811840923971413,0.204487780761454,-0.496146575602027,0.152741597578496,-0.810846984935454,0.289713375574185,0.485039515301242,0.970239009361149,0.0792831881738903,-0.199222298169183,-0.112520738973182,0,0,0,0
24,642,0.299961673353716,0.463719196213155,-0.214474292616817,0.805598087999705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369468888689555,-0.75879485374529,-0.138333291736075,-0.518253809071995,0.35239379386122,-0.746569131320485,0.427426623268117,0.368455734015756,0.755408475408768,-0.193815598224709,-0.227934849793047,-0.582957334129369,0,0,0,0,0.232845259717355,0.812769650267542,0.204005885046124,-0.493528296552167,0.151299965867294,-0.812373532591467,0.289492443886334,0.483064890885413,0.970061520611946,0.08008844215025,-0.199792085533201,-0.112470485996463,0,0,0,0
25,643,0.302079675171869,0.463218135788945,-0.214933985822267,0.804972179806748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367863154549119,-0.760955551796656,-0.13457754535991,-0.517215846624907,0.363930024975099,-0.73463542207676,0.42488172222392,0.383850564245726,0.762885071106747,-0.190732541134918,-0.207216711341483,-0.581969673243797,0,0,0,0,0.235539086226822,0.813259040619447,0.203819284793158,-0.491516806280902,0.149715363402285,-0.814013602815247,0.289261116434489,0.480931565726495,0.969901919718635,0.0807144693175551,-0.200327644623683,-0.112446766820667,0,0,0,0
26,644,0.304229015560754,0.462911426059737,-0.215376304090173,0.804220594955597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366021091304014,-0.762971521427233,-0.131005115304892,-0.516469435664478,0.371706980231198,-0.724050068157293,0.419023764493176,0.402497831595142,0.770336368681398,-0.186638146597358,-0.187146656062548,-0.580279424455209,0,0,0,0,0.238263023590007,0.813508422092055,0.203759367079184,-0.489813126715214,0.148119666871503,-0.815753793482111,0.289116899584352,0.478557970448883,0.969761652416485,0.0811875985057218,-0.20082022918026,-0.112437302099049,0,0,0,0
27,645,0.306388923966453,0.462751848354739,-0.215617171069928,0.80342752607485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363987987141125,-0.764880883445398,-0.127746841514308,-0.5158979781312,0.376621409359653,-0.714703665777177,0.410287606509029,0.423106445332269,0.777320685307053,-0.183353566731183,-0.16915244446257,-0.577530494686702,0,0,0,0,0.240905115895149,0.813732128705049,0.203708910699842,-0.488167417542567,0.146588823075335,-0.817526186942489,0.289125383081249,0.475992818717663,0.969649377945415,0.0815389331053567,-0.201202728775248,-0.112467542746815,0,0,0,0
28,646,0.308458914240901,0.463079635201846,-0.215569313554099,0.802458859219877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361631409565426,-0.766774493612964,-0.124900741910898,-0.515440980356058,0.380637543346888,-0.706477418829541,0.399053915888139,0.443577151680673,0.783296185185791,-0.182058897435755,-0.150900119750291,-0.574918079379327,0,0,0,0,0.243184151904111,0.814063281328231,0.203440083077703,-0.486594877545099,0.145144656239538,-0.819286567928498,0.289406426542084,0.473229826461933,0.969538495403404,0.0817821894029181,-0.201593075016613,-0.112547818871436,0,0,0,0
29,647,0.310527259531791,0.463404952487041,-0.215520306426571,0.801485912924212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358727145067713,-0.768746738706732,-0.122491987166794,-0.515110667914442,0.385581743242716,-0.69897752513836,0.385982328685181,0.462357849043496,0.788503737902127,-0.182434497289101,-0.130286921588119,-0.57271705717251,0,0,0,0,0.245062626387366,0.814500457785274,0.202757608833711,-0.48520373604883,0.143771245124736,-0.82105337800012,0.289888735272891,0.470282575386077,0.96943708030598,0.081904800579861,-0.201982236003537,-0.11263448543321,0,0,0,0
30,648,0.312417210100915,0.464251266261277,-0.215300999948457,0.800319766111495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355174631385797,-0.770833293581789,-0.120631441702099,-0.514893260781969,0.39249853239744,-0.691155226281607,0.37275767533371,0.478853913766283,0.793755522576502,-0.18270459203673,-0.109756347772423,-0.569670735207327,0,0,0,0,0.246410405124293,0.815194447245253,0.201572115250714,-0.483847711351767,0.142400292038535,-0.822826574977152,0.290527972975806,0.467195977355628,0.969353680617847,0.0819360523799735,-0.202322449193131,-0.112718905892107,0,0,0,0
31,649,0.314098991439871,0.465277794138288,-0.214970246307192,0.799153421478562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350885629151215,-0.773154136345568,-0.119276089494032,-0.514669963357011,0.401514366339622,-0.682247677746457,0.361108793783736,0.492873978705019,0.799205247013411,-0.185639065125524,-0.092041754223513,-0.564213989657305,0,0,0,0,0.247455539614915,0.816111400514767,0.200016754155566,-0.482411894464462,0.141060143886138,-0.824567267586604,0.291306105368274,0.464038371265518,0.969279911452876,0.0817871941839805,-0.202677563930756,-0.112823371694496,0,0,0,0
32,650,0.315538229199087,0.466296608388313,-0.214450326719415,0.79813166601094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346012895679665,-0.775551946734988,-0.118386265563391,-0.514566755693467,0.412443784368606,-0.672087573930506,0.352465209206314,0.503941161251055,0.804472238557609,-0.19380877439765,-0.0766753418973074,-0.556222498917046,0,0,0,0,0.248277095472248,0.817176570584594,0.198119038592178,-0.480967548696146,0.139775683260934,-0.826248077798321,0.292251912352639,0.460831522391586,0.96919937200985,0.081462244913001,-0.203132446803209,-0.112932231914502,0,0,0,0
33,651,0.316729959230979,0.467024818017043,-0.213656155417666,0.797446549640686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340860452442836,-0.777796402146922,-0.118136991059611,-0.514675198655572,0.424702931908889,-0.660930025548057,0.347705238995611,0.511761651290956,0.809629489631065,-0.200265842727904,-0.0639303221843661,-0.548002368299288,0,0,0,0,0.249037477521868,0.818318342155427,0.195985771976962,-0.479504956037094,0.138519360897582,-0.827901987146337,0.293284116417597,0.457575254349299,0.969118511909533,0.0811372686904328,-0.203587262469778,-0.11304105477115,0,0,0,0
34,652,0.317697781304924,0.467431540058882,-0.212628325189008,0.797097905178172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335834176881545,-0.779721696215154,-0.118910980843371,-0.514888007943987,0.436411821996053,-0.649886900052391,0.345648972287944,0.51741523626452,0.815136620807269,-0.196773184694108,-0.0545452889634366,-0.542086169032325,0,0,0,0,0.249995706647507,0.819519662699933,0.193822299835789,-0.477831126228054,0.137270506444487,-0.829549088470114,0.29439702139633,0.454241688610645,0.969026729832126,0.080753973249894,-0.204142349778036,-0.113101254203113,0,0,0,0
