,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0287017713476479,-0.00286420008481812,12.6097031735556,-0.0287704407387341,-0.00348571718030215,-12.6097030196004,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.264760978941543,5.90298059537738,12.2790109636804,0.37703283237594,-0.505815294245806,-1.16829463288005,-2.37076523891114,-3.34862990875732,-1.38683077559871,0.0,0.0,0.0,-5.49809881989607,3.9577163296288,12.864352548222,0.576567731028588,1.15437392745641,-0.196086776544551,7.036629953146,2.23779519524281,-2.68501997762258,0.279498260423416,-0.000690858833877234,-0.283244240964843
1,1,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0283550423677925,-0.0029130797151268,12.6096733217587,-0.0284042055069161,-0.00335804950111029,-12.6096732129032,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.326177574539334,5.94102997374862,12.1678958114423,0.325614433167109,-0.553029613995379,-1.37366092575701,-2.30494342005427,-3.45529126802507,-1.46673930458632,0.0,0.0,0.0,-5.51204414912934,3.99448701465467,12.8705861847391,0.561304729932097,1.13787526086775,-0.195472086611371,6.96237981853213,2.31757470133039,-2.74624381487984,0.321368376344371,-0.000924240839899801,-0.329547554624637
2,2,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.0279364178228344,-0.00297178527762045,12.6096466517197,-0.0279620999569149,-0.00320423174525177,-12.6096465957173,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.383275045087035,5.98081684337285,12.0477864910759,0.27767727980433,-0.610412543004594,-1.5935388439759,-2.24009553274727,-3.55423552846234,-1.55281895949497,0.0,0.0,0.0,-5.52617962087632,4.02667646772761,12.8771808561102,0.551638392633055,1.12820228976638,-0.19021451488796,6.89203691855367,2.39650502084475,-2.80032243424388,0.357346470255152,-0.00116067885658275,-0.372172286644467
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0275536097967441,-0.00302540998010184,12.6096194238897,-0.0275578328860112,-0.00306363282844259,-12.6096194148105,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.442283529622623,6.01979522318976,11.9319974317937,0.228990611425399,-0.662230181465405,-1.80645037305784,-2.17491603518185,-3.65686139148655,-1.63598729676326,0.0,0.0,0.0,-5.54026286704812,4.06114959686969,12.883598692479,0.539186606892879,1.11511116796143,-0.187243122958189,6.81995726425104,2.47579228483122,-2.85820647599987,0.396269509968529,-0.00144089134141993,-0.416637489594876
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0273143356711926,-0.00305909343087175,12.6095874718966,-0.0273051080751664,-0.00297557497284713,-12.6095874915579,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.50946683614061,6.05541798267008,11.8338237659761,0.17510367717197,-0.692784218537117,-1.99089953115564,-2.10809077921557,-3.77458520343271,-1.70719035853064,0.0,0.0,0.0,-5.55405432066648,4.10477230024946,12.8893223602961,0.515561741278182,1.0883422293301,-0.193460355355161,6.74054667040308,2.55659706505088,-2.93089085396528,0.446975391018232,-0.00182738450228741,-0.468461665159956
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0273263126311676,-0.00305800428733408,12.6095462527603,-0.0273176225038223,-0.00297935016921936,-12.6095462712848,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.591123946266363,6.08513441504989,11.7665424526014,0.111381080912913,-0.686424085398165,-2.12536609012158,-2.03828371456652,-3.91884166889556,-1.75740421009654,0.0,0.0,0.0,-5.56731600163341,4.16441154580302,12.8938604897976,0.472388165053296,1.0376251710731,-0.215758527610547,6.64826241073059,2.64001675295501,-3.0294167403626,0.518303585806537,-0.00241155291724496,-0.533161910364814
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.0279254341164839,-0.0029762951722155,12.6094862330141,-0.0279498267251835,-0.00319707310403481,-12.6094861798451,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.685216734802609,6.11694329290663,11.7395674100115,0.029637549515656,-0.623420080559061,-2.19782714917857,-1.96194125710764,-4.11244255383975,-1.78225774425461,0.0,0.0,0.0,-5.5722592764156,4.22591555822206,12.8984777825447,0.403810807460946,0.963969999443531,-0.257550323697002,6.55140749405126,2.73035230589875,-3.15514592454375,0.606067433687841,-0.00322359514370974,-0.609910888403209
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.0290398857325454,-0.00282391598408607,12.6094092086608,-0.0291259048641901,-0.00360248146533979,-12.6094090134759,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.787640379505526,6.15252682328167,11.7440374123213,-0.0673978955781537,-0.51438430983787,-2.22253840618623,-1.87984830985614,-4.34780902198259,-1.78789902746532,0.0,0.0,0.0,-5.56903993329278,4.28470771273987,12.9035557532472,0.315470370501916,0.874213784410182,-0.31424619496172,6.45382502646167,2.82672232553212,-3.3008176182404,0.704372000497842,-0.00426414562033882,-0.695033793561859
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0301658015723359,-0.00266964091113113,12.6093283463795,-0.0303141532740246,-0.00401239176008857,-12.6093279963614,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.901588266868176,6.17985933528472,11.7657700707202,-0.167974901553572,-0.389194067169473,-2.21739205890911,-1.79716956559089,-4.59080124359316,-1.78101158747129,0.0,0.0,0.0,-5.56934286095367,4.36201969906846,12.907321552415,0.216285253176443,0.766828673710704,-0.380773604077269,6.34327385365725,2.92234635108349,-3.46458225960544,0.819506075792869,-0.0056331489132613,-0.789763651510717
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.0307993089172966,-0.00258218351314975,12.6092577854472,-0.0309828762976559,-0.00424368550591024,-12.609257343014,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,1.0302371255836,6.18692612957039,11.7905318146997,-0.260236522072295,-0.277632396895234,-2.2003291091996,-1.7191449309799,-4.80726912076269,-1.76813895676721,0.0,0.0,0.0,-5.58485811376324,4.47908610369416,12.9080390028169,0.115198963502495,0.640283881749434,-0.452089889787247,6.20742765469933,3.01038407206853,-3.64458689707627,0.957774725830078,-0.00746709940023631,-0.895313835750649
