,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0280094789665871,0.00340164141018574,12.6097047051078,-0.0280764920550365,0.0027951153554415,-12.6097045584899,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0.258704145426464,5.95928834489529,12.2791380853834,0.376954453344477,-0.49812779492132,-1.16831992137064,-2.37007039561525,-3.29121895144989,-1.38801836243672,0.0,0.0,0.0,-5.35968681275004,2.73001644811372,12.9218187419811,0.576564354379558,1.15634721247699,-0.196096705158966,7.02886582721799,1.90649859531856,-2.70536676991095,0.279494845125558,0.000690858611860826,-0.283247611053116
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0276711163845174,0.00327705345734345,12.6096748165275,-0.0277190937162249,0.0028428163279571,-12.6096747128599,0,0,0,90.0,3.79266029964088,3.79266029964088,0,90,0,0,0,0,0,0,0,90.0,-169.975012137924,-169.975012137924,0,90,0,0,0,0,0.318849641937694,6.00978144473652,12.1680871121044,0.325520855686811,-0.545223702436511,-1.37368310011147,-2.30418780360036,-3.39626064759316,-1.46792644248339,0.0,0.0,0.0,-5.37314505098613,2.76306872028862,12.9283713908295,0.561301463253464,1.13979028331829,-0.19548146700125,6.95434420947107,1.98234079191611,-2.76661359610932,0.321363060559194,0.000924179586672961,-0.329552738388676
2,2,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0272625919388409,0.00312694609498958,12.6096481026749,-0.0272876546261915,0.00290010620571017,-12.6096480493415,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,3.79266029964088,3.79266029964088,0,90,0,0,0,0,0.374832851815057,6.06081799769794,12.0480481785239,0.277569889320969,-0.602690578982494,-1.59355754857257,-2.2392724801532,-3.49350140519441,-1.55400593677818,0.0,0.0,0.0,-5.3867800626801,2.79145986686695,12.9352916202419,0.551635352591274,1.13003371050412,-0.190223331281045,6.88376702476607,2.05816233297096,-2.82067196676197,0.357338931382595,0.00116052600738362,-0.372179525044584
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0268890200951737,0.00298973871372718,12.6096208353501,-0.0268931413249819,0.00295243779163805,-12.6096208267036,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0.432727224507801,6.11123935223712,11.9323427500788,0.228876806562217,-0.65501160708914,-1.80646479093001,-2.17402907092419,-3.59473884213241,-1.63716602623371,0.0,0.0,0.0,-5.40036717972386,2.82215982677383,12.9420342177463,0.539183727585559,1.1168732835244,-0.187251414241225,6.81143298743186,2.13410783706033,-2.87854054363612,0.396259032964772,0.00144068060999941,-0.416647454146159
4,4,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0266555205584595,0.00290380514962887,12.6095888589461,-0.0266465155277853,0.00298530917178786,-12.6095888776705,0,0,0,90.0,1.68760489417698,1.68760489417698,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0.498638604763499,6.15989895973488,11.8342784119582,0.17499797684093,-0.686700964818977,-1.99090882117605,-2.1071546372371,-3.71175329905083,-1.70834586664694,0.0,0.0,0.0,-5.41368418472478,2.86213758084561,12.9480745465111,0.515558802270695,1.09008307762653,-0.193468187657349,6.73168877468539,2.21034887755651,-2.95125471901961,0.446960450596439,0.0018272084240171,-0.468475919846768
5,5,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0266672129286804,0.00290748975779113,12.6095476410222,-0.0266587324018244,0.00298424677857027,-12.6095476586639,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,7.55237227989766,7.55237227989767,0,90,0,0,0,0,0.578702016775052,6.20568311804837,11.7671512443566,0.111304458749764,-0.682293387005047,-2.12537010233065,-2.03732457505082,-3.85630587670238,-1.75851615189843,0.0,0.0,0.0,-5.42650999169322,2.91836093115401,12.9529139771357,0.472384815637881,1.0394040777283,-0.215765860901583,6.63892984876519,2.28708403155004,-3.04988707931664,0.518281145132584,0.00241154717020461,-0.533183724701787
6,6,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0272518902279447,0.00311996207306935,12.6094876828114,-0.0272756945078526,0.00290450914112389,-12.6094876321763,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-172.447627720102,-172.447627720102,0,90,0,0,0,0,0.670883076326939,6.25636624630333,11.7403836796873,0.029615747287274,-0.62228348299425,-2.19782744292784,-1.96099177582692,-4.05139989206074,-1.78330246217781,0.0,0.0,0.0,-5.43122696699004,2.97831300842568,12.9576562987969,0.403806727712956,0.965785193805057,-0.257556720247809,6.54143318820385,2.36818883242166,-3.17584249899222,0.606033094457484,0.00322808305262847,-0.609945009301751
7,7,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0283394704907614,0.00351559337705133,12.6094107764756,-0.0284234149416575,0.00275580608152427,-12.6094105905925,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-169.975012137924,-169.975012137924,0,90,0,0,0,0,0.771151428964422,6.31285271998891,11.7451163529733,-0.0673471947133784,-0.516998061116841,-2.22253994232762,-1.87893281893697,-4.28913735869963,-1.78886114024946,0.0,0.0,0.0,-5.42797908060157,3.03734788864001,12.9626873201971,0.315465625606212,0.875944031718997,-0.314250958270059,6.4430726992197,2.45354787710019,-3.32182209331104,0.704320173599665,0.00428055001667345,-0.695086312939048
8,8,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0294382395687931,0.0039156183402454,12.6093300381135,-0.0295830132498245,0.00260525281130827,-12.6093297047758,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,0.882643828298113,6.36371783911416,11.7671862738307,-0.167849124578075,-0.395693224894839,-2.21740157862177,-1.79630109588751,-4.53492778571603,-1.78188751397123,0.0,0.0,0.0,-5.42819229532755,3.11423385688206,12.9664756435077,0.216280476940391,0.768266048348192,-0.380776316986002,6.33163307091487,2.53744454912683,-3.48587134307966,0.819428219461219,0.00566331569241523,-0.789844432327112
9,9,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0300564757737281,0.00414133476176116,12.6092595489738,-0.0302356158355543,0.0025199054757412,-12.6092591276248,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-174.948847471982,-174.948847471982,0,90,0,0,0,0,1.00849805685311,6.39746064425293,11.7923847380005,-0.260044647297818,-0.287623869134522,-2.20035178306287,-1.71832615364174,-4.75420908356059,-1.76893466363491,0.0,0.0,0.0,-5.44329625511457,3.22773481525618,12.9675274502581,0.115195377412099,0.641192846020754,-0.45209080354144,6.19482432648758,2.61425076123925,-3.66602285115013,0.957657783884645,0.00750004011469601,-0.895438921154509
