,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.928446721288819,0.104346268746191,-0.337562205474144,0.114674754685685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486533924962413,0.345911642941806,0.660868195023011,-0.454844043541297,0.724318990687029,-0.0379583120928132,0.686787318926991,0.0473745167179948,0.0820958025590336,-0.255173283417208,0.0421455813948002,-0.962481493121381,0,0,0,0,0.515306408981661,-0.490171191222531,-0.610425184776787,-0.348672628619075,0.0117763563534731,-0.786478523967746,-0.243873017068035,-0.567308382023997,0.0535632121370761,-0.32274769318442,-0.169742169545995,-0.929598033952048,0,0,0,0
1,1,0.928389708657881,0.105121134869851,-0.337188584951005,0.115524690177246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487076672847947,0.343600404557525,0.661701808939577,-0.454803026376663,0.72504167125236,-0.0386729981353497,0.68589228635789,0.0486903037324149,0.0821365780153039,-0.25493607929991,0.0420413308213564,-0.962545429850402,0,0,0,0,0.515394367651285,-0.48956839508122,-0.610794081503169,-0.348743490737291,0.0123771882737084,-0.786194399829186,-0.244261331789554,-0.567522310292782,0.0535652675712376,-0.323169352353658,-0.170005186352661,-0.929403340010426,0,0,0,0
2,2,0.92837209234448,0.105901081241909,-0.336745297555936,0.116244671799146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487791475810455,0.341483375928325,0.662296791134729,-0.454765368672565,0.7257125002613,-0.0390091573917952,0.685117448904432,0.0493328877196373,0.0821770708523361,-0.254725986266515,0.0419958579246793,-0.962599578674254,0,0,0,0,0.515557983820309,-0.488969177142928,-0.611075029830535,-0.348850135503655,0.0129749420897513,-0.785865978568998,-0.244741829161641,-0.567756771570514,0.0535831554169817,-0.323604492997615,-0.170270359106234,-0.92920233661843,0,0,0,0
3,3,0.928358712286351,0.106690627518932,-0.33632561216358,0.116843031133392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488365889843224,0.340065946120691,0.662739641117409,-0.454565812636898,0.726298851680011,-0.0393059771710482,0.684445251787514,0.0497967419863393,0.082228998123276,-0.254472788794827,0.0420040461276046,-0.962661753545624,0,0,0,0,0.515848540816637,-0.48835174462066,-0.611172479701023,-0.349114675313724,0.0135463087575508,-0.785532348607433,-0.245258192913181,-0.567982258190603,0.0536308899898948,-0.3240811566346,-0.170633233242343,-0.928966862308089,0,0,0,0
4,4,0.928343520689699,0.107469925790857,-0.335948172069228,0.117334344193448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488680986318317,0.33942245798233,0.663004167202181,-0.454322311691528,0.726773053339883,-0.0398838102904981,0.683853386379285,0.050544599645459,0.0822483070877741,-0.254238035345629,0.041960216058129,-0.962724040228115,0,0,0,0,0.51625348303723,-0.487745519209763,-0.611066874405806,-0.349548172283374,0.0140911980590241,-0.785177204228017,-0.245801262979322,-0.568225250420735,0.0536661010499644,-0.324619106431619,-0.171001231402342,-0.928709300156145,0,0,0,0
5,5,0.928304316665901,0.108271597671987,-0.335643167283659,0.117779544288492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489002413591631,0.339099667188228,0.66301457892875,-0.454202293413766,0.727182673575212,-0.0409311189079352,0.683259298047444,0.051833718645923,0.0822814583252105,-0.253958323879287,0.0419223960296423,-0.962796678463025,0,0,0,0,0.516754591976231,-0.48713140312053,-0.610793049134534,-0.350142169545801,0.014670568918977,-0.784761878753509,-0.246369625621224,-0.568538103942132,0.0536662083115026,-0.325207166349565,-0.17153037382594,-0.928405928403888,0,0,0,0
6,6,0.928275777586549,0.10909210884213,-0.335321789732268,0.118162133804419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489592514148188,0.338563139384209,0.662905216964316,-0.454126462631125,0.727588327541033,-0.0424481977817474,0.68259790302819,0.0536048403844474,0.0822920622723128,-0.253678632493802,0.0418588021540948,-0.962872270129984,0,0,0,0,0.517336641406791,-0.486515047344797,-0.610406159008184,-0.350813667364752,0.0153256524254446,-0.78429313638503,-0.246976515417769,-0.568904211119205,0.0536356144201846,-0.325896575104721,-0.172173786042232,-0.928046782549601,0,0,0,0
7,7,0.928243274279069,0.109977546415976,-0.33499822341927,0.118513937348853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490550388647584,0.337709307271468,0.662666141468267,-0.45407744375986,0.727924986965897,-0.044086637957013,0.681977155014752,0.0555764495297365,0.0823175473708186,-0.253397263304192,0.0418150187713387,-0.962946079772877,0,0,0,0,0.517912296317773,-0.485960265505382,-0.609935770964854,-0.35155060655658,0.0159759935201213,-0.783810524802326,-0.247588313658518,-0.569285390450061,0.0535834986353362,-0.326690898910008,-0.172939437647888,-0.927628059164556,0,0,0,0
8,8,0.928208188308067,0.110962796590226,-0.334657092343734,0.118833696714229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491837612067169,0.336735669469475,0.662317784799729,-0.453916296469944,0.728110993682307,-0.0454211229578503,0.681549909490079,0.0572802177219688,0.0823431197309479,-0.25311583488,0.0417713418099664,-0.963019802376551,0,0,0,0,0.518474625646745,-0.485453601981093,-0.609322157956899,-0.352484568040644,0.0166064794649435,-0.783328129193212,-0.248164796348715,-0.569680174051761,0.0534989038089483,-0.327576321943194,-0.173806577903654,-0.927158505365092,0,0,0,0
9,9,0.92815057426678,0.112150473806532,-0.33429754941756,0.119180246545433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493305583582646,0.335911797478937,0.661834317271915,-0.453638845340513,0.72815321757049,-0.0462489587921101,0.681347574765419,0.0584757036184332,0.082370644688219,-0.252882379949275,0.041734142961314,-0.963080391304964,0,0,0,0,0.519020414395292,-0.485043291842545,-0.608425870161494,-0.353791993970634,0.0172278394157155,-0.782862327304034,-0.24868366207787,-0.570075621521144,0.0533214148261975,-0.328573409265619,-0.174773917732179,-0.92663391861352,0,0,0,0
