,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,-2.53785115673772,-0.130656593126622,0.924312340056422,0.0341105610503027,0.0193634133776472,0.0217882970814286,0.073530319917258,-0.311906375699109,0.0686154886617352
1,1,-2.5375362230078,-0.129551816993341,0.924615179125474,0.0346546174625886,0.0305759158354098,0.020165600369899,0.403339110903729,-0.565584168696447,0.326798216384398
2,2,-2.53723678974816,-0.128420898238015,0.924920252084462,0.0322941277779143,0.0379866748524025,0.0183186573975666,0.30438720929235,-0.394407155231229,0.13175871305944
3,3,-2.5369291832754,-0.127299725783527,0.925227732510592,0.0303035862536487,0.045655566786658,0.0166804038626955,0.0411256671443533,-0.441241643253801,-0.118203013621506
4,4,-2.53659008020866,-0.126224690345072,0.92553766409474,0.0279071852250136,0.0523310777725908,0.0153431171883004,-0.163578137730882,-0.357700245397461,-0.17061923957555
5,5,-2.53619646587759,-0.125232644463508,0.925850017180953,0.0268531563322072,0.0588025255226609,0.0146942159579968,-0.229687525459227,-0.397011421089563,-0.313277822909584
6,6,-2.53574018940355,-0.124314782569,0.926169580410809,0.0324507191967118,0.0669003486252366,0.0143959252782186,-0.237405035533968,-0.239830491147827,-0.684672713602302
7,7,-2.5352374522028,-0.12344740482742,0.926496455008179,0.0377912693132923,0.070901103367881,0.014604065956631,-0.266244739939212,-0.207960984254919,-0.855797452887411
8,8,-2.53470163316848,-0.12264521578896,0.92682347328447,0.0405200579237152,0.0703591796145167,0.0149281537269873,-0.293673069872525,-0.167189466132386,-0.6593668406721
9,9,-2.53414561893713,-0.121922797982809,0.927143218783842,0.0401601683847466,0.0678535874209887,0.0150919793762163,-0.291934932312537,-0.141234373287048,-0.360382141814903
10,10,-2.53358181921343,-0.1212946688251,0.927447987115534,0.0370353388391464,0.0628982738050639,0.0148640468096909,-0.290992431686055,0.0320240073512437,-0.0663579068134638
11,11,-2.53298119253559,-0.120772511128999,0.927744856356147,0.03633455610814,0.059001921235208,0.0134430246637294,-0.0486494325335073,-0.0502606092573767,-0.214313513966743
12,12,-2.53233503816696,-0.120347069749882,0.928038663289725,0.0344960253876163,0.0529274360634981,0.0115568160261899,-0.0666710335422147,-0.0022074973043905,-0.233250401555589
13,13,-2.53168595040606,-0.120001314271937,0.928318163538079,0.0326040052176374,0.0466671484750137,0.00937985346176064,-0.104210879868486,-0.0585040508976711,-0.358689091608754
14,14,-2.53107651743979,-0.119718083753416,0.928572124455257,0.0316837182073937,0.0420369124294745,0.0071021849470037,-0.176010012289954,-0.157162586006913,-0.492769420744132
15,15,-2.53054935618186,-0.119480128343134,0.928789325847394,0.0318292160992318,0.0381486287587844,0.00493237973911014,-0.339944222455417,-0.0205371132824632,-0.590081685046645
16,16,-2.53010524364828,-0.119300422232327,0.928973714650579,0.0313494795425727,0.0350534300499564,0.00209158346689672,-0.153581635021577,0.0119570609304582,-0.565131312245596
