,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0765433835956466,0.0247503602772774,12.6265700074953,0.0728960132577187,-0.00821700797717977,-12.6265912408267,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-5.423150537466,12.5367106974667,-1.75800589060509,-0.552224497900194,2.94589895241969,2.63370601595236,-9.01128654409804,18.9355806295674,-7.80016170100705,0.0,0.0,0.0,8.24641830338162,-5.67613768368638,-1.52803840661247,-0.370194308776262,0.0266399452757498,8.53498467172557,-1.62503685077291,4.50805496202056,1.99059942682898,0.187209316144814,-0.00389831838809005,-2.38582910247356
1,1,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0760277389974653,0.0244972775872338,12.6263211599276,0.0724243188511687,-0.00807348696711039,-12.6263419992283,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-5.58527728783871,13.1982027451685,-1.28494825074276,-0.355301274235859,2.68335910725328,3.53642274998237,-9.88764743801723,18.3967124947579,-7.67788437751529,0.0,0.0,0.0,8.33919815641507,-5.60284286244838,-1.61423509957281,-0.292397085860068,0.0390927715080399,8.42237084855963,-1.60506552949815,4.47005816351599,1.94389821528569,0.177602703597606,-0.00370977339204799,-2.39322691697802
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0754781193895045,0.0242364096862392,12.6260683939547,0.0719195506657033,-0.00792959921598901,-12.6260888281236,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-5.74976975742584,13.9162523455539,-0.811383613591659,-0.179494865936246,2.46029798183039,4.44030438421073,-10.8748300979386,17.8576593345076,-7.59456269298219,0.0,0.0,0.0,8.43287044068412,-5.52503710414905,-1.70477300848911,-0.213288388315848,0.0547190769132652,8.31115769595499,-1.58273255839534,4.4242715281368,1.89862506203825,0.166459346234768,-0.00348726311753757,-2.40028204630377
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0749458574044912,0.0239777736964988,12.6258178238509,0.071432068684832,-0.00778410319953692,-12.625837861702,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-5.92142575432961,14.6054747956615,-0.337403792084873,-0.0128870132092663,2.22711454580167,5.34941812624054,-11.8093419952222,17.33252279432,-7.47475921428777,0.0,0.0,0.0,8.5263551481204,-5.44963980837138,-1.7931839408448,-0.134815783593019,0.0686440536691026,8.1992833920765,-1.56162966667027,4.38241610513674,1.85260741918916,0.156082874143539,-0.00327971225543139,-2.40750650432769
4,4,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0744822485106988,0.0237316581057898,12.6255755917495,0.0710121340599182,-0.00763604488310367,-12.6255952614863,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-6.10336428865258,15.1806987288361,0.136638406198743,0.158232487215135,1.93442842644019,6.2682228475633,-12.5259333142669,16.8327490748985,-7.25217106552894,0.0,0.0,0.0,8.61854501480375,-5.38356422810646,-1.87297123537704,-0.0589447866163611,0.0759895935406981,8.08466558934842,-1.54533056566778,4.35620555397772,1.80369225686944,0.148776857041543,-0.00313645175794705,-2.41541297289311
5,5,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0741385481279256,0.0235085613474458,12.6253478727928,0.0707099199213967,-0.007484695323977,-12.6253672214539,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-6.29712639374396,15.5569280902847,0.610286455429713,0.349372103144218,1.53311791126202,7.20143638271609,-12.8595749901817,16.3655610304878,-6.86597607910625,0.0,0.0,0.0,8.70830458763966,-5.33371996887196,-1.93761364275702,0.0123400582617229,0.0718741382463689,7.96520389974544,-1.53738612039577,4.35734455041782,1.74973624148383,0.146844827472441,-0.00310739098568047,-2.42451473028911
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0739645311299348,0.0233133134063481,12.6251261914975,0.0705753538079465,-0.00732386760815087,-12.6251452771274,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-6.50650448045372,15.7136740969401,1.08979029448292,0.572154049328259,0.955020307528806,8.15864462896742,-12.7137357309439,15.8930100131102,-6.23369967277307,0.0,0.0,0.0,8.79913646408575,-5.29787298218972,-1.98510307593525,0.0802937886349302,0.0418898900855646,7.83810167544732,-1.53946100564416,4.39347223604327,1.68907171561191,0.150306480310352,-0.0031941110320598,-2.43476703991364
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0739259043174527,0.023139132723115,12.6249066211726,0.0705748122243997,-0.0071543002558087,-12.6249254875567,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-6.72720466691354,15.7080839678745,1.57542547555703,0.81977614040406,0.233156013438733,9.13703721700792,-12.2041346758819,15.3953900974216,-5.39933342333221,0.0,0.0,0.0,8.89173524236788,-5.27142200451251,-2.01975224110548,0.146238722355119,-0.0107202892821326,7.70473840307198,-1.54911208449851,4.45675998286681,1.62312197118472,0.157626019178558,-0.00336489233117076,-2.44582887058867
8,8,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0739478402634859,0.0229792523462445,12.6247020338905,0.0706331277518661,-0.00698580377390529,-12.6247207061373,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-6.94794604729649,15.5716330729914,2.05790746908457,1.08204344607618,-0.529969276915502,10.1217455673839,-11.4846131524281,14.9073525766092,-4.4900324537066,0.0,0.0,0.0,8.98073506628709,-5.25771694526789,-2.04449399569625,0.20821448787667,-0.0643588747520308,7.56925148624281,-1.56372721162451,4.53570566654628,1.55437312199536,0.168773865225797,-0.00362046632353088,-2.45776932058422
9,9,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0739555845673919,0.0228270834585828,12.6245251221823,0.0706751682297122,-0.0068283538595168,-12.6245436078647,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-7.1579491155036,15.335664967606,2.52798176645563,1.34956957287685,-1.23222665136264,11.0969011962386,-10.7039972426853,14.4724955344974,-3.63480549847504,0.0,0.0,0.0,9.06077107069702,-5.26009126503253,-2.06224651593391,0.264175684912895,-0.0974196765049013,7.43575712690885,-1.58073024853871,4.61881409790762,1.48531928513849,0.183720636005782,-0.00396175882009759,-2.47065723706792
10,10,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0738744402099649,0.0226762484315544,12.624388380162,0.070625813270434,-0.00669212903970525,-12.6244066703929,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-7.34693643912806,15.0313979045888,2.9763570645591,1.61374029018956,-1.77173582617972,12.0460129432478,-10.0046160219001,14.1446886859291,-2.96709479268204,0.0,0.0,0.0,9.12647797919958,-5.28185948229662,-2.07592244267144,0.312000346715763,-0.0882869413365048,7.30836010107859,-1.5975858605004,4.69459872845814,1.41847214523856,0.20243718655128,-0.00438991240402575,-2.48456106967844
11,11,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0736751729972176,0.0225263894982825,12.6243010042723,0.0704551839046434,-0.00658329817163811,-12.6243190869902,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-7.51552010702404,14.6081307618643,3.39936409418356,1.89277306624374,-2.14600593110604,12.9629971027345,-9.34114783255354,13.9511496387181,-2.51675932072534,0.0,0.0,0.0,9.18098627075971,-5.32545406940376,-2.08693342150946,0.349250838909246,-0.0297604836598918,7.18286608156884,-1.6176919073707,4.76408057522711,1.35205147849585,0.22831545188448,-0.0049826821124449,-2.50042835745479
