,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0746922188089542,0.00801828986568518,12.6265809136708,0.0711330525509193,-0.0241518036807739,-12.6266011324001,0,0,0,90.0,-3.3722866834339,-3.3722866834339,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-5.42059029132859,12.7035812257632,-1.76590536145985,-0.551641171066137,2.97127481423883,2.63382817572236,-8.92722463830982,20.1685721459209,-7.89641606470408,0.0,0.0,0.0,8.24346543109111,-5.8975678263105,-1.5439951603065,-0.366094508741207,0.0815824424939813,8.53516020137777,-1.62405594252637,4.45159333139181,1.99139968641961,0.187047034407156,0.00389495991180285,-2.38584182340085
1,1,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0741891170212779,0.00787824731990191,12.626331919458,0.0706728347638022,-0.0239048645007608,-12.6263517630232,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,-5.5838683211187,13.3238489423522,-1.2910756473467,-0.35462469677243,2.70527544924258,3.53649057435882,-9.79812469785066,19.7307692962816,-7.79223652549177,0.0,0.0,0.0,8.33586516694588,-5.83942962308791,-1.63147584764387,-0.28924362073318,0.0819203241591867,8.422478950966,-1.60414160513402,4.41559864057418,1.94466063182742,0.177447793290513,0.00370650312370944,-2.39323840127029
2,2,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0736528619769665,0.00773784674536676,12.6260789982834,0.0701803431912277,-0.0236503282422053,-12.6260984561129,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,169.975012137924,169.975012137924,0,90,0,0,0,0,-5.7491912865674,13.997948299698,-0.815485837501936,-0.178956117160195,2.47419458776118,4.44032608637356,-10.7782903601008,19.3121007650332,-7.73177718524166,0.0,0.0,0.0,8.42911075939485,-5.77773658699866,-1.72339467153429,-0.211048350658531,0.0855498176385341,8.31121447836155,-1.58186343518307,4.37182038060028,1.89934916274535,0.166313298380403,0.00348416910526677,-2.4002921643501
3,3,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0731335431297592,0.00759587645815993,12.6258282789522,0.0697047182352612,-0.0233979692362795,-12.6258473594371,0,0,0,90.0,17.1899348451505,17.1899348451505,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-5.92132271578099,14.6404694036525,-0.339213689797181,-0.0128308858501885,2.22831599400254,5.34941826076741,-11.707562566884,18.8905398525753,-7.63450423546182,0.0,0.0,0.0,8.52214863226648,-5.71843040402178,-1.81321080940482,-0.133437696132456,0.0878710509652697,8.19930578122477,-1.56081319856228,4.33191852274207,1.85329527240764,0.155945104953686,0.00327680725134862,-2.40751542695483
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0726812139042888,0.00745140531979276,12.6255859177169,0.0692950040854161,-0.0231578266756113,-12.6256046477105,0,0,0,90.0,-6.72136933936946,-6.72136933936946,0,90,0,0,0,0,0,0,0,90.0,27.9383527296024,27.9383527296024,0,90,0,0,0,0,-6.10334686711629,15.1660881950606,0.137417325476299,0.157286517695519,1.91715208101467,6.26824656081025,-12.4241204507133,18.4392409675526,-7.42704540479337,0.0,0.0,0.0,8.61390550031274,-5.66739174099174,-1.89434701378376,-0.0583589537773976,0.0842793708007168,8.08466981114952,-1.54456472152152,4.30755422700487,1.80434806153401,0.148644672836645,0.00313367716015983,-2.41542110631754
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0723458888599922,0.00730372185021163,12.6253581035086,0.0690001592466937,-0.0229401446768315,-12.6253765277991,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-6.29676773291252,15.4895841239204,0.613990713261876,0.346616068148117,1.48932075202328,7.20156886059053,-12.765789734018,17.9288451538874,-7.04086464255398,0.0,0.0,0.0,8.70328681819063,-5.63044472700524,-1.96019352206264,0.0122210063983715,0.0701641556271523,7.96520408211234,-1.53666911357041,4.31039087945216,1.75036592647881,0.146713374869314,0.00310461949465885,-2.42452268362816
6,6,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0721761421220441,0.00714678898407028,12.6251363740758,0.0688689066898591,-0.0227496373152808,-12.6251545479326,0,0,0,90.0,3.79266029964088,3.79266029964088,0,90,0,0,0,0,0,0,0,90.0,19.4712206344907,19.4712206344907,0,90,0,0,0,0,-6.50532248108479,15.5893905402373,1.09685342031382,0.566363043321695,0.873820713487516,8.15904595723064,-12.6373157363233,17.2963516540507,-6.38910027837746,0.0,0.0,0.0,8.79381394121057,-5.60508812304692,-2.00872536628809,0.0795436330402463,0.0309398666544441,7.83810927639799,-1.53879194941661,4.34808479693073,1.6896812371903,0.150170788726286,0.00319121041429892,-2.43477540780143
7,7,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0721385111894547,0.00698132747377644,12.624916792953,0.0688684373744051,-0.0225796874051409,-12.6249347580689,0,0,0,90.0,-7.55237227989766,-7.55237227989766,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-6.72465003278084,15.5222796806971,1.58634169121722,0.809373602711613,0.102969919788475,9.13795675232193,-12.1491572981869,16.5612865701219,-5.52341286983642,0.0,0.0,0.0,8.88616639364384,-5.58733964240605,-2.04429981294624,0.14491849324234,-0.0303262845931364,7.704763197855,-1.5484903762517,4.41287064460055,1.62371508955109,0.157482423977756,0.00336178397406701,-2.44583811502139
8,8,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0721599744755589,0.00681691026863011,12.6247122115542,0.0689253981107368,-0.0224236904898211,-12.6247299918354,0,0,0,90.0,3.79266029964088,3.79266029964088,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-6.94344285793716,15.3209069360619,2.07311835463092,1.0652011631685,-0.720149897209141,10.1235134693199,-11.4488890090461,15.8185940846238,-4.58138101340934,0.0,0.0,0.0,8.97497090726499,-5.58075635419961,-2.06984682120124,0.206400176942813,-0.0917859266110953,7.56930088739097,-1.56315166906721,4.49327809881961,1.55495191541465,0.168618609783669,0.00361708637783741,-2.45777997046949
9,9,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0721675814514197,0.00666327158375861,12.6245353018446,0.0689664699013815,-0.0222752159640504,-12.6245529044978,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-10.0249878620757,-10.0249878620757,0,90,0,0,0,0,-7.15094658340963,15.0182976311728,2.54781248723049,1.32433223437288,-1.4920230816376,11.0999037969363,-10.6822118234748,15.1590681766085,-3.6989945204621,0.0,0.0,0.0,9.0548532446194,-5.58888699311185,-2.08828174231042,0.261954107871938,-0.131608066526815,7.4358352810517,-1.58019898749275,4.57782990002142,1.48588448642156,0.183549854095592,0.00395804991668086,-2.47066992282763
10,10,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0720884374341176,0.00653034361943063,12.6243985373954,0.0689183450796674,-0.022128039330411,-12.6244159539521,0,0,0,90.0,-5.887516018717,-5.887516018717,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-7.33697119323687,14.6478175842191,3.00095032716008,1.57819714847284,-2.10860402869121,12.0506527229031,-9.99106639212746,14.6678655726395,-3.01282605559622,0.0,0.0,0.0,9.12043718639329,-5.61527568873145,-2.10251556625594,0.309465597412928,-0.127976684181426,7.30846728733589,-1.59709617086919,4.65504107473395,1.41902350758455,0.20224688245634,0.00438581294217778,-2.48457655829692
11,11,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0718940123051855,0.00642414596171297,12.6243111067184,0.0687518644367386,-0.0219818107398733,-12.6243283256862,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,-7.50222028183908,14.1599313898441,3.42874950371608,1.84451912043752,-2.57074281547056,12.9698344873276,-9.33205697704422,14.3650006040005,-2.55053718463785,0.0,0.0,0.0,9.17484414147163,-5.66267437371055,-2.11399109394875,0.346509932629706,-0.0734301335084667,7.18299813330466,-1.61724139966045,4.72590008864305,1.35259035907554,0.228098070553705,0.00497805596497958,-2.50044818464068
