,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,464,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0971939264012643,-0.000288004347442079,12.6088103780226,0.0996602772946361,0.0220362191256895,-12.6087914369258,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,4.93669105074641,-2.44839813048386,-1.06557528685561,0.256497821860625,0.794140973726327,-5.16303151366922,-1.82202675153494,-5.90497679649508,6.67599350368598,-0.530093574318764,0.00220708522940408,-0.0563508851181822,-5.90247179023117,6.12373949875099,12.681477597715,-0.366138800293978,-1.65411083219674,0.458400534474677,2.1432623711679,-6.00028667820112,-1.47157683920247,0.69716433270759,-0.00310976906941256,-0.502700885972041
1,465,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0982321230434382,-0.000264505224496323,12.609021009084,0.100718957852331,0.0222447504148059,-12.6090017075723,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,4.97576249626869,-2.72074229405613,-1.16999666361956,0.282277331988602,0.881670134810523,-5.26188022617249,-1.91251738830831,-5.72809299731625,6.64081163964511,-0.634809744929107,0.00311218677667325,-0.0586448144940958,-5.87815096467932,6.18144538089308,12.6194592201626,-0.528098598313554,-1.90872892673975,0.441319341926383,2.21785773968769,-5.85154740377592,-1.3947420294302,0.749591209050582,-0.00355540927441182,-0.543510943874255
2,466,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0980711757961563,-0.000400416543449742,12.6093352974033,0.100584560810107,0.0223485832288422,-12.6093158192834,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.00016858466314,-2.97539958009271,-1.27348799842789,0.305735191609046,0.980140936997782,-5.33871965201375,-2.0177291881334,-5.56005527033865,6.60721864906041,-0.692337321565786,0.00390763715185155,-0.0382688820876821,-5.89913424355878,6.12774116709667,12.5417505238241,-0.576617032583835,-1.97003008384768,0.441542619397366,2.31954184305919,-5.77798155959356,-1.26184760613108,0.754869969503675,-0.00345829962423605,-0.518388645739304
3,467,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0965511843624954,-0.000655032688338481,12.6097355145435,0.0990841194317555,0.0222701831743351,-12.6097161840058,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.01365906350423,-3.23717438234218,-1.38447056308124,0.329389603107806,1.09861222983167,-5.40696074054866,-2.13385896532531,-5.39601825176595,6.57323106792237,-0.720932338834829,0.00460846653800368,0.00125393135868608,-5.95256879688861,6.00897259877615,12.4425352148109,-0.54953099201621,-1.91052834233105,0.442408769084279,2.45415193379865,-5.75323981881049,-1.08305290373335,0.726914921986386,-0.00293917509718495,-0.445324953835849
4,468,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0949448031471496,-0.000944307923255123,12.6101540256387,0.0975029126738611,0.0222079828724415,-12.6101348217297,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.02469203917481,-3.48527362654616,-1.49437071120852,0.354551542612056,1.21737344752299,-5.46232338420419,-2.25431490800185,-5.24451746310155,6.54191301359169,-0.733604588219453,0.00527736352322621,0.0408730359814131,-6.02925186001296,5.84480926101176,12.3328904235556,-0.47744728124336,-1.76322446695841,0.442994506537699,2.60250146413276,-5.76274333294805,-0.880536001284197,0.674593142770133,-0.00218713828622915,-0.348123329533597
5,469,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0945243718380077,-0.00118495772164273,12.6105215285249,0.0971260723320954,0.0223611634846026,-12.6105020788745,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.04179388357528,-3.69895735625979,-1.59449640842459,0.382589521467864,1.3167495072059,-5.50039947231393,-2.37256442248928,-5.11408988871273,6.51637578908851,-0.7433668158731,0.00599287893843462,0.0615418355754072,-6.11987610775745,5.65501759831565,12.2237501677482,-0.391095200661288,-1.56100841694505,0.442301684482159,2.74538860408823,-5.79166160434672,-0.676467756418082,0.606751635411411,-0.00141872044146042,-0.250595842837708
6,470,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0965618620028993,-0.00129484498325857,12.6107676288733,0.0992386129291271,0.0229300288330217,-12.6107471852603,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.07355015596184,-3.85754185120235,-1.676042586753,0.414865332030989,1.3770995678875,-5.51663908822876,-2.48212892171797,-5.01327953694124,6.49977046959593,-0.763233753422111,0.00684636104828501,0.0442163056988286,-6.21501416689453,5.45950065259794,12.1257724114652,-0.321349526169457,-1.3366479956021,0.439460176382167,2.86345837212208,-5.82486646291382,-0.492888281720021,0.532220914912624,-0.000820048666984433,-0.17656184215703
7,471,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.102029547093557,-0.00124764044360157,12.6108640902911,0.10483094246998,0.024105087391621,-12.6108414863295,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.1242886208408,-3.95305639776303,-1.73292550510505,0.450733952920926,1.39962009575491,-5.50403967220373,-2.58293306785725,-4.94775725515573,6.49264574613072,-0.792976044378328,0.00787081970605246,-0.0221091370730826,-6.31965713681302,5.23122381961669,12.0417137592851,-0.262576757565526,-1.04465938692806,0.437628531672238,2.95272001544829,-5.8819849032293,-0.328339802982004,0.437427029395372,-0.000364667280254469,-0.126249592144367
8,472,0,0,-2.84254309044707,0,0,-7.08969429797764,0,0,-1.2692626097445,0,0,4.88473757495349,-0.110078497091981,-0.00110256305584777,12.6108576707635,0.113046408671625,0.0257571631106571,-12.6108318403133,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.1885204557575,-3.99935026200382,-1.77090717245748,0.489354622537524,1.39752117582342,-5.46544822548714,-2.67945312126967,-4.91177169159116,6.49302651817364,-0.823921526181901,0.00901212793793036,-0.124739001425231,-6.44026527265056,4.95701513583989,11.9646578242446,-0.193845741723576,-0.663232252318421,0.437356820271184,3.02635247200912,-5.97294416731135,-0.168250774653705,0.316471415069079,-3.50630441978804e-05,-0.0837745450216694
9,473,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.11924878704935,-0.000906203860647579,12.6107920784591,0.122399432380274,0.0276074290539451,-12.6107623810487,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,5.26008607938406,-4.00849769564896,-1.79890894071619,0.531661927630645,1.36917373655791,-5.41098401628674,-2.77204533057703,-4.89675474240241,6.50027667628936,-0.85642201455285,0.0102648737252737,-0.247163347398229,-6.56939745393569,4.67763063272782,11.8903496474441,-0.123435796972504,-0.260525138845636,0.434031362738935,3.09042288529121,-6.06789275173082,-0.014786835101643,0.18968970393604,0.000110900066694065,-0.0487976148667986
