,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,464,0.934127033889429,0.10537557804852,-0.339399539163974,0.0333260397161414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337858280944583,0.379159123516533,0.649288401024162,-0.566140188775566,0.663401477739471,0.0439451413538319,0.744519117032498,-0.0604862650328736,0.0690530132974622,0.251163379636435,-0.0838240291554683,0.961832714259755,0,0,0,0,0.505914896177762,-0.524165191035047,-0.532625813257261,-0.430825618301278,0.00190871624926571,-0.484953254387151,-0.0959486598880254,-0.340015518073987,0.0494218241047586,-0.325709642283014,-0.172144418202649,-0.928351771424874,0,0,0,0
1,465,0.934285090753122,0.105270656801451,-0.338993045504527,0.0333642490187812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335651496051472,0.380063775897193,0.648453688014144,-0.567800505415442,0.662927467542633,0.044524582283118,0.744784198701923,-0.0619776710917726,0.0691144253382307,0.251298046407221,-0.0839213773367554,0.961784638319818,0,0,0,0,0.506535123615861,-0.5247653657021,-0.531732724088626,-0.430469266773245,0.00429554102977231,-0.807886992417474,-0.163730845401721,-0.566120451912796,0.049809931263172,-0.32558033914304,-0.171992865441209,-0.928404474218206,0,0,0,0
2,466,0.934458097778761,0.104989994050755,-0.338599801839011,0.0333966890500463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333562795548869,0.380988220393655,0.647556187520937,-0.569433772576099,0.662417693650568,0.0450301175805287,0.745077204297294,-0.0635220220543658,0.069165364103872,0.251423663524133,-0.0839577675264026,0.96174496988571,0,0,0,0,0.507176110072756,-0.525482916025919,-0.531456749720183,-0.429178076692209,0.00475318544019263,-0.807848345362576,-0.16673035609403,-0.565295892856014,0.0501827166923925,-0.325101547539123,-0.171702869274229,-0.928605838564477,0,0,0,0
3,467,0.934621872310005,0.104565329357943,-0.338273931253727,0.0334483950310751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331548332055525,0.381804573347614,0.646691780880783,-0.571043528834087,0.661850736693029,0.0454569621974111,0.745412092186797,-0.0651772947304502,0.0692516329413274,0.25159223918886,-0.0839866803520883,0.961692151386467,0,0,0,0,0.507680863459776,-0.52636260685271,-0.531589088309126,-0.427335451577128,0.00455230004201061,-0.808409800295612,-0.168235400017961,-0.564047623460231,0.0503975158665975,-0.324394678554128,-0.171413971914599,-0.928894737391004,0,0,0,0
4,468,0.934710826199745,0.104059403899951,-0.338177147202998,0.0335190834394313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329696662611494,0.382477983892483,0.64584822711687,-0.572617472690434,0.661222864249256,0.0457539770156639,0.745805425367116,-0.0668218891848746,0.0693415965150289,0.251782838319494,-0.0839703785136307,0.961637208542184,0,0,0,0,0.508108374847665,-0.527201620125092,-0.532178241603759,-0.425053702854914,0.00382756770887904,-0.809467931446535,-0.168321811952795,-0.562507586887528,0.0505053770781188,-0.323595856910225,-0.17122183168097,-0.929202890994506,0,0,0,0
5,469,0.934750001219555,0.103504941757529,-0.338238217214145,0.0335271631309595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328056434747299,0.382898085064591,0.645099225481465,-0.574121085972267,0.660497562757731,0.0458185269192933,0.746306369129327,-0.0683405851529302,0.0694257674698946,0.252027681436215,-0.0839661270403218,0.96156736639247,0,0,0,0,0.508567052419933,-0.527654642100849,-0.533195785887394,-0.422661076720167,0.00299459183432549,-0.810563903021915,-0.167537638209459,-0.561166937123726,0.0505331951517412,-0.32271931189601,-0.171076235651347,-0.929532981401138,0,0,0,0
6,470,0.934807874622319,0.102987361097773,-0.338240865609941,0.0334807083207199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32666436101877,0.383038188987492,0.644500250919504,-0.575492456581385,0.659698004061434,0.0456331667854268,0.746903204404413,-0.0696545818802647,0.0695147549263584,0.252331679002089,-0.0839381310396091,0.961483651851186,0,0,0,0,0.509217139478018,-0.527631704640727,-0.53459103520608,-0.420137018360722,0.00223085382025801,-0.811495005089367,-0.16647164714383,-0.560141116776355,0.0505509221058391,-0.321873104772092,-0.170956429020977,-0.929847411178318,0,0,0,0
7,471,0.934916012099868,0.102620872696122,-0.338062929871757,0.0333835626152972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32559176375301,0.382895368316598,0.644105619665085,-0.576636012588321,0.658820267131763,0.0452660487849524,0.747596783256888,-0.0707523152114826,0.0696145480758955,0.252711798771961,-0.0838994668459889,0.961379966985264,0,0,0,0,0.510045743467733,-0.527352071725393,-0.536138866997636,-0.417502391983417,0.00147110691028423,-0.812294406958301,-0.16549054657621,-0.55927498715983,0.0505884051055979,-0.321139607881305,-0.170815189747827,-0.930124903693115,0,0,0,0
8,472,0.935070729078289,0.102483198883234,-0.337686592211,0.0332819922567605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324880966051245,0.382460912502514,0.64396955960316,-0.577476592261424,0.657884041384382,0.0447846175917485,0.74836255564171,-0.0716687619003052,0.0697165629855712,0.253168073353064,-0.083835179017781,0.961258128828689,0,0,0,0,0.511210307788473,-0.526856068831623,-0.537614612002675,-0.414797821724411,0.000781182024858937,-0.813085284752455,-0.16474252458965,-0.558347212821459,0.0506271642219998,-0.320541887299609,-0.170716407236427,-0.930347084173176,0,0,0,0
9,473,0.93524235727179,0.102572695155955,-0.337190500997917,0.0332135726762973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32448819951769,0.381715410719831,0.644105018599948,-0.578039340016853,0.656879856239642,0.044211421810895,0.749201183545616,-0.0724692432822032,0.0698271872256946,0.253703440134004,-0.083770615202841,0.961114567789323,0,0,0,0,0.512640605623999,-0.526292930370633,-0.538833677741323,-0.412157286286572,0.000283932160064017,-0.813839153693113,-0.164420415828795,-0.557343411333886,0.0506048886353948,-0.320084765480287,-0.170713044726749,-0.930506283973275,0,0,0,0
