,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,0,0,0,-5.82634181333449,0,0,-0.0059101251013521,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.999779749292,-0.000543002982102475,0.000626356045179377,0,90,0,-0.000504630068195537,0.000438669373753594,-0.000176545486738196,0,0,0,90.000220250708,-0.000543002982101869,-0.000626356045175819,0,90,0,0.000504630068193947,0.000438669373745246,0.000176545486740582,18.947665566875,-13.1058443251624,41.3601076783796,-26.144101022942,-26.4395976821975,73.2768629802594,0.274616638500033,6.40675935872258,2.76860708904694,0,0,0.0,-16.83058198838,-11.2119334389797,43.6047096460163,59.1168842692073,57.8007583998515,64.9902349011807,9.74236743763063,16.7937948174603,2.35765857246075,0,0,-2.68269689771387
1,1,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135846,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9999004619391,-0.000574767086138788,0.000489283508071641,0,90,0,-0.000396472480589335,0.000464200368870781,-8.1399328622766e-05,0,0,0,90.0000995380609,-0.000574767086140923,-0.000489283508071386,0,90,0,0.000396472480590926,0.000464200368868495,8.13993286211757e-05,18.93759835463,-13.1004087633575,41.3725625496275,-26.1301983368246,-26.4280580566317,73.2771870237014,0.279149756287965,6.40657593356993,2.77113916355216,0,0,0.0,-16.8251710370195,-11.2234278817983,43.620729837657,59.111466701453,57.7853557167578,64.9797705509435,9.74228997277488,16.8055334321897,2.35362912560932,0,0,-2.65860593474542
2,2,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135846,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9999004687834,-0.000382471988370587,0.000305523327459174,0,90,0,-0.000248382881273843,0.000310619659344091,-8.04404233387705e-05,0,0,0,90.0000995312166,-0.000382471988373161,-0.000305523327457953,0,90,0,0.000248382881273843,0.000310619659337333,8.04404233411559e-05,18.9235200576844,-13.0905040292197,41.3794115891876,-26.1213987479206,-26.418569911189,73.2751316586313,0.282645407146675,6.39994399274473,2.77294051057657,0,0,0.0,-16.8214527921199,-11.2316541255472,43.6299832336103,59.1069276979846,57.7760432904201,64.9700046266011,9.7399034364145,16.8104815968539,2.35056608395742,0,0,-2.63106162338735
3,3,0,0,0,0,0,-5.82634181333448,0,0,-0.005910125101368,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9998841191647,-0.000116165685970116,0.000337328060783669,0,90,0,-0.000272346063084012,9.6038800503757e-05,-9.35096934775659e-05,0,0,0,90.0001158808353,-0.000116165685973788,-0.00033732806078453,0,90,0,0.000272346063084012,9.60388004967001e-05,9.35096934767708e-05,18.9060561136052,-13.0746531676473,41.3813973062617,-26.1116117255303,-26.4033373213838,73.2766518974597,0.283545425266258,6.38703973488623,2.78036537962776,0,0,0.0,-16.8153793858052,-11.2422836398412,43.6379761205406,59.121881570489,57.7863253618503,64.9648597249754,9.73791954172163,16.8124508419296,2.353119757096,0,0,-2.60574077790036
4,4,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136482,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.999851078804,9.51835683273371e-05,0.000106383325396937,0,90,0,-8.78302610018534e-05,-7.51863951117252e-05,-0.000120071983051344,0,0,0,90.000148921196,9.51835683289887e-05,-0.000106383325395285,0,90,0,8.78302609986729e-05,-7.51863950973133e-05,0.000120071983050549,18.8895259639345,-13.0602308207676,41.3784292846768,-26.0952654044484,-26.3771122711962,73.2743556286061,0.285421907306499,6.36593442120783,2.78129007776199,0,0,0.0,-16.8128205602527,-11.2453120493459,43.6414199160428,59.1369094911773,57.8004134803446,64.9646541322703,9.73764600239514,16.8122257754949,2.35705061316491,0,0,-2.57510980925883
5,5,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136482,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9997785527879,0.000375962193855671,4.90677386377524e-05,0,90,0,-4.01334960319728e-05,-0.00030152158223647,-0.00017835830432239,0,0,0,90.0002214472121,0.000375962193853897,-4.90677386383323e-05,0,90,0,4.01334960351534e-05,-0.000301521582241638,0.00017835830432716,18.8693645691554,-13.0451051506745,41.3691906430926,-26.0708326809306,-26.3377210524215,73.2705703304679,0.285651373959038,6.33976456085455,2.77804165399141,0,0,0.0,-16.8047232504364,-11.242260014173,43.6411358855702,59.1575219921247,57.8237976115202,64.9741097117186,9.73089942620818,16.8080839261996,2.3604239292756,0,0,-2.55022791983181
6,6,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135209,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9997920178394,0.000520583288659409,-0.000221810385834896,0,90,0,0.000177045656880426,-0.000419481828924631,-0.000168170912377746,0,0,0,90.0002079821606,0.000520583288658144,0.000221810385835598,0,90,0,-0.000177045656880426,-0.00041948182892642,0.000168170912375361,18.8548119474576,-13.0308097079141,41.3604792486291,-26.0680888232036,-26.320760723263,73.2690076420232,0.284410261496576,6.31504435336956,2.77292367058087,0,0,0.0,-16.7986964658958,-11.2294967388133,43.6360957466513,59.1656499740803,57.8361792973653,64.9881183714091,9.72315416301911,16.8052084719125,2.36068614718093,0,0,-2.52512797660032
7,7,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510134573,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9997507562386,0.000538201614425716,-0.000490023039582447,0,90,0,0.000393787171720817,-0.000434756210618192,-0.000201080229807025,0,0,0,90.0002492437614,0.000538201614424539,0.000490023039584292,0,90,0,-0.000393787171723998,-0.000434756210619584,0.000201080229803844,18.8513827936143,-13.0233025202807,41.3548178135634,-26.0957218699921,-26.3429063676533,73.2739112944761,0.280067364757881,6.30280349358556,2.76866504814043,0,0,0.0,-16.7916440642433,-11.2107230609799,43.6297682820439,59.1585041097472,57.8319187505677,65.0014924508025,9.71337082587469,16.8080877019673,2.35171641598732,0,0,-2.51107986722404
8,8,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510134891,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9998603036063,0.000387319323729553,-0.000469313403405599,0,90,0,0.000379387940810632,-0.00031420304376867,-0.000113770296964206,0,0,0,90.0001396963937,0.000387319323726988,0.000469313403406056,0,90,0,-0.000379387940812222,-0.000314203043783679,0.000113770296965796,18.8564865224121,-13.0105468637832,41.3635305195638,-26.1763438734492,-26.4294759407587,73.2870086028225,0.273825694896433,6.30414846454994,2.76382125163395,0,0,0.0,-16.7868276264409,-11.1897722230394,43.6249227731236,59.1446180819763,57.8232874592318,65.0201739828532,9.71051873088756,16.8095030775609,2.34023547373631,0,0,-2.51220414133422
9,9,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136482,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9999750636241,0.000202557558553955,-0.000592580941835761,0,90,0,0.000477858595553382,-0.000165188000163467,-2.10885013597985e-05,0,0,0,90.0000249363758,0.000202557558551952,0.00059258094183671,0,90,0,-0.000477858595554973,-0.000165188000170524,2.10885013590033e-05,18.8718259538422,-12.9874773885827,41.388743710345,-26.3740554528809,-26.6277942186494,73.3306628789033,0.262733389205365,6.2975243704415,2.78234443558009,0,0,0.0,-16.7895537490528,-11.1621956692935,43.624698143084,59.1423876504613,57.8358546703577,65.046512250623,9.71148372474428,16.7977479971818,2.32847032222283,0,0,-2.52904290241641
