,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.114826247855287,-0.288634426118062,0.00314871796920222,-0.950523638021761,0.114826410099493,-0.288683449533637,0.00314279573570524,-0.950508750272183,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.112838879027898,-0.132636616828456,0.0215027672893714,-0.984485929942591,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.114523604963452,-0.239957716057489,0.00897932427788645,-0.963962660141025,0.114523604963452,-0.239957716057489,0.00897932427788645,-0.963962660141025,0.114518955865493,-0.239954241870537,0.00898019109061932,-0.963964069207867,0.114517832194616,-0.23995341741591,0.00898040816550399,-0.963964405903586,0.114523604963452,-0.239957716057489,0.00897932427788645,-0.963962660141025,0.114523604963452,-0.239957716057489,0.00897932427788645,-0.963962660141025,0.114518955865493,-0.239954241870537,0.00898019109061932,-0.963964069207867,0.0359918982515278,-0.585496989641131,0.0643904656180874,-0.807311418424706,0.0232286489629464,-0.0253017737803529,-0.00980682120923222,0.999361834556781,-0.0330305160844066,-0.00191874573850881,-0.0126704585415897,0.999372184374938,-0.0330305160844066,-0.00191874573850881,-0.0126704585415897,0.999372184374938,0.204808481104924,-0.576045882298717,0.167270450904737,-0.773463136683522,0.0406516263232929,0.0360395039560626,0.0761778803999026,-0.995613142726456,-0.109036354651946,0.0199834714122052,-0.00656123796528489,-0.993815216421491,0.109160066869124,0.00328603454388097,0.00400702889314392,0.994010676752294
1,1,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.11474507544432,-0.288546517512411,0.0031595174674944,-0.950560094019368,0.114745238245624,-0.288595542808342,0.0031535994204965,-0.950545210803678,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.112757024904099,-0.132544003435979,0.0215004238127137,-0.984507832505061,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.114440585329907,-0.239868467050858,0.00898668112273502,-0.963994663110963,0.114440585329907,-0.239868467050858,0.00898668112273502,-0.963994663110963,0.114437043234519,-0.239864674370379,0.00898699954954126,-0.963996024350739,0.11443621582498,-0.239863769628819,0.00898706832112942,-0.963996347052261,0.114440585329907,-0.239868467050858,0.00898668112273502,-0.963994663110963,0.114440585329907,-0.239868467050858,0.00898668112273502,-0.963994663110963,0.114437043234519,-0.239864674370379,0.00898699954954126,-0.963996024350739,0.0359768840805522,-0.585487784593934,0.0643529470925769,-0.807321755004559,0.0232331704786727,-0.0253040637087695,-0.00980117168193135,0.999361726895218,-0.0330264831829794,-0.00190182219068788,-0.0127059246996002,0.999371899724245,-0.0330264831829794,-0.00190182219068788,-0.0127059246996002,0.999371899724245,0.204836690594539,-0.576059327648351,0.167302504783723,-0.77343871968547,0.040752421729752,0.0359586123854456,0.0761492340397796,-0.995614138345589,-0.109031724897351,0.0199518642896994,-0.0065931126298588,-0.993816148461637,0.10915533298585,0.00310868055448864,0.0040619513771026,0.994011544166852
2,2,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.11469391036816,-0.288490434867322,0.0031733432838197,-0.950583245069535,0.114694073882607,-0.288539461357356,0.00316742787567144,-0.950568364746308,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.112704305772489,-0.132484936378925,0.0215058746271268,-0.984521700344658,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.114387222783404,-0.239809677117192,0.00899769619340161,-0.96401552035642,0.114387222783404,-0.239809677117192,0.00899769619340161,-0.96401552035642,0.114384940500655,-0.239807163787588,0.0089981631687248,-0.964016412019216,0.114384414206584,-0.239806582864581,0.00899827593225382,-0.964016617922988,0.114387222783404,-0.239809677117192,0.00899769619340161,-0.96401552035642,0.114387222783404,-0.239809677117192,0.00899769619340161,-0.96401552035642,0.114384940500655,-0.239807163787588,0.0089981631687248,-0.964016412019216,0.0360057542419786,-0.58546310556068,0.0643054396874195,-0.807342150587542,0.0231736967751209,-0.0253139881670616,-0.00979353374551485,0.999362931310557,-0.0330296203353603,-0.00189705546988248,-0.0127280386207767,0.999371523705731,-0.0330296203353603,-0.00189705546988248,-0.0127280386207767,0.999371523705731,0.20486271287564,-0.576059064248163,0.167331825395503,-0.773425680709254,0.0408035880211422,0.0358975508546755,0.076122587450982,-0.995616283879992,-0.109017912931504,0.0199228067984585,-0.0066027593973113,-0.993818182565438,0.109140766611744,0.00289884697916298,0.00409815019254689,0.994013629139255
3,3,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.114635367823805,-0.288477368436857,0.00318344958055656,-0.950594238354312,0.114635531859568,-0.288526395493894,0.00317753719176001,-0.95057935870498,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.112644900303559,-0.132470277617545,0.021506472117299,-0.984530458462612,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.114328523155598,-0.23979380976302,0.00900500900513384,-0.964026362401576,0.114328523155598,-0.23979380976302,0.00900500900513384,-0.964026362401576,0.114326028759574,-0.239793116509797,0.00900532158196845,-0.964026827741733,0.114325433689249,-0.23979297461342,0.00900539388899714,-0.964026932932227,0.114328523155598,-0.23979380976302,0.00900500900513384,-0.964026362401576,0.114328523155598,-0.23979380976302,0.00900500900513384,-0.964026362401576,0.114326028759574,-0.239793116509797,0.00900532158196845,-0.964026827741733,0.0360521965065553,-0.585434123307733,0.0642645097349891,-0.807364353425689,0.0230625814096004,-0.0253564834930046,-0.00981631127478186,0.999364200938052,-0.0330299883307354,-0.0018748847102831,-0.0127588500993488,0.999371160491605,-0.0330299883307354,-0.0018748847102831,-0.0127588500993488,0.999371160491605,0.20488544273301,-0.576083585986769,0.16735712779198,-0.773395920011182,0.0408369431326146,0.0358881520969677,0.076089846466892,-0.995617757916809,-0.109001052216225,0.0198962983173627,-0.0066235407396546,-0.99382042474337,0.109123474552962,0.00270575624263991,0.00414342583656857,0.994015884283034
4,4,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.114615432775344,-0.288497195915397,0.00320280782977362,-0.950590559884054,0.114615597809546,-0.288546222782687,0.00319689646911283,-0.950575679212113,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.112622121596443,-0.132490438304918,0.0215223868423046,-0.984530003783276,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.114305739700736,-0.239812005742682,0.0090227787240888,-0.964024371702934,0.114305739700736,-0.239812005742682,0.0090227787240888,-0.964024371702934,0.114304755450425,-0.239812764950393,0.00902353004831427,-0.964024292512244,0.114304540567828,-0.239812963418051,0.00902371397216263,-0.964024266898079,0.114305739700736,-0.239812005742682,0.0090227787240888,-0.964024371702934,0.114305739700736,-0.239812005742682,0.0090227787240888,-0.964024371702934,0.114304755450425,-0.239812764950393,0.00902353004831427,-0.964024292512244,0.0361171642928047,-0.585404438653356,0.0642270288943074,-0.807385956285967,0.0228974463813715,-0.0253630940172086,-0.00985288908103928,0.999367470447104,-0.0330127491936833,-0.00187369830191145,-0.0128083061244451,0.999371099712,-0.0330127491936833,-0.00187369830191145,-0.0128083061244451,0.999371099712,0.204888851169329,-0.576115936996427,0.167375501112761,-0.773366942293562,0.0408276798359751,0.0358905259897931,0.0760772000587019,-0.995619018668595,-0.109008994867423,0.0198655194505379,-0.00663966521867626,-0.993820061691621,0.109130666059118,0.00247081304675353,0.00418853694207999,0.994015517467744
5,5,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.114601079818211,-0.288563140979508,0.00323034269039728,-0.95057218087773,0.114601246272558,-0.288612166898803,0.00322443206996183,-0.950557296804659,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.11260354302807,-0.132558475947251,0.0215472668086474,-0.984522426278419,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.114289653430585,-0.239876369782968,0.00904909854371675,-0.964010018700017,0.114289653430585,-0.239876369782968,0.00904909854371675,-0.964010018700017,0.114288966258052,-0.239879087411796,0.00905021425883147,-0.964009413458198,0.114288806768006,-0.239879757328819,0.009050483796054,-0.964009263137274,0.114289653430585,-0.239876369782968,0.00904909854371675,-0.964010018700017,0.114289653430585,-0.239876369782968,0.00904909854371675,-0.964010018700017,0.114288966258052,-0.239879087411796,0.00905021425883147,-0.964009413458198,0.0361758985090556,-0.585367668643711,0.0641765829401944,-0.807413997324674,0.0226821758628682,-0.0253596756846053,-0.00988717179228272,0.999372127678798,-0.0330001943205021,-0.00189673842562051,-0.0128377691056619,0.999371092859176,-0.0330001943205021,-0.00189673842562051,-0.0128377691056619,0.999371092859176,0.204842533460095,-0.576172865982447,0.167328279892408,-0.773347018963332,0.0407830551283474,0.0359374502993949,0.0760434064491875,-0.995621736612847,-0.109018726442448,0.0198728720562902,-0.00661426717746634,-0.993819016577367,0.109138917986685,0.00224760294413314,0.00418662466956187,0.994015149298831
6,6,0.114319087267622,-0.239967755821818,0.00908299407425437,-0.96398346545508,0.114319087267622,-0.239967755821818,0.00908299407425437,-0.96398346545508,0.114632973440624,-0.288649714648895,0.00326127202428977,-0.950541944228689,0.114633141490127,-0.288698739008603,0.0032553597588814,-0.950527055690572,0.114319087267622,-0.239967755821817,0.00908299407425437,-0.96398346545508,0.112630069993207,-0.132648775328647,0.0215829059299364,-0.9845064488914,0.114319087267622,-0.239967755821817,0.00908299407425437,-0.96398346545508,0.114319087267622,-0.239967755821817,0.00908299407425437,-0.96398346545508,0.114317615605829,-0.239963186582967,0.00908129930011278,-0.963984793370813,0.114317615605829,-0.239963186582967,0.00908129930011278,-0.963984793370813,0.114318786063478,-0.239966869150208,0.00908266627657243,-0.963983724985297,0.114319087267622,-0.239967755821817,0.00908299407425437,-0.96398346545508,0.114317615605829,-0.239963186582967,0.00908129930011278,-0.963984793370813,0.114317615605829,-0.239963186582967,0.00908129930011278,-0.963984793370813,0.114318786063478,-0.239966869150208,0.00908266627657243,-0.963983724985297,0.0362781269218465,-0.585361986653149,0.0641547629139612,-0.807415263965188,0.0224631284310101,-0.0253564229907202,-0.00992948824632511,0.999376738241077,-0.0330034040273022,-0.00193579136095433,-0.0128611143341678,0.999370611821511,-0.0330034040273022,-0.00193579136095433,-0.0128611143341678,0.999370611821511,0.204769023227361,-0.576231903477285,0.167242125619939,-0.773341135566693,0.0407405907407691,0.0359719431772393,0.0760181494160698,-0.995624158269325,-0.109035282776318,0.0198920786113796,-0.00656853983898186,-0.993817119294486,0.109153543090178,0.002010631780847,0.00416444913386211,0.99401414414188
7,7,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.114706809872856,-0.288738178571529,0.00330760393159741,-0.9505060082715,0.114706980311856,-0.288787201077701,0.00330168785797126,-0.950491115170853,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.112695530653874,-0.132741853557873,0.0216404677772363,-0.984485148612738,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.114386830727224,-0.240053194621499,0.0091304326963151,-0.963953708383848,0.114386830727224,-0.240053194621499,0.0091304326963151,-0.963953708383848,0.114389756711271,-0.240057021172369,0.00913251513735477,-0.963952388509231,0.114390473576798,-0.240057931778491,0.00913301866042761,-0.963952071897383,0.114386830727224,-0.240053194621499,0.0091304326963151,-0.963953708383848,0.114386830727224,-0.240053194621499,0.0091304326963151,-0.963953708383848,0.114389756711271,-0.240057021172369,0.00913251513735477,-0.963952388509231,0.03639336408282,-0.585397989830834,0.0641872468815717,-0.807381393079205,0.0223525592812702,-0.0253793810465738,-0.00997928594552585,0.99937813862586,-0.0330060432683619,-0.00199373452042298,-0.0128665208370787,0.999370341150857,-0.0330060432683619,-0.00199373452042298,-0.0128665208370787,0.999370341150857,0.204695835905995,-0.576295943446823,0.167118347125078,-0.773339549217331,0.0407506057851241,0.0359602529318398,0.07598516675821,-0.995626688458054,-0.109044110375996,0.0199477382996829,-0.00650445920642579,-0.993815456581083,0.109160453112301,0.00183308995043706,0.00411357187582319,0.994013940437443
8,8,0.114460552300467,-0.240120397627727,0.00916586599517223,-0.9639278829408,0.114460552300467,-0.240120397627727,0.00916586599517223,-0.9639278829408,0.114778467418168,-0.288799334352462,0.0033368472404169,-0.950478675902414,0.114778639365313,-0.28884835544887,0.00333092747097303,-0.950463779647659,0.114460552300467,-0.240120397627727,0.00916586599517222,-0.9639278829408,0.112761578093906,-0.132806598063184,0.0216808126725273,-0.984467966151522,0.114460552300467,-0.240120397627727,0.00916586599517222,-0.9639278829408,0.114460552300467,-0.240120397627727,0.00916586599517222,-0.9639278829408,0.114456866254075,-0.240117037545122,0.00916409433281062,-0.963929174484781,0.114456866254075,-0.240117037545122,0.00916409433281062,-0.963929174484781,0.11445984435066,-0.240119763875939,0.0091655324870808,-0.963928128047737,0.114460552300467,-0.240120397627727,0.00916586599517222,-0.9639278829408,0.114456866254075,-0.240117037545122,0.00916409433281062,-0.963929174484781,0.114456866254075,-0.240117037545122,0.00916409433281062,-0.963929174484781,0.11445984435066,-0.240119763875939,0.0091655324870808,-0.963928128047737,0.0365739480060629,-0.585513746301925,0.0642783282914318,-0.807282042244712,0.0223419725932625,-0.0254195250945474,-0.0100273479841881,0.999376874005504,-0.0330263629643439,-0.00207451532978855,-0.0128545195218621,0.999369659867337,-0.0330263629643439,-0.00207451532978855,-0.0128545195218621,0.999369659867337,0.20460913715321,-0.576351520375991,0.166984091249534,-0.773350075466002,0.0407404489808686,0.0359622385910964,0.0759881161690789,-0.995626807299517,-0.10906391626162,0.0200423770280655,-0.00645818802842263,-0.993811680903446,0.109179280264932,0.00174814360821648,0.00406580665595324,0.994012222244271
9,9,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.114874810357847,-0.288828592134203,0.0033551859212213,-0.950458081684015,0.114874983250691,-0.288877612168414,0.0033492611828109,-0.9504431839203,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.112853739000308,-0.132838777099876,0.0217143482740695,-0.984452324884904,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.114550890127596,-0.240148982982747,0.00918782821874927,-0.963909821174134,0.114550890127596,-0.240148982982747,0.00918782821874927,-0.963909821174134,0.114554878780876,-0.240150355259189,0.00918884191959082,-0.963908995601017,0.114555838718261,-0.240150664249735,0.00918907736789461,-0.963908802290494,0.114550890127596,-0.240148982982747,0.00918782821874927,-0.963909821174134,0.114550890127596,-0.240148982982747,0.00918782821874927,-0.963909821174134,0.114554878780876,-0.240150355259189,0.00918884191959082,-0.963908995601017,0.036888710251352,-0.585721017433415,0.0644616036395914,-0.807102728559983,0.0222771758193212,-0.0257066694515336,-0.0100782272016122,0.999370463801936,-0.0330325458001518,-0.00219446934113144,-0.0128040982940994,0.999369846597919,-0.0330325458001518,-0.00219446934113144,-0.0128040982940994,0.999369846597919,0.204512206804394,-0.576421972396999,0.166857268058764,-0.773350579686804,0.0406245124090239,0.0360075548469835,0.0760299065676243,-0.995626716341415,-0.109079047480336,0.0201726189430786,-0.0064009867701624,-0.993807755158979,0.109193741740707,0.00176391278969929,0.00399224191561819,0.994010904055293
