,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136005,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0037782057359,0.000657809062922255,-0.00646059899724023,0,90,0,0.00521382502387999,-0.000528450378468832,0.00305698325274725,0,0,0,89.9962217942641,0.000657809062921835,0.00646059899724065,0,90,0,-0.00521382502388039,-0.000528450378476734,-0.00305698325274764,-8.78615282744755,-15.2632238972446,55.6149817663445,12.2382786899146,12.4688103958059,35.1121261198506,8.41575195241213,16.7244526021803,-15.3167427212228,0,0,0.0,16.119273377797,-24.8168435461463,56.602013395951,-4.95441710971541,-6.06560532264039,43.0041352844193,9.81450505876786,8.51973075332131,-12.8749219380636,0,0,0.0
1,1,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136084,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0036584708257,0.00221758804573549,-0.0060601394620349,0,90,0,0.00490034419875841,-0.00177932432488023,0.0029571906807465,0,0,0,89.9963415291743,0.00221758804573471,0.00606013946203582,0,90,0,-0.00490034419875921,-0.00177932432488262,-0.00295719068074849,-8.71709303612758,-15.3969789334916,55.3796221907002,12.3464817402358,12.6024700298071,34.8007211903455,8.40067171906458,16.8327991130985,-15.3890222019582,0,0,0.0,15.8873532521698,-24.620645217226,56.4883784269526,-4.90504435218313,-6.05154191102754,42.9295186742291,10.09583986496,8.32352706448127,-12.8697390186978,0,0,0.0
2,2,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135846,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0028830869267,0.00250101637405731,-0.00591989813777333,0,90,0,0.0047850092222679,-0.00201858906656677,0.00233585740734767,0,0,0,89.9971169130733,0.00250101637405815,0.00591989813777404,0,90,0,-0.0047850092222679,-0.00201858906655837,-0.00233585740734608,-8.69519172313634,-15.4546516490669,55.1934942038937,12.4613016519481,12.7516811200478,34.4981983798735,8.35883156663835,16.8885223257912,-15.535561696217,0,0,0.0,15.6786578076797,-24.4215375035709,56.3853819652149,-4.84840019744294,-6.01516914891659,42.8523277599965,10.1321157323261,8.14166406968335,-12.838070775903,0,0,0.0
3,3,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136164,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0019012165302,0.00479110055601196,-0.00609899232339842,0,90,0,0.00492714684812605,-0.00385305934198833,0.00154398056073521,0,0,0,89.9980987834698,0.00479110055601175,0.00609899232339821,0,90,0,-0.00492714684812645,-0.00385305934198853,-0.00154398056073561,-8.70958269689465,-15.4727005911701,55.0107847193331,12.5612078531261,12.8641322054027,34.2392196832074,8.29063103131442,16.9007001239877,-15.6648765876522,0,0,0.0,15.4694404752277,-24.1702493642493,56.2650185074444,-4.85079353477684,-6.02370648058964,42.8157426131125,10.1475929160527,8.00911742917615,-12.7969219147599,0,0,0.0
4,4,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136243,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0014473373682,0.00487610920385536,-0.00651315855021173,0,90,0,0.00525988414145554,-0.00393941017155914,0.00117290703605498,0,0,0,89.9985526626318,0.00487610920385438,0.00651315855021215,0,90,0,-0.00525988414145475,-0.00393941017155596,-0.00117290703605339,-8.73109821696074,-15.4722292898852,54.8600228932216,12.6210553924619,12.9135179333785,34.030528553928,8.24572962433842,16.8989499112514,-15.7755121538881,0,0,0.0,15.2573359073164,-23.870082828463,56.1734937925723,-4.85872814040072,-6.01713296590624,42.7850044025133,10.1244076838122,7.85212823992199,-12.7869469739575,0,0,0.0
5,5,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136084,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.0007790721797,0.00591813567225745,-0.0068076969947419,0,90,0,0.00549880822684076,-0.00477390197199813,0.000634485413309488,0,0,0,89.9992209278203,0.00591813567225675,0.00680769699474246,0,90,0,-0.00549880822684116,-0.00477390197199768,-0.000634485413308693,-8.71840044667696,-15.4987107939314,54.7049127720732,12.6288895570408,12.9103080961188,33.8648457189076,8.24194876282311,16.8970585605752,-15.8544714142997,0,0,0.0,15.0433440036965,-23.5067993725812,56.08851461034,-4.91489536894387,-6.05745358100917,42.7725213463115,10.1068597629711,7.65488612771375,-12.7835042009549,0,0,0.0
6,6,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135925,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,90.000384222899,0.007365561973713,-0.00702185186439164,0,90,0,0.00567250057522021,-0.00594018884990195,0.0003130819101251,0,0,0,89.999615777101,0.007365561973713,0.00702185186439304,0,90,0,-0.00567250057521982,-0.005940188849902,-0.000313081910123907,-8.6486818091138,-15.574259839399,54.5135203026329,12.5934781657393,12.873520312007,33.7145871451952,8.23935372681165,16.8806861450053,-15.9093694786534,0,0,0.0,14.8356412140448,-23.0912292105896,55.9982666302301,-5.03228974559749,-6.16355502040945,42.7696573633688,10.1223539689978,7.4004659970165,-12.7895907090961,0,0,0.0
7,7,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136084,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9995660643352,0.00886765254190904,-0.00614608396354975,0,90,0,0.00497353473215926,-0.00715353471065109,-0.000344682879491108,0,0,0,90.0004339356648,0.00886765254190869,0.00614608396354996,0,90,0,-0.00497353473216085,-0.00715353471065104,0.000344682879491505,-8.55852782553809,-15.6956518650712,54.2612111834769,12.5495878289819,12.8426271019956,33.5503277349999,8.21943234506221,16.850661909561,-15.9481111524121,0,0,0.0,14.6660251997277,-22.6812107187685,55.8855821035428,-5.14510353986057,-6.2811957935731,42.7431706797752,10.1647194116368,7.11503987299813,-12.8228270331143,0,0,0.0
8,8,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135846,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9993657662514,0.00969408510092343,-0.00433619822705127,0,90,0,0.00351861428581635,-0.00782680983909743,-0.000511336003794293,0,0,0,90.0006342337486,0.00969408510092249,0.00433619822705292,0,90,0,-0.00351861428581476,-0.00782680983910011,0.000511336003793498,-8.46423539283476,-15.8456344633616,53.9463527778092,12.510468440229,12.8397667454255,33.3534725100891,8.18472739647774,16.8105911993911,-15.976501091628,0,0,0.0,14.5241662547009,-22.3305124629123,55.7440897063051,-5.2260594266183,-6.37933454042344,42.7118195716977,10.2247693779731,6.8348934034215,-12.8591395998643,0,0,0.0
9,9,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135845,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9998741896064,0.00966918082855612,-0.00442812549492268,0,90,0,0.0035776777010077,-0.00781361047077692,-0.000106303185437096,0,0,0,90.0001258103936,0.00966918082855561,0.00442812549492329,0,90,0,-0.00357767770100809,-0.00781361047077433,0.000106303185438288,-8.30479288524208,-16.0626769837654,53.6043730636485,12.4623997487065,12.848761329889,33.1318682553022,8.14286655342073,16.753900699391,-16.0156949415687,0,0,0.0,14.3183485037398,-21.9998711248395,55.5910897824022,-5.23853580716288,-6.40708669935123,42.6898756451695,10.2801463568199,6.54220344458385,-12.8670885745346,0,0,0.0
