,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,479,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136044,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9940850999248,24.1120207791228,24.1143170318384,0,90,0,-0.00195008744299586,0.00185661220248511,-0.0043623171879554,0,0,0,89.9940850996783,-155.887979220849,-155.885682968134,0,90,0,0.00195008744299586,0.00185661220248233,0.00436231718795461,-1.50620796110294,9.46005459665867,12.4288668695919,0.623678914468103,14.9571390723932,7.91190871625191,5.85086730418818,-12.4349039771989,4.76648550255314,0,0,0.0,2.36600213970215,-8.93744311231873,13.323998913915,-3.3325386213348,-4.88329650138977,18.0436032718601,-3.48616193436641,3.14444879023794,9.928514856909,0,0,0.0
1,480,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136243,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9939421638974,25.4118328466669,25.4138331843587,0,90,0,-0.00209915230311694,0.00161891540735752,-0.00442099423938213,0,0,0,89.9939421637771,-154.588167153256,-154.586166815564,0,90,0,0.00209915230311694,0.00161891540735802,0.00442099423938332,-1.5947236189224,9.6208643469922,12.481971875603,0.638864908982184,14.9032546531549,7.93501684685294,5.78197331000572,-12.5243939800663,4.78543256383602,0,0,0.0,2.18757076535296,-9.1443864039463,13.0487831995912,-2.89974058872143,-4.84746356723569,17.2597869129634,-3.48997198460811,3.18588602468155,9.93003390788104,0,0,0.0
2,481,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136203,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9938892216007,24.9760363835572,24.9778892915645,0,90,0,-0.00208517199825364,0.00149859655678194,-0.00447566462539798,0,0,0,89.9938892214814,-155.023963616339,-155.022110708332,0,90,0,0.00208517199825364,0.00149859655677553,0.0044756646253964,-1.68873561992666,9.78539963212413,12.5423124521063,0.661681882527343,14.8342930677185,7.96928773347972,5.71254155416458,-12.6021785463342,4.80485966031583,0,0,0.0,1.99960222094755,-9.36227507585148,12.7992716808037,-2.48874577740787,-4.80447775480971,16.536256822256,-3.51101341724232,3.27385302120567,9.8448125540763,0,0,0.0
3,482,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136123,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9937097906308,23.1878730378766,23.1897458505672,0,90,0,-0.0020022685392359,0.00151331852020476,-0.00467041282757361,0,0,0,89.993709790457,-156.812126962078,-156.810254149387,0,90,0,0.00200226853923669,0.00151331852020167,0.00467041282757322,-1.79144512610072,9.93850753833197,12.6106463811882,0.692677581470773,14.7600233906,8.01220372941276,5.64248721681636,-12.6669272836184,4.82732577136065,0,0,0.0,1.80320132210026,-9.58457519502361,12.5827816503053,-2.09863269727502,-4.75081488816886,15.8732582226204,-3.57035044209684,3.41120565621159,9.57772990628839,0,0,0.0
4,483,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136083,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9932388087624,20.3230249475577,20.3252516549686,0,90,0,-0.00189864007777806,0.00179658597650236,-0.00511893829868936,0,0,0,89.9932388087624,-159.6769750524,-159.67474834499,0,90,0,0.00189864007777886,0.00179658597648905,0.00511893829868976,-1.90473531347478,10.0734247444041,12.6922731751563,0.729178453867916,14.6857414427009,8.06110089765444,5.56139660074146,-12.7234832822585,4.85019715939268,0,0,0.0,1.60211335337975,-9.82039852071016,12.4128057087097,-1.74824967839426,-4.68058973561983,15.2957318617945,-1.91110846467666,3.90710823128801,8.09040667203687,0,0,0.0
5,484,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136044,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.6102129064991,0,0,0,89.9926126740977,19.5611521940177,19.5641335449583,0,90,0,-0.00199771565447222,0.00240314465957768,-0.00561994896407819,0,0,0,89.9926126739497,-160.438847805953,-160.435866455013,0,90,0,0.00199771565447302,0.00240314465956515,0.00561994896407938,-2.02649198640735,10.1996249131557,12.7953692456041,0.766938495735615,14.5991092024123,8.11589967015458,5.47530180067603,-12.7567193629891,4.87402373438765,0,0,0.0,1.39960061722709,-10.0774464143353,12.2903792321046,-1.48289387081685,-4.49755376375249,14.8960180444714,-0.796601986931611,3.73671573386984,10.010683788795,0,0,0.0
6,485,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135885,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9927082267714,24.5620795939734,24.5646713968636,0,90,0,-0.00244482720790728,0.00209758089366885,-0.00536175341338545,0,0,0,89.9927082267214,-155.437920406058,-155.435328603168,0,90,0,0.00244482720790728,0.00209758089369012,0.00536175341338465,-2.14860264935666,10.3311231831211,12.8810084950002,0.819194855884838,14.5031441192204,8.15542892524241,5.36392456904782,-12.7818154693025,4.89210155113066,0,0,0.0,1.17040110895273,-10.3749967039635,12.1900600815115,-1.23161889647272,-4.20359316055369,14.6569179527521,-2.21069848325952,2.50936863746097,11.062459641365,0,0,0.0
7,486,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135885,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.6102129064991,0,0,0,89.993447549517,30.6356690924805,30.6371945259994,0,90,0,-0.00269563712149476,0.00124142200866259,-0.00456392970439568,0,0,0,89.9934475494058,-149.364330907439,-149.36280547392,0,90,0,0.00269563712149476,0.00124142200866015,0.00456392970439528,-2.25310900967004,10.4632012791128,12.9372698269728,0.874097484102788,14.4179630504817,8.18228564292222,5.24267979229048,-12.814450656028,4.90640426069617,0,0,0.0,0.945283005227163,-10.7188876605129,12.0655443582472,-0.992634117678214,-4.13794531977285,14.3600940505779,-0.93745744845767,1.90868714082271,10.5472083630106,0,0,0.0
8,487,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135925,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9946188302344,30.8793522940034,30.8807904452834,0,90,0,-0.00223639744322242,0.00116300691086206,-0.00374034400101161,0,0,0,89.9946188303021,-149.120647705955,-149.119209554675,0,90,0,0.00223639744322242,0.00116300691086047,0.00374034400101081,-2.34828520107897,10.6142853331687,12.9911913793872,0.940590349321605,14.2955930517079,8.2178504945564,5.13712896418745,-12.8346418815535,4.92875684250164,0,0,0.0,0.787867939739212,-11.0817257811326,11.9042091544985,-0.755148545434244,-4.30904140291153,13.9015327574004,-0.33457211605746,2.57820025072289,10.5215345229659,0,0,0.0
9,488,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135845,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9959597388685,36.0017081754741,36.0028834037732,0,90,0,-0.00192229300919092,0.000951853862120404,-0.0026522554793911,0,0,0,89.9959597385979,-143.998291824367,-143.997116596068,0,90,0,0.00192229300919092,0.000951853862120752,0.0026522554793915,-2.40604068000986,10.7175544914963,13.0192918491477,0.994222702594966,14.22801439956,8.22143453896761,5.03787054877962,-12.8631670840998,4.93680609993818,0,0,0.0,0.693838891140567,-11.3733467886087,11.7498860679733,-0.534656312094084,-4.53965187168997,13.4344062317658,-0.399840645422237,2.6565027878703,10.5647005804572,0,0,0.0
