,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,279,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136164,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9962042147771,0.00225151694131039,0.00613088171116744,0,90,0,-0.00496227605092228,-0.00181508000411829,-0.00307009704406505,0,0,0,90.0037957852229,0.00225151694131096,-0.00613088171116673,0,90,0,0.00496227605092308,-0.0018150800041338,0.00307009704406584,-4.86107935997043,-10.9942714805715,4.17028881200144,9.31123797709493,8.19897045324509,16.0127720208526,5.2300787744077,-7.90713921740579,13.7980268993607,0,0,-8.84229534879598,-3.84883913897711,17.0108176166712,21.9901870646303,1.77873352525319,2.91463185264723,6.68481030066013,-2.47443317938902,-3.62146798981177,-4.60038926810594,0,0,0.0
1,280,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136084,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9965130304776,0.00240540411380234,0.00483658146843053,0,90,0,-0.00391899205638102,-0.00194244740275471,-0.00282013495807993,0,0,0,90.0034869695224,0.00240540411380314,-0.00483658146842896,0,90,0,0.00391899205638182,-0.00194244740274159,0.00282013495807913,-4.86727608635231,-10.9638338753932,3.87869004735851,9.44164061893215,8.09270712661062,16.1389115477648,4.99632976646166,-7.72274534958065,13.640161875941,0,0,-9.61049712412099,-3.89976698005296,17.1852152359374,21.9020064525019,1.63510572531306,2.78233374191511,7.24327158005495,-2.29112873515015,-3.79431817424513,-4.22915831585849,0,0,0.0
2,281,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136005,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.996664166475,0.00245251378122618,0.00341112150144438,0,90,0,-0.00276818966231848,-0.00198141451680041,-0.0026967675145176,0,0,0,90.003335833525,0.00245251378122508,-0.00341112150144449,0,90,0,0.00276818966231927,-0.00198141451680448,0.00269676751451999,-4.87833899050602,-10.9754803980395,3.58827856057876,9.58922700855023,8.03787513830196,16.2437324933814,4.73632718178614,-7.5615393458133,13.4398079490165,0,0,-10.3857879203056,-3.94169822487525,17.3316642702546,21.8253947856181,1.4788642847504,2.66626088500992,7.82016608294014,-2.09699843297699,-3.9138764173219,-3.76674581882599,0,0,0.0
3,282,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510136164,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9967045826423,0.00256335034656091,0.0020745581000284,0,90,0,-0.00168743436623417,-0.00207047941301275,-0.0026632393750339,0,0,0,90.0032954173576,0.00256335034655953,-0.00207455810002915,0,90,0,0.00168743436623417,-0.00207047941300589,0.00266323937503549,-4.89886091482813,-11.0247407491506,3.29695426424923,9.75424123114805,8.03570633689736,16.3462504325263,4.50721003726085,-7.42462855649003,13.1965212018316,0,0,-11.2362624607037,-3.96207431391711,17.4325813620047,21.7283433840505,1.32741740068123,2.50602932192023,8.35919909420841,-1.91391437660565,-3.9130557055898,-3.29604426778166,0,0,0.0
4,283,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135846,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.996436672164,0.00250523796972518,0.000666920447474576,0,90,0,-0.000550524553116904,-0.00202488498574266,-0.00287727829469742,0,0,0,90.003563327836,0.0025052379697237,-0.000666920447475143,0,90,0,0.000550524553116904,-0.00202488498574027,0.00287727829469504,-4.91872488501595,-11.1063163622206,3.01275924358021,9.92027366740488,8.06983067142687,16.4593062720944,4.31638152565537,-7.29226850864448,12.9063621126107,0,0,-12.1519998077172,-3.95241072070676,17.4844710508988,21.5978948602846,1.18006534925593,2.30459823806137,8.81658969042464,-1.72933306538637,-3.80116173812815,-2.84250890506103,0,0,0.0
5,284,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135766,0,0,5.83225193843585,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9961549763011,0.00225283927923083,-0.00092598524520864,0,90,0,0.000735171445601719,-0.0018225171446359,-0.0031048232601432,0,0,0,90.0038450236989,0.00225283927922851,0.000925985245207225,0,90,0,-0.000735171445601719,-0.00182251714465091,0.00310482326014241,-4.93538824655528,-11.2176452162434,2.7548615584617,10.0987126635118,8.12858812684998,16.6057046952067,4.10691753788239,-7.17042980032,12.60941624194,0,0,-12.9231138042836,-3.91385337506282,17.5033810265548,21.42223914037,1.02994002974846,2.0917228721839,9.17581700430477,-1.54222426848667,-3.61976233067724,-2.4120296751626,0,0,0.0
6,285,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136084,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9960859453321,0.00197665430206386,-0.00211499099094293,0,90,0,0.00169924519570362,-0.0015995535941832,-0.00316234873606436,0,0,0,90.0039140546679,0.00197665430206204,0.00211499099094118,0,90,0,-0.00169924519570283,-0.00159955359419821,0.00316234873606198,-4.9461522192292,-11.3494310949554,2.52176473162774,10.2773463514588,8.19966030170222,16.7854599653569,3.8879790951956,-7.04361085889164,12.293550015503,0,0,-13.8985642419877,-3.86631236936655,17.5018284743374,21.1903135859375,0.889709124891651,1.87528067171711,9.4464599696861,-1.34681619723949,-3.39627013251057,-1.99159329401632,0,0,0.0
7,286,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136005,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9959988802698,0.0016366740092716,-0.00237430240114957,0,90,0,0.00191634967974392,-0.00132534629812908,-0.00323257001284941,0,0,0,90.0040011197302,0.00163667400927108,0.00237430240114968,0,90,0,-0.00191634967974392,-0.00132534629813514,0.003232570012851,-4.95565440304021,-11.478532712968,2.31185829736414,10.456907945033,8.26521484251556,16.9840243939746,3.70832573753825,-6.89658898615466,11.9280458447025,0,0,-14.9715408926583,-3.83955941716513,17.4831045541054,20.9106367532976,0.784172164809962,1.66618860993622,9.6628218684547,-1.14573611178064,-3.14768108157391,-1.57118141668189,0,0,0.0
8,287,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135687,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9956672822084,0.00119410362703073,-0.00170479898069773,0,90,0,0.00138293424316846,-0.000968550879781583,-0.00349852556488743,0,0,0,90.0043327177915,0.00119410362702947,0.0017047989806971,0,90,0,-0.00138293424316687,-0.000968550879779496,0.00349852556488583,-4.97651104357958,-11.573576150085,2.11864207574256,10.6378323287802,8.30055188726039,17.2012654898854,3.55185243526064,-6.71890632540474,11.5366813481112,0,0,-16.0603323595334,-3.84363836976973,17.4262304379551,20.6040198247658,0.733102231524921,1.51735847617378,9.84067712098953,-0.952820715869074,-2.92228941928398,-1.16052528650351,0,0,0.0
9,288,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135925,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9950472318321,0.0008784925915658,-0.000889731878362773,0,90,0,0.000725557052210491,-0.0007124916544535,-0.00399720905584426,0,0,0,90.0049527681679,0.000878492591565053,0.000889731878360059,0,90,0,-0.000725557052208901,-0.000712491654453103,0.00399720905584425,-5.00323628214354,-11.6025962600076,1.93212556747378,10.7965643162185,8.26358258828184,17.4309480432701,3.46576343879993,-6.51154964774255,11.1276068523184,0,0,-16.8977099650852,-3.852962874648,17.3146929143665,20.2774921279767,0.727650335241954,1.46180915732215,9.98260282283265,-0.774743464554591,-2.7399666313028,-0.764055658609854,0,0,0.0
