,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,770,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.6102129064991,0,0,0,89.9956009451434,100.801123527402,100.801970708636,0,90,0,-0.00348519418628518,0.000686735872051958,0.00066564871079819,0,0,0,89.9956009449777,-79.1988764726378,-79.198029291404,0,90,0,0.00348519418628518,0.000686735872059429,-0.000665648710797991,1.6418598472521,4.1580492602219,5.52484172612039,8.89542207108065,20.725744183618,6.81751542776865,-2.85558984553713,-10.7553867672962,8.55530860667499,0,0,-0.290506533135171,6.25561094614608,-4.51444197252551,14.9199899425972,-0.795195810434609,-10.4717009655778,8.71849728664346,-3.396437880461,6.53358045077957,3.19966142485322,0,0,0.0
1,771,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136123,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.6102129064991,0,0,0,89.9949240901337,100.368382519581,100.369068460801,0,90,0,-0.00402927182286214,0.000555594836273959,0.000737494429560543,0,0,0,89.9949240899901,-79.6316174802072,-79.6309315389874,0,90,0,0.00402927182286214,0.000555594836273737,-0.000737494429560394,1.75320683896229,4.17179559995723,5.48091811557532,8.93736368974346,20.7250877112949,6.75425445937324,-2.99921336616611,-10.6847907725116,8.38632725956604,0,0,-0.44718768601592,6.13172736448826,-4.61556189967265,14.8091498439432,-0.807194086254879,-10.3911792794897,8.65391992112127,-3.29673199224642,6.43138182649936,3.28043986348764,0,0,0.0
2,772,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9945518498644,100.976962268389,100.977565371605,0,90,0,-0.00431906831703633,0.000488006831093091,0.000837302918846535,0,0,0,89.9945518497974,-79.0230377313815,-79.0224346281651,0,90,0,0.00431906831703653,0.000488006831086761,-0.000837302918846287,1.86430206386616,4.1757871240332,5.43000922675794,8.98100161356471,20.7301446317607,6.67979453250631,-3.14283990689164,-10.6000175162161,8.20703049404765,0,0,-0.620660730611794,6.014038420521,-4.68467518443229,14.6861470969101,-0.825519463892156,-10.3310513372929,8.57483379333453,-3.20801631719849,6.31210620348392,3.35973909641699,0,0,0.0
3,773,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136044,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9944766928703,101.817826048995,101.818571717259,0,90,0,-0.00436817654553439,0.000601379583988996,0.000913320703350233,0,0,0,89.9944766926724,-78.1821739508427,-78.1814282825794,0,90,0,0.00436817654553439,0.000601379583989189,-0.000913320703350581,1.97597905382208,4.17495695912775,5.37280679570191,9.02280512423685,20.7357805840157,6.59145941981291,-3.28396578999452,-10.5085059498058,8.01818427709303,0,0,-0.804635324574726,5.89802464451728,-4.72036472547397,14.5617751199498,-0.849107810163163,-10.3021631297949,8.48880658512698,-3.12196022041496,6.19265317187018,3.43457981870572,0,0,0.0
4,774,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136123,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9949664287593,101.635349772867,101.636414076158,0,90,0,-0.00398778910666402,0.000857428310126945,0.000821288660100861,0,0,0,89.9949664286869,-78.3646502270623,-78.3635859237707,0,90,0,0.00398778910666422,0.000857428310127283,-0.000821288660100811,2.07962052802828,4.15600609593139,5.31589249860696,9.06521015170517,20.7522280959332,6.49140963022954,-3.42542007117851,-10.4186796143079,7.81944621099665,0,0,-1.00426054651528,5.78471739451191,-4.71396193221037,14.4470147600597,-0.875328505639788,-10.3163471276181,8.39944204455644,-3.03642257075245,6.0858094566705,3.50364354169107,0,0,0.0
5,775,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135964,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9955238831462,99.8673773282503,99.8688247000661,0,90,0,-0.00356779733039862,0.00116645359327868,0.000621875965484857,0,0,0,89.9955238829834,-80.1326226716266,-80.1311752998108,0,90,0,0.00356779733039902,0.00116645359327975,-0.000621875965484733,2.18290842182021,4.12147870188556,5.25765550628752,9.1014746701173,20.7795244842806,6.37928653842296,-3.56638826489236,-10.3283198842327,7.61119832592988,0,0,-1.2291213429049,5.67947198247998,-4.67402471356152,14.3514691948625,-0.904016967367392,-10.3620350820575,8.31642097495553,-2.95629396024453,5.98948905728753,3.56951707761357,0,0,0.0
6,776,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135925,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9961127696192,99.2720827599938,99.2734201428403,0,90,0,-0.00310482981773162,0.00108155751266769,0.000507283812522911,0,0,0,89.9961127694317,-80.72791723973,-80.7265798568835,0,90,0,0.00310482981773162,0.00108155751266537,-0.000507283812522688,2.28272972969324,4.07665718963864,5.18878190681527,9.13075425421508,20.8147003583229,6.25823910342545,-3.69967273083888,-10.2403796676583,7.39506228451925,0,0,-1.47249583688527,5.58540767323232,-4.60919465688584,14.2585472235591,-0.94164454723142,-10.4241453400774,8.23539256722509,-2.87985169317594,5.89664194380562,3.63529080372947,0,0,0.0
7,777,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135964,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9965417565682,95.7184871766465,95.7196002179801,0,90,0,-0.00278387471117089,0.000901243079361236,0.000280743333028268,0,0,0,89.9965417562521,-84.2815128230923,-84.2803997817586,0,90,0,0.00278387471117089,0.000901243079356169,-0.000280743333028069,2.37739353111149,4.02633085934738,5.11248064009399,9.15433284077122,20.8557195992483,6.13545156748758,-3.82533690953261,-10.1604706720087,7.17870733380578,0,0,-1.72134271434672,5.5036294392767,-4.53240489672001,14.1645957098854,-0.986748214013763,-10.498594064428,8.15396876972564,-2.80180894984572,5.81478719227644,3.6903140144258,0,0,0.0
8,778,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136083,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9967983254898,96.9445806095379,96.9456395352993,0,90,0,-0.00257038750232939,0.000856145790955358,0.000312501808199926,0,0,0,89.9967983251482,-83.0554193901219,-83.0543604643605,0,90,0,0.00257038750232919,0.000856145790959886,-0.000312501808199665,2.45572204157821,4.0149638402397,5.05426814077702,9.18132276516627,20.827056215974,6.0552755654872,-3.94147834320152,-10.0433384114688,6.9699790530232,0,0,-1.99090357204343,5.43352029444649,-4.47558318710127,14.069034033456,-1.03547872730129,-10.5370693708154,8.07272529218371,-2.7310212903231,5.7111890314599,3.74775522023482,0,0,0.0
9,779,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9972585536941,87.9788280222944,87.9799082660055,0,90,0,-0.00221749654557086,0.000872759764890073,-7.42203200120711e-05,0,0,0,89.9972585534282,-92.021171977439,-92.0200917337278,0,90,0,0.00221749654557066,0.000872759764883258,7.42203200118617e-05,2.54151701304617,3.97579869874306,4.97537761537547,9.19331774542981,20.8613435460783,5.93403449890457,-4.06157129824565,-9.97498715338959,6.7508271942659,0,0,-2.26812859015951,5.36423615287833,-4.40613004171836,13.9775932364164,-1.07462400715805,-10.5972890573677,7.99666029170982,-2.66676384199041,5.63773615469831,3.80750483972944,0,0,0.0
10,780,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136084,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9974561368986,79.2374838240849,79.2390617425854,0,90,0,-0.00202146823568822,0.00127107053985236,-0.000380764833848685,0,0,0,89.9974561364688,-100.762516175496,-100.760938256995,0,90,0,0.00202146823568822,0.00127107053984901,0.00038076483384867,2.62205833505988,3.9387438418259,4.90364495136658,9.19861848082553,20.8974542396192,5.81126005687562,-4.18002298354115,-9.91488047916072,6.53847100967093,0,0,-2.54047146245812,5.2941872068314,-4.35093634391414,13.8957784874848,-1.1039822390955,-10.6423667058915,7.92338481991251,-2.60397146965002,5.56800136787509,3.87347513773542,0,0,0.0
11,781,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9974672682825,72.5705290094447,72.5726698566961,0,90,0,-0.0019533727340568,0.00172539986692698,-0.000610705219537015,0,0,0,89.9974672681386,-107.429470990082,-107.427330142831,0,90,0,0.001953372734057,0.00172539986692482,0.000610705219537009,2.69865732610132,3.91316797119774,4.8450798159708,9.20138064447535,20.9252453891071,5.69501757242856,-4.29632724791571,-9.85979825520326,6.33328928358559,0,0,-2.81729829422014,5.21710430589821,-4.31888852564593,13.8285982035657,-1.11598462633254,-10.6666914393749,7.85801359399152,-2.54448845620767,5.50331248227148,3.9418432101519,0,0,0.0
12,782,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136163,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.997254718753,66.1007049536371,66.1035864124849,0,90,0,-0.00202745631312306,0.00232243788378758,-0.00089585267231142,0,0,0,89.997254718753,-113.899295046069,-113.896413587221,0,90,0,0.00202745631312306,0.0023224378837879,0.000895852672311656,2.76593455530377,3.90048601802683,4.80593278014369,9.20161239660446,20.9518565918097,5.58779185064664,-4.40449243749497,-9.81164977179601,6.1290150309039,0,0,-3.10381184788598,5.13842247651464,-4.31448321705045,13.7783960439736,-1.11078942962865,-10.6662027498974,7.79933082568511,-2.49371871916985,5.43988621737233,4.01898897147361,0,0,0.0
13,783,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135925,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.99694581514,59.6075124890638,59.6113634952323,0,90,0,-0.0021278657445729,0.00310405355633891,-0.00124508253860175,0,0,0,89.996945814782,-120.392487510627,-120.388636504459,0,90,0,0.0021278657445727,0.00310405355633705,0.00124508253860166,2.82393484006336,3.8956040458065,4.79057553856905,9.20145603752226,20.9730784343894,5.48667961206257,-4.5107745034283,-9.76349858923374,5.93145257185947,0,0,-3.37597484573809,5.05712668419996,-4.34305285071066,13.749638834942,-1.09271994238091,-10.6422767890375,7.74805624003258,-2.44116791384526,5.38440856892755,4.09661551104211,0,0,0.0
14,784,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136203,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9966104238929,49.8900073557174,49.8947153737597,0,90,0,-0.0020951938170358,0.00379748926031111,-0.00175943785631919,0,0,0,89.9966104238929,-130.109992644072,-130.10528462603,0,90,0,0.0020951938170358,0.00379748926031778,0.00175943785631921,2.8703588282204,3.88795268926107,4.79587651147902,9.19908369782441,21.0058933116279,5.39261815204508,-4.61336216018116,-9.72281228075875,5.7454517928395,0,0,-3.63582560402678,4.97930903144192,-4.39186768330911,13.7410639648383,-1.0628831274336,-10.5993854757317,7.7008276388038,-2.3858927009366,5.33366053092291,4.1735694860376,0,0,0.0
