,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,770,0.272519158943222,0.544483353234198,0.1274361661119,-0.782963095954351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52115533442032,0.403009202742817,0.681575849127961,-0.318488715334378,0.48175517005477,-0.430867271950481,0.740180029382425,0.185469334907102,0.905486477911111,-0.0308810790901203,0.258447707387303,0.335179623218073,0,0,0,0,0.410221076370239,-0.373586874643036,-0.703925303773014,-0.44344185898961,0.561145490886842,-0.285890193453423,0.671587732178379,0.390323523928591,0.944460160525296,-0.153385831360324,0.117467721953279,0.265836653262004,0,0,0,0
1,771,0.271819560240169,0.544533297930268,0.127009243281857,-0.783240873701697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520942401337949,0.402881721222097,0.681268589089568,-0.3196536292822,0.481383819360752,-0.431041486275637,0.740634498428324,0.184210193270544,0.905086687128903,-0.0308528337190886,0.260362798130371,0.334779636153775,0,0,0,0,0.410500799786043,-0.374529426939588,-0.703964180808231,-0.442324805850091,0.560838020710218,-0.285783049482089,0.672584483039503,0.389125784713693,0.944421319310054,-0.153600417117225,0.117522108968427,0.26582670557656,0,0,0,0
2,772,0.27107298484163,0.544603538770327,0.126560553367964,-0.783523355605359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520644045165899,0.402843749106341,0.680933260257819,-0.320899652717006,0.481063716760314,-0.431156080298268,0.741100416663471,0.182899719135422,0.904664589998539,-0.030827779987111,0.262327172342381,0.334389117996823,0,0,0,0,0.410732271110747,-0.375731608770483,-0.703778252182886,-0.441385241476599,0.560619323681993,-0.285556327630959,0.673580564286584,0.38788243203274,0.944383544619326,-0.153862053961059,0.117550230956542,0.265797163651512,0,0,0,0
3,773,0.270310855049101,0.54465471139469,0.126128808522238,-0.783820649548704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520270103915248,0.402811723177276,0.680627955800206,-0.322191434439534,0.480792251850937,-0.431231777016045,0.74155759689384,0.181577244005749,0.90423014305789,-0.0308050181911206,0.264324921297346,0.333992867020997,0,0,0,0,0.410884355977791,-0.377160472788896,-0.703417536970243,-0.440599355947204,0.56041991124409,-0.285317149814387,0.674553809766137,0.386653339353162,0.944349078335775,-0.154119260436726,0.117594738004228,0.265750916089726,0,0,0,0
4,774,0.26962036590727,0.544643582528978,0.125757402982429,-0.784125820192873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519814021359215,0.402858326912828,0.680326713996264,-0.323502880757505,0.480570252216324,-0.431301465041498,0.741970588920474,0.180307859270752,0.903786575987207,-0.0307294493919685,0.266345253572529,0.333595161692692,0,0,0,0,0.410915652522848,-0.378786032986422,-0.702913221716117,-0.439980079620432,0.560216350274494,-0.285156536421209,0.675440701874091,0.385516859389083,0.94432060408454,-0.15434408811205,0.11763119303466,0.265705479039321,0,0,0,0
5,775,0.269008543520211,0.544559150328157,0.125430614063281,-0.784446872874588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519309520606249,0.402889850546254,0.680027853274791,-0.32489922884643,0.480360223994533,-0.431390267444023,0.742350020331165,0.179089194740542,0.903312631477882,-0.0306338401841387,0.268417823055032,0.333226244336299,0,0,0,0,0.410820159050764,-0.380488783298785,-0.702332460052887,-0.439527244044527,0.560011403860643,-0.285051936023308,0.676252551283777,0.384467304458492,0.944294520997586,-0.154571688768806,0.117644461060589,0.265659992145723,0,0,0,0
6,776,0.268481328646768,0.544483409387024,0.125145455596284,-0.784725562227934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518752746230471,0.4029049131295,0.67977103923345,-0.326304387763834,0.480169661025627,-0.431484184706341,0.742685317230869,0.177980376863642,0.902812207255357,-0.0305284279652743,0.270521613483081,0.33289065795722,0,0,0,0,0.410705422232291,-0.382208956497085,-0.701661631418446,-0.439213302072708,0.559811510140351,-0.284967792202598,0.677023962065321,0.38346184335724,0.944269140054701,-0.154804306004632,0.117626310872269,0.265622794528938,0,0,0,0
7,777,0.26803524033837,0.544416836010602,0.124854924492075,-0.784970487620418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518187847159906,0.402898941605509,0.679529622158631,-0.327709155376976,0.479972771913178,-0.431592931937311,0.742993454013939,0.176958770950109,0.902312498956149,-0.0304238729826719,0.272615650776083,0.332546611969176,0,0,0,0,0.410596274038142,-0.383902163568925,-0.700951919145082,-0.43897179362679,0.55959960278307,-0.284953632755587,0.677741707612835,0.3825126004545,0.944237586276041,-0.155011976817204,0.117664296374283,0.265597027591737,0,0,0,0
8,778,0.26760658719543,0.544354163084989,0.12460104631963,-0.785200508709534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517807468038368,0.402721675874494,0.679463504473909,-0.328663998503893,0.479773386934106,-0.431472114226134,0.743454004158035,0.17585634915007,0.9017648178545,-0.0303257607225936,0.274728346394103,0.332302418293935,0,0,0,0,0.410650849419017,-0.385342282272595,-0.700306785781179,-0.438688512675248,0.559439781706658,-0.284825917489303,0.67847666121761,0.381537347521037,0.944181526788427,-0.155247970495854,0.117659749223361,0.265660489235958,0,0,0,0
9,779,0.267292974307445,0.544250209590069,0.124335102445969,-0.785421515841524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517276456451921,0.402560440173285,0.679326446931558,-0.32997839036425,0.479574046913084,-0.431640674310078,0.743683884185511,0.175012405878269,0.901240514489265,-0.0301659382348683,0.276818605118537,0.332004534718673,0,0,0,0,0.410623162843085,-0.386859103707694,-0.699678297740411,-0.438382175374755,0.559197067575696,-0.28480342778479,0.679156644252786,0.380699224722183,0.944150082325245,-0.155485703976739,0.117665617844926,0.265630608705518,0,0,0,0
10,780,0.267026359453958,0.544050336575733,0.12407726712665,-0.78569140660375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516765736584352,0.402335092059534,0.679231099706274,-0.33124727981024,0.479368931370891,-0.431820535826872,0.743892790259929,0.174241123371672,0.900726532922349,-0.0299675462774789,0.278843562287035,0.331722665536843,0,0,0,0,0.410652684967975,-0.388260637087653,-0.699167640753813,-0.43792997173022,0.558922576640272,-0.284781954527617,0.67984831885965,0.379882949131623,0.944121024147657,-0.155726204055778,0.117648301801541,0.265600674351501,0,0,0,0
11,781,0.266780169109062,0.54376237680051,0.123820946777259,-0.786014753096647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516311602763605,0.402022001994024,0.679177420876378,-0.332443483521793,0.479136593356249,-0.432022678343952,0.744098422585108,0.173499474955523,0.900219363121912,-0.029773264087109,0.280825609929307,0.331444758313979,0,0,0,0,0.410695812233208,-0.389529152421406,-0.698835103359308,-0.437293365534801,0.558613627538768,-0.284751995930844,0.680551298071442,0.379100312100445,0.944091814205646,-0.155969962699799,0.117648492437962,0.26556138520574,0,0,0,0
12,782,0.266539200170325,0.543358664060024,0.12354419797708,-0.786419130050681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515906914585799,0.401667398848018,0.67914991501624,-0.333554716828684,0.478878602883012,-0.432259197445588,0.744278503774267,0.172849005620658,0.899699836831411,-0.0296072807586487,0.282808864055978,0.331183874823306,0,0,0,0,0.410782799821246,-0.390643217007032,-0.698666071671349,-0.436487214787262,0.558289101575156,-0.284685321002299,0.681260000551123,0.37835480533133,0.944066853468816,-0.156244223405308,0.117601732167648,0.265509607029822,0,0,0,0
