epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681363232287,2023-04-13T08.20.32.287,0.000,0.997,-0.076,0.000,0.000
1681363232297,2023-04-13T08.20.32.297,0.010,0.997,-0.075,0.001,0.000
1681363232306,2023-04-13T08.20.32.306,0.019,0.997,-0.075,0.001,0.000
1681363232316,2023-04-13T08.20.32.316,0.029,0.997,-0.075,0.001,0.000
1681363232326,2023-04-13T08.20.32.326,0.039,0.997,-0.075,0.001,0.000
1681363232336,2023-04-13T08.20.32.336,0.049,0.997,-0.075,0.001,0.000
1681363232347,2023-04-13T08.20.32.347,0.060,0.997,-0.074,0.001,0.000
1681363232357,2023-04-13T08.20.32.357,0.070,0.997,-0.074,0.001,-0.001
1681363232367,2023-04-13T08.20.32.367,0.080,0.997,-0.074,0.001,-0.001
1681363232377,2023-04-13T08.20.32.377,0.090,0.997,-0.073,0.002,-0.001
1681363232388,2023-04-13T08.20.32.388,0.101,0.997,-0.073,0.002,-0.001
1681363232398,2023-04-13T08.20.32.398,0.111,0.997,-0.074,0.002,-0.001
1681363232408,2023-04-13T08.20.32.408,0.121,0.997,-0.074,0.002,-0.001
1681363232417,2023-04-13T08.20.32.417,0.130,0.997,-0.075,0.002,-0.001
1681363232427,2023-04-13T08.20.32.427,0.140,0.997,-0.075,0.002,-0.001
1681363232438,2023-04-13T08.20.32.438,0.151,0.997,-0.075,0.002,-0.001
1681363232448,2023-04-13T08.20.32.448,0.161,0.997,-0.075,0.002,-0.001
1681363232458,2023-04-13T08.20.32.458,0.171,0.997,-0.075,0.002,-0.001
1681363232468,2023-04-13T08.20.32.468,0.181,0.997,-0.075,0.002,-0.001
1681363232479,2023-04-13T08.20.32.479,0.192,0.997,-0.075,0.002,-0.001
1681363232489,2023-04-13T08.20.32.489,0.202,0.997,-0.075,0.002,-0.001
1681363232499,2023-04-13T08.20.32.499,0.212,0.997,-0.075,0.002,-0.001
1681363232509,2023-04-13T08.20.32.509,0.222,0.997,-0.075,0.002,-0.001
1681363232520,2023-04-13T08.20.32.520,0.233,0.997,-0.075,0.002,-0.001
1681363232528,2023-04-13T08.20.32.528,0.241,0.997,-0.075,0.001,-0.001
1681363232539,2023-04-13T08.20.32.539,0.252,0.997,-0.075,0.002,-0.001
1681363232549,2023-04-13T08.20.32.549,0.262,0.997,-0.075,0.002,-0.001
1681363232559,2023-04-13T08.20.32.559,0.272,0.997,-0.074,0.002,-0.001
1681363232569,2023-04-13T08.20.32.569,0.282,0.997,-0.074,0.002,-0.001
1681363232580,2023-04-13T08.20.32.580,0.293,0.997,-0.074,0.002,-0.001
1681363232590,2023-04-13T08.20.32.590,0.303,0.997,-0.074,0.002,-0.001
1681363232600,2023-04-13T08.20.32.600,0.313,0.997,-0.074,0.002,-0.001
1681363232610,2023-04-13T08.20.32.610,0.323,0.997,-0.074,0.002,-0.001
1681363232621,2023-04-13T08.20.32.621,0.334,0.997,-0.075,0.002,-0.001
1681363232631,2023-04-13T08.20.32.631,0.344,0.997,-0.074,0.002,-0.002
1681363232640,2023-04-13T08.20.32.640,0.353,0.997,-0.074,0.002,-0.002
1681363232650,2023-04-13T08.20.32.650,0.363,0.997,-0.073,0.003,-0.002
1681363232660,2023-04-13T08.20.32.660,0.373,0.997,-0.073,0.003,-0.002
1681363232670,2023-04-13T08.20.32.670,0.383,0.997,-0.072,0.003,-0.002
1681363232681,2023-04-13T08.20.32.681,0.394,0.997,-0.072,0.004,-0.002
1681363232691,2023-04-13T08.20.32.691,0.404,0.997,-0.072,0.004,-0.002
1681363232701,2023-04-13T08.20.32.701,0.414,0.997,-0.072,0.004,-0.002
1681363232711,2023-04-13T08.20.32.711,0.424,0.997,-0.072,0.003,-0.002
1681363232722,2023-04-13T08.20.32.722,0.435,0.997,-0.073,0.003,-0.002
1681363232732,2023-04-13T08.20.32.732,0.445,0.997,-0.073,0.003,-0.002
1681363232742,2023-04-13T08.20.32.742,0.455,0.997,-0.074,0.003,-0.002
1681363232751,2023-04-13T08.20.32.751,0.464,0.997,-0.074,0.003,-0.002
1681363232763,2023-04-13T08.20.32.763,0.476,0.997,-0.073,0.003,-0.002
1681363232771,2023-04-13T08.20.32.771,0.484,0.997,-0.073,0.003,-0.002
1681363232782,2023-04-13T08.20.32.782,0.495,0.997,-0.073,0.003,-0.003
1681363232792,2023-04-13T08.20.32.792,0.505,0.997,-0.073,0.003,-0.003
1681363232802,2023-04-13T08.20.32.802,0.515,0.997,-0.073,0.003,-0.003
1681363232813,2023-04-13T08.20.32.813,0.526,0.997,-0.073,0.003,-0.003
1681363232823,2023-04-13T08.20.32.823,0.536,0.997,-0.074,0.003,-0.002
1681363232833,2023-04-13T08.20.32.833,0.546,0.997,-0.075,0.003,-0.002
1681363232843,2023-04-13T08.20.32.843,0.556,0.997,-0.075,0.003,-0.002
1681363232852,2023-04-13T08.20.32.852,0.565,0.997,-0.076,0.003,-0.002
1681363232862,2023-04-13T08.20.32.862,0.575,0.997,-0.076,0.004,-0.002
1681363232873,2023-04-13T08.20.32.873,0.586,0.997,-0.075,0.004,-0.002
1681363232883,2023-04-13T08.20.32.883,0.596,0.997,-0.074,0.004,-0.003
1681363232893,2023-04-13T08.20.32.893,0.606,0.997,-0.074,0.004,-0.003
1681363232903,2023-04-13T08.20.32.903,0.616,0.997,-0.074,0.004,-0.003
1681363232914,2023-04-13T08.20.32.914,0.627,0.997,-0.074,0.004,-0.003
1681363232924,2023-04-13T08.20.32.924,0.637,0.997,-0.074,0.004,-0.003
1681363232934,2023-04-13T08.20.32.934,0.647,0.997,-0.075,0.004,-0.003
1681363232944,2023-04-13T08.20.32.944,0.657,0.997,-0.075,0.004,-0.003
1681363232955,2023-04-13T08.20.32.955,0.668,0.997,-0.075,0.004,-0.003
1681363232963,2023-04-13T08.20.32.963,0.676,0.997,-0.075,0.004,-0.003
1681363232974,2023-04-13T08.20.32.974,0.687,0.997,-0.075,0.004,-0.003
1681363232984,2023-04-13T08.20.32.984,0.697,0.997,-0.075,0.005,-0.003
1681363232994,2023-04-13T08.20.32.994,0.707,0.997,-0.074,0.005,-0.003
1681363233004,2023-04-13T08.20.33.004,0.717,0.997,-0.074,0.005,-0.003
1681363233015,2023-04-13T08.20.33.015,0.728,0.997,-0.074,0.005,-0.004
1681363233025,2023-04-13T08.20.33.025,0.738,0.997,-0.074,0.005,-0.004
1681363233035,2023-04-13T08.20.33.035,0.748,0.997,-0.074,0.005,-0.004
1681363233045,2023-04-13T08.20.33.045,0.758,0.997,-0.074,0.005,-0.004
