epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681619069892,2023-04-16T07.24.29.892,0.000,0.999,-0.026,-0.021,0.000
1681619069903,2023-04-16T07.24.29.903,0.011,0.999,-0.026,-0.021,0.000
1681619069913,2023-04-16T07.24.29.913,0.021,0.999,-0.026,-0.021,0.000
1681619069923,2023-04-16T07.24.29.923,0.031,0.999,-0.026,-0.021,0.000
1681619069933,2023-04-16T07.24.29.933,0.041,0.999,-0.026,-0.021,0.000
1681619069944,2023-04-16T07.24.29.944,0.052,0.999,-0.026,-0.021,0.000
1681619069952,2023-04-16T07.24.29.952,0.060,0.999,-0.026,-0.021,0.000
1681619069963,2023-04-16T07.24.29.963,0.071,0.999,-0.026,-0.021,0.000
1681619069973,2023-04-16T07.24.29.973,0.081,0.999,-0.026,-0.021,0.000
1681619069983,2023-04-16T07.24.29.983,0.091,0.999,-0.026,-0.021,0.000
1681619069993,2023-04-16T07.24.29.993,0.101,0.999,-0.026,-0.021,0.000
1681619070004,2023-04-16T07.24.30.004,0.112,0.999,-0.026,-0.021,0.000
1681619070014,2023-04-16T07.24.30.014,0.122,0.999,-0.026,-0.021,0.000
1681619070024,2023-04-16T07.24.30.024,0.132,0.999,-0.026,-0.021,0.000
1681619070034,2023-04-16T07.24.30.034,0.142,0.999,-0.026,-0.021,0.000
1681619070045,2023-04-16T07.24.30.045,0.153,0.999,-0.026,-0.021,0.000
1681619070055,2023-04-16T07.24.30.055,0.163,0.999,-0.026,-0.021,0.000
1681619070064,2023-04-16T07.24.30.064,0.172,0.999,-0.026,-0.021,0.000
1681619070074,2023-04-16T07.24.30.074,0.182,0.999,-0.026,-0.021,0.000
1681619070084,2023-04-16T07.24.30.084,0.192,0.999,-0.026,-0.021,0.000
1681619070094,2023-04-16T07.24.30.094,0.202,0.999,-0.026,-0.021,0.000
1681619070105,2023-04-16T07.24.30.105,0.213,0.999,-0.026,-0.021,0.000
1681619070115,2023-04-16T07.24.30.115,0.223,0.999,-0.026,-0.021,0.000
1681619070125,2023-04-16T07.24.30.125,0.233,0.999,-0.026,-0.021,0.000
1681619070135,2023-04-16T07.24.30.135,0.243,0.999,-0.026,-0.021,0.000
1681619070146,2023-04-16T07.24.30.146,0.254,0.999,-0.026,-0.021,0.000
1681619070156,2023-04-16T07.24.30.156,0.264,0.999,-0.026,-0.021,0.000
1681619070166,2023-04-16T07.24.30.166,0.274,0.999,-0.026,-0.021,0.000
1681619070176,2023-04-16T07.24.30.176,0.284,0.999,-0.026,-0.021,0.000
1681619070185,2023-04-16T07.24.30.185,0.293,0.999,-0.026,-0.021,0.000
1681619070195,2023-04-16T07.24.30.195,0.303,0.999,-0.026,-0.021,0.000
1681619070206,2023-04-16T07.24.30.206,0.314,0.999,-0.026,-0.021,0.000
1681619070216,2023-04-16T07.24.30.216,0.324,0.999,-0.026,-0.021,0.000
1681619070226,2023-04-16T07.24.30.226,0.334,0.999,-0.026,-0.021,0.000
1681619070236,2023-04-16T07.24.30.236,0.344,0.999,-0.026,-0.021,0.000
1681619070247,2023-04-16T07.24.30.247,0.355,0.999,-0.026,-0.021,0.000
1681619070257,2023-04-16T07.24.30.257,0.365,0.999,-0.026,-0.021,0.000
1681619070267,2023-04-16T07.24.30.267,0.375,0.999,-0.026,-0.021,0.000
1681619070278,2023-04-16T07.24.30.278,0.386,0.999,-0.026,-0.021,0.000
1681619070286,2023-04-16T07.24.30.286,0.394,0.999,-0.026,-0.021,0.000
1681619070298,2023-04-16T07.24.30.298,0.406,0.999,-0.026,-0.021,0.000
1681619070307,2023-04-16T07.24.30.307,0.415,0.999,-0.026,-0.021,0.000
1681619070317,2023-04-16T07.24.30.317,0.425,0.999,-0.026,-0.021,0.000
1681619070327,2023-04-16T07.24.30.327,0.435,0.999,-0.026,-0.021,0.000
1681619070338,2023-04-16T07.24.30.338,0.446,0.999,-0.026,-0.021,0.000
1681619070348,2023-04-16T07.24.30.348,0.456,0.999,-0.024,-0.021,0.000
1681619070358,2023-04-16T07.24.30.358,0.466,0.999,-0.024,-0.021,0.000
1681619070368,2023-04-16T07.24.30.368,0.476,0.999,-0.026,-0.021,0.000
1681619070379,2023-04-16T07.24.30.379,0.487,0.999,-0.026,-0.021,0.000
1681619070389,2023-04-16T07.24.30.389,0.497,0.999,-0.026,-0.021,0.000
1681619070398,2023-04-16T07.24.30.398,0.506,0.999,-0.026,-0.021,0.000
1681619070408,2023-04-16T07.24.30.408,0.516,0.999,-0.026,-0.021,0.000
1681619070418,2023-04-16T07.24.30.418,0.526,0.999,-0.026,-0.021,0.000
1681619070428,2023-04-16T07.24.30.428,0.536,0.999,-0.026,-0.021,0.000
1681619070439,2023-04-16T07.24.30.439,0.547,0.999,-0.026,-0.020,0.000
1681619070449,2023-04-16T07.24.30.449,0.557,0.999,-0.026,-0.020,0.000
1681619070459,2023-04-16T07.24.30.459,0.567,0.999,-0.026,-0.020,0.000
1681619070469,2023-04-16T07.24.30.469,0.577,0.999,-0.026,-0.020,0.000
1681619070480,2023-04-16T07.24.30.480,0.588,0.999,-0.026,-0.020,0.000
1681619070490,2023-04-16T07.24.30.490,0.598,0.999,-0.026,-0.020,0.000
1681619070500,2023-04-16T07.24.30.500,0.608,0.999,-0.027,-0.020,0.000
1681619070509,2023-04-16T07.24.30.509,0.617,0.999,-0.027,-0.020,0.000
1681619070519,2023-04-16T07.24.30.519,0.627,0.999,-0.027,-0.020,0.000
1681619070529,2023-04-16T07.24.30.529,0.637,0.999,-0.027,-0.020,0.000
1681619070540,2023-04-16T07.24.30.540,0.648,0.999,-0.027,-0.020,0.000
1681619070550,2023-04-16T07.24.30.550,0.658,0.999,-0.027,-0.020,0.000
1681619070560,2023-04-16T07.24.30.560,0.668,0.999,-0.027,-0.020,0.000
1681619070570,2023-04-16T07.24.30.570,0.678,0.999,-0.027,-0.020,0.000
1681619070581,2023-04-16T07.24.30.581,0.689,0.999,-0.027,-0.020,0.000
1681619070591,2023-04-16T07.24.30.591,0.699,0.999,-0.027,-0.020,0.000
1681619070601,2023-04-16T07.24.30.601,0.709,0.999,-0.027,-0.020,0.000
1681619070611,2023-04-16T07.24.30.611,0.719,0.999,-0.027,-0.020,0.000
1681619070622,2023-04-16T07.24.30.622,0.730,0.999,-0.027,-0.020,0.000
1681619070631,2023-04-16T07.24.30.631,0.739,0.999,-0.027,-0.020,0.000
1681619070641,2023-04-16T07.24.30.641,0.749,0.999,-0.027,-0.020,0.000
1681619070651,2023-04-16T07.24.30.651,0.759,0.999,-0.027,-0.020,0.000
1681619070661,2023-04-16T07.24.30.661,0.769,0.999,-0.027,-0.020,0.000
1681619070672,2023-04-16T07.24.30.672,0.780,0.999,-0.027,-0.020,0.000
1681619070682,2023-04-16T07.24.30.682,0.790,0.999,-0.027,-0.020,0.000
1681619070692,2023-04-16T07.24.30.692,0.800,0.999,-0.026,-0.020,0.000
1681619070702,2023-04-16T07.24.30.702,0.810,0.999,-0.026,-0.021,0.000
1681619070713,2023-04-16T07.24.30.713,0.821,0.999,-0.026,-0.021,0.000
1681619070721,2023-04-16T07.24.30.721,0.829,0.999,-0.026,-0.021,0.000
1681619070732,2023-04-16T07.24.30.732,0.840,0.999,-0.026,-0.021,0.000
1681619070742,2023-04-16T07.24.30.742,0.850,0.999,-0.026,-0.021,0.000
1681619070752,2023-04-16T07.24.30.752,0.860,0.999,-0.026,-0.021,0.000
1681619070762,2023-04-16T07.24.30.762,0.870,0.999,-0.026,-0.021,0.000
1681619070773,2023-04-16T07.24.30.773,0.881,0.999,-0.027,-0.021,0.000
1681619070783,2023-04-16T07.24.30.783,0.891,0.999,-0.027,-0.020,0.000
1681619070793,2023-04-16T07.24.30.793,0.901,0.999,-0.027,-0.020,0.000
1681619070803,2023-04-16T07.24.30.803,0.911,0.999,-0.027,-0.020,0.000
1681619070814,2023-04-16T07.24.30.814,0.922,0.999,-0.027,-0.020,0.000
1681619070824,2023-04-16T07.24.30.824,0.932,0.999,-0.027,-0.020,0.000
1681619070833,2023-04-16T07.24.30.833,0.941,0.999,-0.027,-0.020,0.000
1681619070843,2023-04-16T07.24.30.843,0.951,0.999,-0.027,-0.020,0.000
1681619070853,2023-04-16T07.24.30.853,0.961,0.999,-0.027,-0.020,0.000
1681619070865,2023-04-16T07.24.30.865,0.973,0.999,-0.027,-0.021,0.000
1681619070874,2023-04-16T07.24.30.874,0.982,0.999,-0.027,-0.021,0.000
1681619070884,2023-04-16T07.24.30.884,0.992,0.999,-0.026,-0.021,0.000
1681619070894,2023-04-16T07.24.30.894,1.002,0.999,-0.026,-0.021,0.000
1681619070904,2023-04-16T07.24.30.904,1.012,0.999,-0.026,-0.021,0.000
1681619070915,2023-04-16T07.24.30.915,1.023,0.999,-0.026,-0.020,0.000
1681619070925,2023-04-16T07.24.30.925,1.033,0.999,-0.026,-0.020,0.000
1681619070935,2023-04-16T07.24.30.935,1.043,0.999,-0.026,-0.020,0.000
1681619070945,2023-04-16T07.24.30.945,1.053,0.999,-0.026,-0.020,0.000
1681619070954,2023-04-16T07.24.30.954,1.062,0.999,-0.026,-0.020,0.000
1681619070965,2023-04-16T07.24.30.965,1.073,0.999,-0.026,-0.020,0.000
1681619070975,2023-04-16T07.24.30.975,1.083,0.999,-0.026,-0.020,0.000
1681619070985,2023-04-16T07.24.30.985,1.093,0.999,-0.026,-0.020,0.000
1681619070995,2023-04-16T07.24.30.995,1.103,0.999,-0.027,-0.020,0.000
1681619071006,2023-04-16T07.24.31.006,1.114,0.999,-0.029,-0.020,-0.001
1681619071016,2023-04-16T07.24.31.016,1.124,0.999,-0.029,-0.020,-0.002
1681619071026,2023-04-16T07.24.31.026,1.134,0.999,-0.028,-0.020,-0.001
1681619071036,2023-04-16T07.24.31.036,1.144,0.999,-0.027,-0.020,0.003
1681619071047,2023-04-16T07.24.31.047,1.155,0.999,-0.027,-0.020,0.007
1681619071057,2023-04-16T07.24.31.057,1.165,0.999,-0.026,-0.020,0.008
1681619071066,2023-04-16T07.24.31.066,1.174,0.999,-0.026,-0.020,0.007
1681619071076,2023-04-16T07.24.31.076,1.184,0.999,-0.025,-0.020,0.007
1681619071086,2023-04-16T07.24.31.086,1.194,0.999,-0.025,-0.020,0.007
1681619071096,2023-04-16T07.24.31.096,1.204,0.999,-0.025,-0.021,0.007
1681619071107,2023-04-16T07.24.31.107,1.215,0.999,-0.025,-0.021,0.007
1681619071117,2023-04-16T07.24.31.117,1.225,0.999,-0.025,-0.021,0.007
1681619071127,2023-04-16T07.24.31.127,1.235,0.999,-0.025,-0.021,0.007
1681619071137,2023-04-16T07.24.31.137,1.245,0.999,-0.024,-0.023,0.008
1681619071148,2023-04-16T07.24.31.148,1.256,0.999,-0.023,-0.024,0.009
1681619071158,2023-04-16T07.24.31.158,1.266,0.999,-0.021,-0.027,0.009
1681619071168,2023-04-16T07.24.31.168,1.276,0.999,-0.020,-0.029,0.007
1681619071177,2023-04-16T07.24.31.177,1.285,0.999,-0.019,-0.032,0.003
1681619071189,2023-04-16T07.24.31.189,1.297,0.999,-0.018,-0.034,0.000
1681619071197,2023-04-16T07.24.31.197,1.305,0.999,-0.015,-0.035,-0.001
1681619071208,2023-04-16T07.24.31.208,1.316,0.999,-0.013,-0.035,-0.001
1681619071218,2023-04-16T07.24.31.218,1.326,0.999,-0.014,-0.035,-0.002
