epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682502524089,2023-04-26T12.48.44.089,0.000,0.758,-0.023,-0.652,0.000
1682502524100,2023-04-26T12.48.44.100,0.011,0.758,-0.023,-0.652,0.000
1682502524108,2023-04-26T12.48.44.108,0.019,0.758,-0.022,-0.652,-0.001
1682502524119,2023-04-26T12.48.44.119,0.030,0.758,-0.021,-0.651,-0.001
1682502524129,2023-04-26T12.48.44.129,0.040,0.759,-0.021,-0.651,-0.002
1682502524139,2023-04-26T12.48.44.139,0.050,0.758,-0.020,-0.652,-0.003
1682502524149,2023-04-26T12.48.44.149,0.060,0.758,-0.020,-0.652,-0.004
1682502524160,2023-04-26T12.48.44.160,0.071,0.758,-0.021,-0.652,-0.005
1682502524170,2023-04-26T12.48.44.170,0.081,0.757,-0.021,-0.653,-0.006
1682502524180,2023-04-26T12.48.44.180,0.091,0.757,-0.021,-0.653,-0.007
1682502524190,2023-04-26T12.48.44.190,0.101,0.757,-0.021,-0.653,-0.007
1682502524201,2023-04-26T12.48.44.201,0.112,0.756,-0.021,-0.654,-0.008
1682502524209,2023-04-26T12.48.44.209,0.120,0.756,-0.021,-0.654,-0.009
1682502524220,2023-04-26T12.48.44.220,0.131,0.756,-0.022,-0.654,-0.010
1682502524230,2023-04-26T12.48.44.230,0.141,0.757,-0.022,-0.653,-0.011
1682502524240,2023-04-26T12.48.44.240,0.151,0.757,-0.022,-0.653,-0.011
1682502524250,2023-04-26T12.48.44.250,0.161,0.757,-0.022,-0.653,-0.011
1682502524261,2023-04-26T12.48.44.261,0.172,0.758,-0.022,-0.652,-0.012
1682502524271,2023-04-26T12.48.44.271,0.182,0.758,-0.022,-0.652,-0.012
1682502524281,2023-04-26T12.48.44.281,0.192,0.758,-0.022,-0.652,-0.012
1682502524291,2023-04-26T12.48.44.291,0.202,0.758,-0.022,-0.652,-0.012
1682502524302,2023-04-26T12.48.44.302,0.213,0.758,-0.023,-0.652,-0.012
1682502524312,2023-04-26T12.48.44.312,0.223,0.758,-0.024,-0.652,-0.013
1682502524322,2023-04-26T12.48.44.322,0.233,0.758,-0.024,-0.652,-0.013
1682502524331,2023-04-26T12.48.44.331,0.242,0.758,-0.024,-0.651,-0.013
1682502524341,2023-04-26T12.48.44.341,0.252,0.758,-0.024,-0.651,-0.012
1682502524352,2023-04-26T12.48.44.352,0.263,0.759,-0.024,-0.651,-0.011
1682502524362,2023-04-26T12.48.44.362,0.273,0.759,-0.024,-0.650,-0.011
1682502524372,2023-04-26T12.48.44.372,0.283,0.759,-0.024,-0.650,-0.010
1682502524382,2023-04-26T12.48.44.382,0.293,0.759,-0.024,-0.650,-0.010
1682502524393,2023-04-26T12.48.44.393,0.304,0.759,-0.025,-0.650,-0.010
1682502524403,2023-04-26T12.48.44.403,0.314,0.759,-0.026,-0.650,-0.010
1682502524413,2023-04-26T12.48.44.413,0.324,0.759,-0.027,-0.650,-0.011
1682502524423,2023-04-26T12.48.44.423,0.334,0.759,-0.027,-0.650,-0.011
1682502524432,2023-04-26T12.48.44.432,0.343,0.760,-0.028,-0.650,-0.011
1682502524442,2023-04-26T12.48.44.442,0.353,0.760,-0.027,-0.649,-0.010
1682502524453,2023-04-26T12.48.44.453,0.364,0.760,-0.027,-0.649,-0.010
1682502524463,2023-04-26T12.48.44.463,0.374,0.761,-0.027,-0.648,-0.009
1682502524473,2023-04-26T12.48.44.473,0.384,0.762,-0.026,-0.647,-0.008
1682502524483,2023-04-26T12.48.44.483,0.394,0.762,-0.027,-0.647,-0.007
1682502524494,2023-04-26T12.48.44.494,0.405,0.763,-0.030,-0.646,-0.009
1682502524504,2023-04-26T12.48.44.504,0.415,0.763,-0.033,-0.645,-0.010
1682502524514,2023-04-26T12.48.44.514,0.425,0.764,-0.036,-0.645,-0.011
1682502524524,2023-04-26T12.48.44.524,0.435,0.764,-0.039,-0.644,-0.012
1682502524535,2023-04-26T12.48.44.535,0.446,0.764,-0.040,-0.643,-0.012
1682502524543,2023-04-26T12.48.44.543,0.454,0.765,-0.041,-0.643,-0.012
1682502524554,2023-04-26T12.48.44.554,0.465,0.766,-0.041,-0.642,-0.011
1682502524565,2023-04-26T12.48.44.565,0.476,0.766,-0.040,-0.641,-0.009
1682502524574,2023-04-26T12.48.44.574,0.485,0.767,-0.040,-0.641,-0.008
1682502524584,2023-04-26T12.48.44.584,0.495,0.766,-0.039,-0.641,-0.007
1682502524595,2023-04-26T12.48.44.595,0.506,0.766,-0.038,-0.641,-0.005
1682502524605,2023-04-26T12.48.44.605,0.516,0.767,-0.037,-0.641,-0.004
1682502524615,2023-04-26T12.48.44.615,0.526,0.767,-0.036,-0.641,-0.003
1682502524625,2023-04-26T12.48.44.625,0.536,0.767,-0.036,-0.641,-0.002
1682502524636,2023-04-26T12.48.44.636,0.547,0.768,-0.036,-0.640,0.000
1682502524646,2023-04-26T12.48.44.646,0.557,0.768,-0.036,-0.639,0.001
1682502524655,2023-04-26T12.48.44.655,0.566,0.769,-0.037,-0.639,0.003
1682502524665,2023-04-26T12.48.44.665,0.576,0.769,-0.038,-0.638,0.003
1682502524675,2023-04-26T12.48.44.675,0.586,0.770,-0.038,-0.637,0.004
1682502524686,2023-04-26T12.48.44.686,0.597,0.769,-0.039,-0.637,0.004
1682502524696,2023-04-26T12.48.44.696,0.607,0.769,-0.040,-0.638,0.004
1682502524706,2023-04-26T12.48.44.706,0.617,0.769,-0.040,-0.638,0.004
1682502524716,2023-04-26T12.48.44.716,0.627,0.769,-0.040,-0.638,0.004
