epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682414909464,2023-04-25T12.28.29.464,0.000,0.726,0.004,-0.687,0.000
1682414909474,2023-04-25T12.28.29.474,0.010,0.726,0.005,-0.687,0.000
1682414909485,2023-04-25T12.28.29.485,0.021,0.726,0.005,-0.687,0.000
1682414909495,2023-04-25T12.28.29.495,0.031,0.726,0.005,-0.688,-0.001
1682414909505,2023-04-25T12.28.29.505,0.041,0.726,0.005,-0.688,-0.001
1682414909515,2023-04-25T12.28.29.515,0.051,0.726,0.005,-0.688,-0.002
1682414909526,2023-04-25T12.28.29.526,0.062,0.726,0.005,-0.688,-0.002
1682414909536,2023-04-25T12.28.29.536,0.072,0.726,0.004,-0.688,-0.002
1682414909546,2023-04-25T12.28.29.546,0.082,0.726,0.004,-0.688,-0.001
1682414909556,2023-04-25T12.28.29.556,0.092,0.726,0.004,-0.688,-0.001
1682414909565,2023-04-25T12.28.29.565,0.101,0.726,0.003,-0.688,-0.001
1682414909575,2023-04-25T12.28.29.575,0.111,0.726,0.003,-0.688,-0.002
1682414909586,2023-04-25T12.28.29.586,0.122,0.726,0.003,-0.688,-0.002
1682414909596,2023-04-25T12.28.29.596,0.132,0.726,0.003,-0.688,-0.002
1682414909606,2023-04-25T12.28.29.606,0.142,0.726,0.003,-0.688,-0.002
1682414909616,2023-04-25T12.28.29.616,0.152,0.726,0.002,-0.688,-0.002
1682414909627,2023-04-25T12.28.29.627,0.163,0.726,0.002,-0.687,-0.002
1682414909637,2023-04-25T12.28.29.637,0.173,0.727,0.002,-0.687,-0.002
1682414909647,2023-04-25T12.28.29.647,0.183,0.727,0.003,-0.687,-0.002
1682414909658,2023-04-25T12.28.29.658,0.194,0.726,0.003,-0.687,-0.002
1682414909668,2023-04-25T12.28.29.668,0.204,0.727,0.003,-0.687,-0.002
1682414909677,2023-04-25T12.28.29.677,0.213,0.727,0.003,-0.687,-0.002
1682414909687,2023-04-25T12.28.29.687,0.223,0.727,0.003,-0.687,-0.001
1682414909697,2023-04-25T12.28.29.697,0.233,0.727,0.004,-0.687,-0.001
1682414909707,2023-04-25T12.28.29.707,0.243,0.727,0.004,-0.687,-0.001
1682414909718,2023-04-25T12.28.29.718,0.254,0.727,0.004,-0.687,-0.001
1682414909728,2023-04-25T12.28.29.728,0.264,0.727,0.004,-0.687,-0.001
1682414909738,2023-04-25T12.28.29.738,0.274,0.727,0.005,-0.687,-0.002
1682414909748,2023-04-25T12.28.29.748,0.284,0.727,0.005,-0.687,-0.002
1682414909759,2023-04-25T12.28.29.759,0.295,0.727,0.005,-0.686,-0.003
1682414909769,2023-04-25T12.28.29.769,0.305,0.727,0.005,-0.686,-0.003
1682414909779,2023-04-25T12.28.29.779,0.315,0.727,0.005,-0.686,-0.004
1682414909788,2023-04-25T12.28.29.788,0.324,0.727,0.005,-0.687,-0.004
1682414909798,2023-04-25T12.28.29.798,0.334,0.727,0.006,-0.687,-0.004
1682414909808,2023-04-25T12.28.29.808,0.344,0.726,0.006,-0.687,-0.003
1682414909819,2023-04-25T12.28.29.819,0.355,0.726,0.006,-0.688,-0.003
1682414909829,2023-04-25T12.28.29.829,0.365,0.726,0.006,-0.688,-0.003
1682414909839,2023-04-25T12.28.29.839,0.375,0.726,0.006,-0.687,-0.003
1682414909849,2023-04-25T12.28.29.849,0.385,0.727,0.006,-0.687,-0.004
1682414909860,2023-04-25T12.28.29.860,0.396,0.727,0.006,-0.687,-0.004
1682414909870,2023-04-25T12.28.29.870,0.406,0.727,0.006,-0.686,-0.005
1682414909880,2023-04-25T12.28.29.880,0.416,0.728,0.006,-0.686,-0.005
1682414909890,2023-04-25T12.28.29.890,0.426,0.727,0.005,-0.686,-0.005
1682414909901,2023-04-25T12.28.29.901,0.437,0.727,0.005,-0.687,-0.005
1682414909909,2023-04-25T12.28.29.909,0.445,0.727,0.005,-0.687,-0.005
1682414909920,2023-04-25T12.28.29.920,0.456,0.726,0.005,-0.687,-0.005
1682414909930,2023-04-25T12.28.29.930,0.466,0.726,0.006,-0.687,-0.005
1682414909940,2023-04-25T12.28.29.940,0.476,0.726,0.006,-0.687,-0.005
1682414909950,2023-04-25T12.28.29.950,0.486,0.727,0.005,-0.687,-0.005
1682414909961,2023-04-25T12.28.29.961,0.497,0.727,0.005,-0.687,-0.005
1682414909971,2023-04-25T12.28.29.971,0.507,0.727,0.005,-0.687,-0.006
1682414909981,2023-04-25T12.28.29.981,0.517,0.727,0.005,-0.686,-0.007
1682414909991,2023-04-25T12.28.29.991,0.527,0.727,0.005,-0.686,-0.007
1682414910002,2023-04-25T12.28.30.002,0.538,0.727,0.005,-0.686,-0.007
1682414910011,2023-04-25T12.28.30.011,0.547,0.727,0.006,-0.687,-0.007
1682414910022,2023-04-25T12.28.30.022,0.558,0.727,0.006,-0.687,-0.007
1682414910031,2023-04-25T12.28.30.031,0.567,0.727,0.006,-0.687,-0.007
1682414910041,2023-04-25T12.28.30.041,0.577,0.727,0.006,-0.687,-0.006
1682414910052,2023-04-25T12.28.30.052,0.588,0.727,0.006,-0.687,-0.006
1682414910062,2023-04-25T12.28.30.062,0.598,0.726,0.007,-0.687,-0.006
1682414910072,2023-04-25T12.28.30.072,0.608,0.727,0.006,-0.687,-0.007
1682414910082,2023-04-25T12.28.30.082,0.618,0.727,0.006,-0.687,-0.007
1682414910093,2023-04-25T12.28.30.093,0.629,0.727,0.006,-0.687,-0.008
1682414910103,2023-04-25T12.28.30.103,0.639,0.727,0.006,-0.687,-0.008
1682414910112,2023-04-25T12.28.30.112,0.648,0.726,0.006,-0.687,-0.008
1682414910122,2023-04-25T12.28.30.122,0.658,0.726,0.006,-0.688,-0.008
1682414910132,2023-04-25T12.28.30.132,0.668,0.726,0.007,-0.688,-0.008
1682414910142,2023-04-25T12.28.30.142,0.678,0.726,0.007,-0.688,-0.008
1682414910153,2023-04-25T12.28.30.153,0.689,0.726,0.007,-0.688,-0.007
1682414910163,2023-04-25T12.28.30.163,0.699,0.726,0.007,-0.688,-0.007
1682414910173,2023-04-25T12.28.30.173,0.709,0.726,0.007,-0.688,-0.008
1682414910183,2023-04-25T12.28.30.183,0.719,0.726,0.008,-0.688,-0.008
1682414910194,2023-04-25T12.28.30.194,0.730,0.726,0.008,-0.688,-0.008
1682414910204,2023-04-25T12.28.30.204,0.740,0.726,0.008,-0.688,-0.009
1682414910214,2023-04-25T12.28.30.214,0.750,0.726,0.008,-0.687,-0.009
1682414910224,2023-04-25T12.28.30.224,0.760,0.726,0.007,-0.688,-0.009
1682414910233,2023-04-25T12.28.30.233,0.769,0.726,0.007,-0.688,-0.009
1682414910243,2023-04-25T12.28.30.243,0.779,0.726,0.007,-0.688,-0.008
1682414910254,2023-04-25T12.28.30.254,0.790,0.725,0.006,-0.688,-0.007
1682414910264,2023-04-25T12.28.30.264,0.800,0.725,0.006,-0.689,-0.007
1682414910274,2023-04-25T12.28.30.274,0.810,0.725,0.006,-0.689,-0.006
1682414910284,2023-04-25T12.28.30.284,0.820,0.725,0.007,-0.688,-0.006
1682414910295,2023-04-25T12.28.30.295,0.831,0.726,0.007,-0.688,-0.006
1682414910305,2023-04-25T12.28.30.305,0.841,0.726,0.007,-0.688,-0.007
1682414910315,2023-04-25T12.28.30.315,0.851,0.726,0.007,-0.687,-0.006
1682414910325,2023-04-25T12.28.30.325,0.861,0.726,0.007,-0.687,-0.006
1682414910334,2023-04-25T12.28.30.334,0.870,0.726,0.006,-0.687,-0.006
1682414910346,2023-04-25T12.28.30.346,0.882,0.726,0.006,-0.687,-0.005
1682414910355,2023-04-25T12.28.30.355,0.891,0.727,0.006,-0.687,-0.005
1682414910365,2023-04-25T12.28.30.365,0.901,0.727,0.006,-0.687,-0.004
1682414910375,2023-04-25T12.28.30.375,0.911,0.727,0.007,-0.687,-0.004
1682414910386,2023-04-25T12.28.30.386,0.922,0.727,0.007,-0.687,-0.004
1682414910396,2023-04-25T12.28.30.396,0.932,0.727,0.007,-0.686,-0.004
1682414910406,2023-04-25T12.28.30.406,0.942,0.727,0.007,-0.686,-0.004
1682414910416,2023-04-25T12.28.30.416,0.952,0.727,0.007,-0.686,-0.004
1682414910427,2023-04-25T12.28.30.427,0.963,0.727,0.006,-0.686,-0.004
1682414910437,2023-04-25T12.28.30.437,0.973,0.727,0.006,-0.686,-0.004
1682414910446,2023-04-25T12.28.30.446,0.982,0.727,0.005,-0.686,-0.004
1682414910456,2023-04-25T12.28.30.456,0.992,0.727,0.005,-0.686,-0.004
