epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682439971321,2023-04-25T19.26.11.321,0.000,0.001,0.000,0.000
1682439971331,2023-04-25T19.26.11.331,0.010,-0.004,-0.014,-0.011
1682439971341,2023-04-25T19.26.11.341,0.020,-0.020,-0.015,-0.016
1682439971351,2023-04-25T19.26.11.351,0.030,-0.015,-0.010,-0.009
1682439971362,2023-04-25T19.26.11.362,0.041,-0.001,-0.002,0.005
1682439971370,2023-04-25T19.26.11.370,0.049,0.006,0.005,0.004
1682439971381,2023-04-25T19.26.11.381,0.060,0.004,0.004,-0.002
1682439971391,2023-04-25T19.26.11.391,0.070,0.001,-0.001,0.001
1682439971401,2023-04-25T19.26.11.401,0.080,-0.005,-0.005,0.000
1682439971411,2023-04-25T19.26.11.411,0.090,-0.013,0.000,-0.001
1682439971422,2023-04-25T19.26.11.422,0.101,-0.017,0.002,-0.002
1682439971432,2023-04-25T19.26.11.432,0.111,-0.013,0.006,0.001
1682439971442,2023-04-25T19.26.11.442,0.121,-0.004,0.000,0.002
1682439971452,2023-04-25T19.26.11.452,0.131,0.000,-0.016,0.001
1682439971463,2023-04-25T19.26.11.463,0.142,-0.007,-0.009,-0.007
1682439971473,2023-04-25T19.26.11.473,0.152,-0.008,0.001,-0.013
1682439971482,2023-04-25T19.26.11.482,0.161,0.005,-0.002,-0.007
1682439971492,2023-04-25T19.26.11.492,0.171,0.006,0.004,-0.007
1682439971502,2023-04-25T19.26.11.502,0.181,0.003,-0.001,-0.010
1682439971513,2023-04-25T19.26.11.513,0.192,0.003,-0.008,-0.008
1682439971523,2023-04-25T19.26.11.523,0.202,0.002,-0.002,-0.004
1682439971533,2023-04-25T19.26.11.533,0.212,-0.005,0.004,-0.005
1682439971543,2023-04-25T19.26.11.543,0.222,-0.005,-0.002,-0.001
1682439971554,2023-04-25T19.26.11.554,0.233,-0.006,0.001,0.000
1682439971564,2023-04-25T19.26.11.564,0.243,-0.010,0.000,-0.003
1682439971574,2023-04-25T19.26.11.574,0.253,-0.010,-0.004,-0.001
1682439971584,2023-04-25T19.26.11.584,0.263,-0.011,-0.005,-0.005
1682439971595,2023-04-25T19.26.11.595,0.274,-0.010,-0.002,-0.002
1682439971603,2023-04-25T19.26.11.603,0.282,0.000,-0.003,-0.005
1682439971614,2023-04-25T19.26.11.614,0.293,0.009,-0.005,-0.005
1682439971624,2023-04-25T19.26.11.624,0.303,0.008,-0.003,-0.006
1682439971634,2023-04-25T19.26.11.634,0.313,0.003,-0.005,-0.007
1682439971644,2023-04-25T19.26.11.644,0.323,-0.005,-0.001,-0.007
1682439971655,2023-04-25T19.26.11.655,0.334,-0.007,-0.005,-0.002
1682439971665,2023-04-25T19.26.11.665,0.344,-0.009,-0.007,-0.002
1682439971675,2023-04-25T19.26.11.675,0.354,-0.011,-0.002,0.001
1682439971685,2023-04-25T19.26.11.685,0.364,-0.009,0.002,0.000
1682439971696,2023-04-25T19.26.11.696,0.375,-0.007,0.000,0.005
1682439971704,2023-04-25T19.26.11.704,0.383,-0.004,-0.001,0.001
1682439971715,2023-04-25T19.26.11.715,0.394,-0.005,-0.003,-0.003
1682439971725,2023-04-25T19.26.11.725,0.404,-0.001,-0.006,-0.005
1682439971735,2023-04-25T19.26.11.735,0.414,0.000,0.001,-0.006
1682439971745,2023-04-25T19.26.11.745,0.424,0.000,0.000,-0.006
1682439971756,2023-04-25T19.26.11.756,0.435,0.004,-0.011,-0.006
1682439971766,2023-04-25T19.26.11.766,0.445,0.003,-0.008,-0.011
1682439971776,2023-04-25T19.26.11.776,0.455,0.000,-0.005,-0.010
1682439971786,2023-04-25T19.26.11.786,0.465,-0.001,-0.008,-0.009
1682439971797,2023-04-25T19.26.11.797,0.476,-0.009,-0.010,-0.006
1682439971807,2023-04-25T19.26.11.807,0.486,-0.014,-0.003,-0.005
1682439971816,2023-04-25T19.26.11.816,0.495,-0.014,0.002,-0.001
1682439971826,2023-04-25T19.26.11.826,0.505,-0.011,0.004,0.002
1682439971836,2023-04-25T19.26.11.836,0.515,-0.008,0.001,0.001
1682439971847,2023-04-25T19.26.11.847,0.526,-0.002,-0.002,0.004
1682439971857,2023-04-25T19.26.11.857,0.536,-0.003,-0.004,-0.005
1682439971867,2023-04-25T19.26.11.867,0.546,-0.006,-0.011,-0.011
1682439971877,2023-04-25T19.26.11.877,0.556,-0.002,-0.010,-0.010
1682439971888,2023-04-25T19.26.11.888,0.567,0.000,-0.008,-0.008
1682439971898,2023-04-25T19.26.11.898,0.577,0.005,-0.001,-0.007
1682439971908,2023-04-25T19.26.11.908,0.587,0.002,0.003,-0.003
1682439971918,2023-04-25T19.26.11.918,0.597,-0.004,0.002,-0.003
1682439971927,2023-04-25T19.26.11.927,0.606,-0.005,-0.003,0.000
1682439971937,2023-04-25T19.26.11.937,0.616,-0.004,-0.006,-0.001
1682439971948,2023-04-25T19.26.11.948,0.627,-0.002,-0.004,-0.002
1682439971958,2023-04-25T19.26.11.958,0.637,-0.001,-0.004,-0.002
1682439971968,2023-04-25T19.26.11.968,0.647,-0.002,0.000,-0.005
1682439971978,2023-04-25T19.26.11.978,0.657,0.002,-0.001,-0.006
1682439971989,2023-04-25T19.26.11.989,0.668,0.001,-0.003,-0.006
1682439971999,2023-04-25T19.26.11.999,0.678,-0.004,-0.011,-0.009
1682439972009,2023-04-25T19.26.12.009,0.688,-0.009,-0.015,-0.009
1682439972019,2023-04-25T19.26.12.019,0.698,-0.008,-0.009,-0.007
1682439972030,2023-04-25T19.26.12.030,0.709,-0.007,-0.006,-0.003
1682439972040,2023-04-25T19.26.12.040,0.719,-0.006,0.003,0.000
1682439972049,2023-04-25T19.26.12.049,0.728,-0.008,0.002,-0.004
1682439972059,2023-04-25T19.26.12.059,0.738,-0.006,-0.004,-0.002
1682439972069,2023-04-25T19.26.12.069,0.748,-0.003,-0.003,-0.003
1682439972079,2023-04-25T19.26.12.079,0.758,-0.001,-0.002,-0.004
1682439972090,2023-04-25T19.26.12.090,0.769,-0.001,-0.003,-0.007
1682439972100,2023-04-25T19.26.12.100,0.779,0.000,-0.003,-0.007
1682439972110,2023-04-25T19.26.12.110,0.789,0.001,-0.008,-0.002
1682439972120,2023-04-25T19.26.12.120,0.799,-0.001,-0.005,0.000
1682439972131,2023-04-25T19.26.12.131,0.810,-0.003,-0.006,0.000
1682439972141,2023-04-25T19.26.12.141,0.820,-0.007,-0.013,-0.001
1682439972150,2023-04-25T19.26.12.150,0.829,-0.014,-0.009,-0.002
1682439972160,2023-04-25T19.26.12.160,0.839,-0.012,-0.005,-0.006
1682439972170,2023-04-25T19.26.12.170,0.849,-0.004,-0.006,-0.001
1682439972181,2023-04-25T19.26.12.181,0.860,-0.006,0.001,-0.004
1682439972191,2023-04-25T19.26.12.191,0.870,0.001,0.000,-0.004
1682439972201,2023-04-25T19.26.12.201,0.880,0.005,-0.001,-0.005
1682439972211,2023-04-25T19.26.12.211,0.890,0.000,0.002,-0.011
1682439972222,2023-04-25T19.26.12.222,0.901,0.000,-0.008,-0.007
1682439972232,2023-04-25T19.26.12.232,0.911,-0.007,-0.009,-0.009
1682439972242,2023-04-25T19.26.12.242,0.921,-0.013,-0.003,-0.011
