epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681372481601,2023-04-13T10.54.41.601,0.000,0.735,0.676,-0.051,0.000
1681372481611,2023-04-13T10.54.41.611,0.010,0.735,0.676,-0.051,0.000
1681372481621,2023-04-13T10.54.41.621,0.020,0.735,0.676,-0.051,0.000
1681372481632,2023-04-13T10.54.41.632,0.031,0.735,0.676,-0.050,0.000
1681372481642,2023-04-13T10.54.41.642,0.041,0.735,0.676,-0.050,0.000
1681372481651,2023-04-13T10.54.41.651,0.050,0.735,0.676,-0.050,0.000
1681372481661,2023-04-13T10.54.41.661,0.060,0.736,0.676,-0.050,0.000
1681372481671,2023-04-13T10.54.41.671,0.070,0.736,0.675,-0.050,0.000
1681372481681,2023-04-13T10.54.41.681,0.080,0.736,0.675,-0.051,0.000
1681372481692,2023-04-13T10.54.41.692,0.091,0.736,0.675,-0.051,0.000
1681372481702,2023-04-13T10.54.41.702,0.101,0.736,0.675,-0.051,0.000
1681372481712,2023-04-13T10.54.41.712,0.111,0.736,0.675,-0.051,0.000
1681372481722,2023-04-13T10.54.41.722,0.121,0.736,0.675,-0.051,0.000
1681372481733,2023-04-13T10.54.41.733,0.132,0.736,0.675,-0.051,0.000
1681372481743,2023-04-13T10.54.41.743,0.142,0.736,0.676,-0.051,0.000
1681372481753,2023-04-13T10.54.41.753,0.152,0.735,0.676,-0.051,0.000
1681372481763,2023-04-13T10.54.41.763,0.162,0.735,0.676,-0.051,0.000
1681372481772,2023-04-13T10.54.41.772,0.171,0.736,0.676,-0.051,0.000
1681372481782,2023-04-13T10.54.41.782,0.181,0.736,0.675,-0.051,0.000
1681372481793,2023-04-13T10.54.41.793,0.192,0.736,0.675,-0.050,0.000
1681372481803,2023-04-13T10.54.41.803,0.202,0.736,0.675,-0.050,0.000
1681372481813,2023-04-13T10.54.41.813,0.212,0.736,0.675,-0.051,0.000
1681372481823,2023-04-13T10.54.41.823,0.222,0.736,0.675,-0.051,0.000
1681372481834,2023-04-13T10.54.41.834,0.233,0.736,0.675,-0.051,0.000
1681372481844,2023-04-13T10.54.41.844,0.243,0.736,0.675,-0.051,0.000
1681372481854,2023-04-13T10.54.41.854,0.253,0.736,0.675,-0.051,0.000
