epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681619284237,2023-04-16T07.28.04.237,0.000,-0.002,-0.038,-0.002
1681619284248,2023-04-16T07.28.04.248,0.011,-0.003,-0.028,-0.001
1681619284258,2023-04-16T07.28.04.258,0.021,-0.005,-0.029,-0.004
1681619284268,2023-04-16T07.28.04.268,0.031,-0.008,-0.026,-0.008
1681619284278,2023-04-16T07.28.04.278,0.041,-0.010,-0.028,-0.007
1681619284289,2023-04-16T07.28.04.289,0.052,-0.009,-0.034,-0.006
1681619284299,2023-04-16T07.28.04.299,0.062,-0.010,-0.032,-0.012
1681619284309,2023-04-16T07.28.04.309,0.072,-0.009,-0.043,-0.012
1681619284319,2023-04-16T07.28.04.319,0.082,-0.006,-0.042,-0.008
1681619284328,2023-04-16T07.28.04.328,0.091,-0.008,-0.038,-0.009
1681619284339,2023-04-16T07.28.04.339,0.102,-0.005,-0.034,-0.003
1681619284349,2023-04-16T07.28.04.349,0.112,-0.003,-0.028,0.002
1681619284359,2023-04-16T07.28.04.359,0.122,-0.001,-0.027,0.000
1681619284369,2023-04-16T07.28.04.369,0.132,-0.007,-0.025,-0.001
1681619284380,2023-04-16T07.28.04.380,0.143,-0.008,-0.033,-0.005
1681619284390,2023-04-16T07.28.04.390,0.153,-0.006,-0.036,-0.012
1681619284400,2023-04-16T07.28.04.400,0.163,-0.012,-0.042,-0.018
1681619284410,2023-04-16T07.28.04.410,0.173,-0.014,-0.039,-0.014
1681619284421,2023-04-16T07.28.04.421,0.184,-0.010,-0.032,-0.006
1681619284431,2023-04-16T07.28.04.431,0.194,-0.008,-0.029,-0.003
1681619284440,2023-04-16T07.28.04.440,0.203,-0.007,-0.035,-0.002
1681619284450,2023-04-16T07.28.04.450,0.213,-0.006,-0.037,-0.003
1681619284460,2023-04-16T07.28.04.460,0.223,-0.006,-0.037,-0.002
1681619284470,2023-04-16T07.28.04.470,0.233,-0.007,-0.028,-0.002
1681619284481,2023-04-16T07.28.04.481,0.244,-0.011,-0.026,-0.009
1681619284491,2023-04-16T07.28.04.491,0.254,-0.009,-0.033,-0.009
1681619284501,2023-04-16T07.28.04.501,0.264,-0.005,-0.035,-0.004
1681619284511,2023-04-16T07.28.04.511,0.274,-0.006,-0.042,-0.008
1681619284522,2023-04-16T07.28.04.522,0.285,-0.004,-0.040,-0.010
1681619284532,2023-04-16T07.28.04.532,0.295,-0.004,-0.036,-0.008
1681619284542,2023-04-16T07.28.04.542,0.305,-0.007,-0.025,-0.010
1681619284551,2023-04-16T07.28.04.551,0.314,-0.009,-0.023,-0.009
1681619284561,2023-04-16T07.28.04.561,0.324,-0.007,-0.027,-0.008
1681619284571,2023-04-16T07.28.04.571,0.334,-0.002,-0.033,0.001
1681619284582,2023-04-16T07.28.04.582,0.345,-0.005,-0.042,-0.006
1681619284592,2023-04-16T07.28.04.592,0.355,-0.003,-0.043,-0.012
1681619284602,2023-04-16T07.28.04.602,0.365,-0.003,-0.038,-0.007
1681619284612,2023-04-16T07.28.04.612,0.375,-0.003,-0.031,-0.003
1681619284623,2023-04-16T07.28.04.623,0.386,-0.007,-0.028,-0.009
1681619284633,2023-04-16T07.28.04.633,0.396,-0.004,-0.029,-0.005
1681619284643,2023-04-16T07.28.04.643,0.406,-0.005,-0.038,0.002
1681619284653,2023-04-16T07.28.04.653,0.416,-0.004,-0.040,-0.010
1681619284662,2023-04-16T07.28.04.662,0.425,-0.007,-0.041,-0.015
1681619284673,2023-04-16T07.28.04.673,0.436,-0.004,-0.036,0.000
1681619284683,2023-04-16T07.28.04.683,0.446,-0.010,-0.022,-0.004
1681619284693,2023-04-16T07.28.04.693,0.456,-0.009,-0.027,-0.007
1681619284703,2023-04-16T07.28.04.703,0.466,-0.008,-0.033,-0.007
1681619284714,2023-04-16T07.28.04.714,0.477,-0.008,-0.037,-0.008
1681619284724,2023-04-16T07.28.04.724,0.487,-0.006,-0.042,-0.009
1681619284734,2023-04-16T07.28.04.734,0.497,-0.004,-0.042,-0.008
1681619284744,2023-04-16T07.28.04.744,0.507,0.000,-0.033,0.005
1681619284755,2023-04-16T07.28.04.755,0.518,0.000,-0.027,0.005
1681619284765,2023-04-16T07.28.04.765,0.528,-0.004,-0.026,-0.002
1681619284774,2023-04-16T07.28.04.774,0.537,-0.007,-0.031,-0.004
1681619284784,2023-04-16T07.28.04.784,0.547,-0.005,-0.039,-0.012
1681619284794,2023-04-16T07.28.04.794,0.557,-0.007,-0.042,-0.019
1681619284806,2023-04-16T07.28.04.806,0.569,-0.005,-0.034,-0.013
1681619284815,2023-04-16T07.28.04.815,0.578,-0.005,-0.027,-0.007
1681619284825,2023-04-16T07.28.04.825,0.588,-0.005,-0.023,-0.007
1681619284835,2023-04-16T07.28.04.835,0.598,-0.006,-0.027,-0.008
