epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681619284237,2023-04-16T07.28.04.237,0.000,0.723,0.690,-0.041,0.000
1681619284248,2023-04-16T07.28.04.248,0.011,0.723,0.690,-0.042,0.000
1681619284258,2023-04-16T07.28.04.258,0.021,0.723,0.690,-0.042,0.000
1681619284268,2023-04-16T07.28.04.268,0.031,0.723,0.690,-0.042,0.000
1681619284278,2023-04-16T07.28.04.278,0.041,0.723,0.690,-0.042,0.000
1681619284289,2023-04-16T07.28.04.289,0.052,0.723,0.690,-0.042,0.000
1681619284299,2023-04-16T07.28.04.299,0.062,0.723,0.690,-0.042,0.000
1681619284309,2023-04-16T07.28.04.309,0.072,0.723,0.690,-0.042,0.000
1681619284319,2023-04-16T07.28.04.319,0.082,0.723,0.690,-0.042,0.000
1681619284328,2023-04-16T07.28.04.328,0.091,0.723,0.690,-0.042,0.000
1681619284339,2023-04-16T07.28.04.339,0.102,0.723,0.690,-0.042,0.000
1681619284349,2023-04-16T07.28.04.349,0.112,0.723,0.690,-0.042,-0.001
1681619284359,2023-04-16T07.28.04.359,0.122,0.723,0.690,-0.042,-0.001
1681619284369,2023-04-16T07.28.04.369,0.132,0.723,0.690,-0.042,-0.001
1681619284380,2023-04-16T07.28.04.380,0.143,0.723,0.690,-0.042,-0.001
1681619284390,2023-04-16T07.28.04.390,0.153,0.723,0.689,-0.042,0.000
1681619284400,2023-04-16T07.28.04.400,0.163,0.723,0.689,-0.042,0.000
1681619284410,2023-04-16T07.28.04.410,0.173,0.723,0.689,-0.041,0.000
1681619284421,2023-04-16T07.28.04.421,0.184,0.723,0.690,-0.041,0.000
1681619284431,2023-04-16T07.28.04.431,0.194,0.722,0.690,-0.041,0.000
1681619284440,2023-04-16T07.28.04.440,0.203,0.722,0.691,-0.041,0.000
1681619284450,2023-04-16T07.28.04.450,0.213,0.722,0.691,-0.041,0.000
1681619284460,2023-04-16T07.28.04.460,0.223,0.722,0.691,-0.041,0.000
1681619284470,2023-04-16T07.28.04.470,0.233,0.722,0.691,-0.041,0.000
1681619284481,2023-04-16T07.28.04.481,0.244,0.722,0.690,-0.041,0.000
1681619284491,2023-04-16T07.28.04.491,0.254,0.722,0.690,-0.041,0.000
1681619284501,2023-04-16T07.28.04.501,0.264,0.722,0.690,-0.041,0.000
1681619284511,2023-04-16T07.28.04.511,0.274,0.722,0.691,-0.041,0.000
1681619284522,2023-04-16T07.28.04.522,0.285,0.722,0.691,-0.041,0.000
1681619284532,2023-04-16T07.28.04.532,0.295,0.722,0.691,-0.041,0.000
1681619284542,2023-04-16T07.28.04.542,0.305,0.722,0.691,-0.041,0.000
1681619284551,2023-04-16T07.28.04.551,0.314,0.722,0.691,-0.041,0.000
1681619284561,2023-04-16T07.28.04.561,0.324,0.722,0.691,-0.041,0.000
1681619284571,2023-04-16T07.28.04.571,0.334,0.722,0.691,-0.041,0.000
1681619284582,2023-04-16T07.28.04.582,0.345,0.722,0.691,-0.041,0.000
1681619284592,2023-04-16T07.28.04.592,0.355,0.722,0.691,-0.041,0.000
1681619284602,2023-04-16T07.28.04.602,0.365,0.722,0.690,-0.041,0.000
1681619284612,2023-04-16T07.28.04.612,0.375,0.722,0.690,-0.041,0.000
1681619284623,2023-04-16T07.28.04.623,0.386,0.722,0.690,-0.041,0.000
1681619284633,2023-04-16T07.28.04.633,0.396,0.722,0.690,-0.041,0.000
1681619284643,2023-04-16T07.28.04.643,0.406,0.722,0.690,-0.041,0.000
1681619284653,2023-04-16T07.28.04.653,0.416,0.723,0.690,-0.041,0.000
1681619284662,2023-04-16T07.28.04.662,0.425,0.722,0.690,-0.041,0.000
1681619284673,2023-04-16T07.28.04.673,0.436,0.722,0.690,-0.041,0.000
1681619284683,2023-04-16T07.28.04.683,0.446,0.722,0.690,-0.041,0.000
1681619284693,2023-04-16T07.28.04.693,0.456,0.722,0.690,-0.041,-0.001
1681619284703,2023-04-16T07.28.04.703,0.466,0.722,0.690,-0.041,-0.001
1681619284714,2023-04-16T07.28.04.714,0.477,0.722,0.690,-0.041,-0.001
1681619284724,2023-04-16T07.28.04.724,0.487,0.722,0.690,-0.041,-0.001
1681619284734,2023-04-16T07.28.04.734,0.497,0.722,0.690,-0.041,-0.001
1681619284744,2023-04-16T07.28.04.744,0.507,0.722,0.690,-0.041,-0.001
1681619284755,2023-04-16T07.28.04.755,0.518,0.722,0.690,-0.041,-0.001
1681619284765,2023-04-16T07.28.04.765,0.528,0.723,0.690,-0.041,-0.001
1681619284774,2023-04-16T07.28.04.774,0.537,0.723,0.690,-0.041,-0.001
1681619284784,2023-04-16T07.28.04.784,0.547,0.723,0.690,-0.041,-0.001
1681619284794,2023-04-16T07.28.04.794,0.557,0.723,0.690,-0.041,-0.001
1681619284806,2023-04-16T07.28.04.806,0.569,0.723,0.690,-0.041,-0.001
1681619284815,2023-04-16T07.28.04.815,0.578,0.723,0.690,-0.040,-0.001
1681619284825,2023-04-16T07.28.04.825,0.588,0.723,0.690,-0.040,-0.001
1681619284835,2023-04-16T07.28.04.835,0.598,0.723,0.690,-0.040,-0.001
1681619284845,2023-04-16T07.28.04.845,0.608,0.723,0.690,-0.040,-0.001
1681619284856,2023-04-16T07.28.04.856,0.619,0.723,0.690,-0.040,-0.001
1681619284866,2023-04-16T07.28.04.866,0.629,0.723,0.690,-0.040,-0.001
1681619284876,2023-04-16T07.28.04.876,0.639,0.723,0.690,-0.041,-0.001
1681619284886,2023-04-16T07.28.04.886,0.649,0.722,0.690,-0.040,-0.001
1681619284895,2023-04-16T07.28.04.895,0.658,0.722,0.690,-0.040,-0.001
1681619284905,2023-04-16T07.28.04.905,0.668,0.722,0.691,-0.040,-0.001
1681619284916,2023-04-16T07.28.04.916,0.679,0.722,0.691,-0.040,-0.001
1681619284926,2023-04-16T07.28.04.926,0.689,0.722,0.691,-0.040,-0.001
1681619284936,2023-04-16T07.28.04.936,0.699,0.722,0.691,-0.040,-0.001
1681619284946,2023-04-16T07.28.04.946,0.709,0.722,0.691,-0.040,-0.001
1681619284957,2023-04-16T07.28.04.957,0.720,0.722,0.691,-0.040,-0.001
1681619284967,2023-04-16T07.28.04.967,0.730,0.722,0.691,-0.040,-0.001
1681619284977,2023-04-16T07.28.04.977,0.740,0.722,0.691,-0.041,-0.001
1681619284987,2023-04-16T07.28.04.987,0.750,0.722,0.691,-0.041,-0.001
1681619284996,2023-04-16T07.28.04.996,0.759,0.722,0.691,-0.041,-0.001
1681619285006,2023-04-16T07.28.05.006,0.769,0.722,0.691,-0.041,-0.001
1681619285017,2023-04-16T07.28.05.017,0.780,0.722,0.691,-0.041,-0.001
1681619285027,2023-04-16T07.28.05.027,0.790,0.721,0.691,-0.041,-0.001
1681619285037,2023-04-16T07.28.05.037,0.800,0.721,0.691,-0.041,-0.002
1681619285048,2023-04-16T07.28.05.048,0.811,0.721,0.691,-0.040,-0.002
1681619285058,2023-04-16T07.28.05.058,0.821,0.721,0.691,-0.040,-0.002
1681619285068,2023-04-16T07.28.05.068,0.831,0.721,0.691,-0.040,-0.002
1681619285078,2023-04-16T07.28.05.078,0.841,0.721,0.691,-0.040,-0.002
1681619285089,2023-04-16T07.28.05.089,0.852,0.721,0.691,-0.040,-0.002
1681619285097,2023-04-16T07.28.05.097,0.860,0.721,0.692,-0.040,-0.002
1681619285108,2023-04-16T07.28.05.108,0.871,0.721,0.692,-0.040,-0.002
1681619285118,2023-04-16T07.28.05.118,0.881,0.721,0.692,-0.039,-0.002
1681619285130,2023-04-16T07.28.05.130,0.893,0.721,0.692,-0.039,-0.002
1681619285138,2023-04-16T07.28.05.138,0.901,0.721,0.692,-0.039,-0.002
1681619285149,2023-04-16T07.28.05.149,0.912,0.721,0.692,-0.039,-0.002
1681619285159,2023-04-16T07.28.05.159,0.922,0.721,0.692,-0.039,-0.002
1681619285169,2023-04-16T07.28.05.169,0.932,0.720,0.692,-0.039,-0.002
1681619285179,2023-04-16T07.28.05.179,0.942,0.720,0.692,-0.039,-0.002
1681619285190,2023-04-16T07.28.05.190,0.953,0.720,0.692,-0.039,-0.002
1681619285200,2023-04-16T07.28.05.200,0.963,0.720,0.692,-0.039,-0.002
1681619285210,2023-04-16T07.28.05.210,0.973,0.720,0.692,-0.038,-0.001
