epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682400904119,2023-04-25T08.35.04.119,0.000,-0.001,-0.032,-0.005
1682400904129,2023-04-25T08.35.04.129,0.010,-0.009,-0.025,0.001
1682400904138,2023-04-25T08.35.04.138,0.019,-0.007,-0.038,-0.002
1682400904148,2023-04-25T08.35.04.148,0.029,-0.013,-0.042,0.003
1682400904158,2023-04-25T08.35.04.158,0.039,-0.021,-0.039,0.010
1682400904169,2023-04-25T08.35.04.169,0.050,-0.018,-0.037,0.004
1682400904179,2023-04-25T08.35.04.179,0.060,-0.014,-0.032,-0.002
1682400904189,2023-04-25T08.35.04.189,0.070,-0.013,-0.019,-0.004
1682400904199,2023-04-25T08.35.04.199,0.080,-0.006,-0.018,-0.010
1682400904210,2023-04-25T08.35.04.210,0.091,0.001,-0.031,-0.009
1682400904220,2023-04-25T08.35.04.220,0.101,-0.002,-0.038,-0.008
1682400904230,2023-04-25T08.35.04.230,0.111,-0.011,-0.058,-0.001
1682400904239,2023-04-25T08.35.04.239,0.120,-0.038,-0.067,0.017
1682400904249,2023-04-25T08.35.04.249,0.130,-0.037,-0.055,0.016
1682400904260,2023-04-25T08.35.04.260,0.141,-0.007,-0.045,-0.005
1682400904270,2023-04-25T08.35.04.270,0.151,-0.012,-0.045,-0.006
1682400904280,2023-04-25T08.35.04.280,0.161,-0.031,-0.017,0.003
1682400904290,2023-04-25T08.35.04.290,0.171,-0.017,-0.022,-0.012
1682400904301,2023-04-25T08.35.04.301,0.182,-0.018,-0.024,-0.005
1682400904311,2023-04-25T08.35.04.311,0.192,0.001,-0.016,-0.019
1682400904321,2023-04-25T08.35.04.321,0.202,0.004,-0.017,-0.023
1682400904331,2023-04-25T08.35.04.331,0.212,0.007,0.000,-0.029
1682400904342,2023-04-25T08.35.04.342,0.223,0.001,-0.007,-0.027
1682400904350,2023-04-25T08.35.04.350,0.231,-0.004,-0.014,-0.018
1682400904361,2023-04-25T08.35.04.361,0.242,-0.006,-0.036,-0.012
1682400904371,2023-04-25T08.35.04.371,0.252,-0.002,-0.059,-0.009
1682400904381,2023-04-25T08.35.04.381,0.262,0.008,-0.065,-0.007
1682400904391,2023-04-25T08.35.04.391,0.272,-0.015,-0.031,-0.002
1682400904402,2023-04-25T08.35.04.402,0.283,-0.020,-0.014,0.001
1682400904412,2023-04-25T08.35.04.412,0.293,-0.028,-0.009,0.001
1682400904422,2023-04-25T08.35.04.422,0.303,-0.017,-0.010,-0.001
1682400904432,2023-04-25T08.35.04.432,0.313,-0.006,-0.030,-0.003
1682400904443,2023-04-25T08.35.04.443,0.324,-0.007,-0.041,-0.008
1682400904453,2023-04-25T08.35.04.453,0.334,-0.012,-0.062,0.001
1682400904462,2023-04-25T08.35.04.462,0.343,-0.015,-0.064,0.007
1682400904472,2023-04-25T08.35.04.472,0.353,-0.019,-0.048,0.000
1682400904482,2023-04-25T08.35.04.482,0.363,-0.025,-0.032,0.001
1682400904492,2023-04-25T08.35.04.492,0.373,-0.015,-0.025,-0.006
1682400904503,2023-04-25T08.35.04.503,0.384,-0.015,-0.005,-0.011
