epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1682341586628,2023-04-24T16.06.26.628,0.000,0.727,0.680,0.098,0.000
1682341586638,2023-04-24T16.06.26.638,0.010,0.727,0.680,0.098,0.000
1682341586649,2023-04-24T16.06.26.649,0.021,0.727,0.680,0.098,0.001
1682341586659,2023-04-24T16.06.26.659,0.031,0.727,0.680,0.097,0.001
1682341586669,2023-04-24T16.06.26.669,0.041,0.726,0.680,0.097,0.001
1682341586680,2023-04-24T16.06.26.680,0.052,0.726,0.680,0.097,0.001
1682341586690,2023-04-24T16.06.26.690,0.062,0.726,0.681,0.098,0.001
1682341586700,2023-04-24T16.06.26.700,0.072,0.726,0.681,0.098,0.001
1682341586710,2023-04-24T16.06.26.710,0.082,0.726,0.681,0.098,0.001
1682341586721,2023-04-24T16.06.26.721,0.093,0.725,0.681,0.098,0.001
1682341586731,2023-04-24T16.06.26.731,0.103,0.725,0.681,0.098,0.001
1682341586740,2023-04-24T16.06.26.740,0.112,0.725,0.682,0.098,0.001
1682341586750,2023-04-24T16.06.26.750,0.122,0.725,0.682,0.098,0.002
1682341586760,2023-04-24T16.06.26.760,0.132,0.724,0.682,0.098,0.002
1682341586770,2023-04-24T16.06.26.770,0.142,0.724,0.683,0.097,0.002
1682341586781,2023-04-24T16.06.26.781,0.153,0.724,0.683,0.097,0.002
1682341586791,2023-04-24T16.06.26.791,0.163,0.724,0.683,0.097,0.002
1682341586801,2023-04-24T16.06.26.801,0.173,0.724,0.683,0.097,0.003
1682341586811,2023-04-24T16.06.26.811,0.183,0.724,0.683,0.097,0.003
1682341586822,2023-04-24T16.06.26.822,0.194,0.724,0.683,0.097,0.003
1682341586832,2023-04-24T16.06.26.832,0.204,0.724,0.683,0.097,0.003
1682341586841,2023-04-24T16.06.26.841,0.213,0.724,0.683,0.097,0.003
1682341586851,2023-04-24T16.06.26.851,0.223,0.724,0.683,0.097,0.002
1682341586861,2023-04-24T16.06.26.861,0.233,0.724,0.683,0.097,0.002
1682341586871,2023-04-24T16.06.26.871,0.243,0.724,0.683,0.097,0.002
1682341586882,2023-04-24T16.06.26.882,0.254,0.724,0.683,0.097,0.002
1682341586892,2023-04-24T16.06.26.892,0.264,0.724,0.683,0.097,0.002
1682341586902,2023-04-24T16.06.26.902,0.274,0.724,0.683,0.097,0.002
1682341586912,2023-04-24T16.06.26.912,0.284,0.724,0.683,0.097,0.002
1682341586923,2023-04-24T16.06.26.923,0.295,0.724,0.683,0.097,0.002
1682341586933,2023-04-24T16.06.26.933,0.305,0.724,0.683,0.097,0.002
1682341586943,2023-04-24T16.06.26.943,0.315,0.724,0.683,0.097,0.001
1682341586953,2023-04-24T16.06.26.953,0.325,0.724,0.683,0.097,0.001
1682341586962,2023-04-24T16.06.26.962,0.334,0.724,0.683,0.097,0.001
1682341586972,2023-04-24T16.06.26.972,0.344,0.724,0.683,0.097,0.001
1682341586983,2023-04-24T16.06.26.983,0.355,0.724,0.683,0.097,0.000
1682341586993,2023-04-24T16.06.26.993,0.365,0.724,0.683,0.097,0.000
1682341587003,2023-04-24T16.06.27.003,0.375,0.724,0.683,0.096,0.000
1682341587013,2023-04-24T16.06.27.013,0.385,0.723,0.684,0.096,0.000
1682341587024,2023-04-24T16.06.27.024,0.396,0.723,0.684,0.096,0.000
1682341587034,2023-04-24T16.06.27.034,0.406,0.723,0.684,0.096,0.000
1682341587044,2023-04-24T16.06.27.044,0.416,0.723,0.684,0.096,0.000
1682341587055,2023-04-24T16.06.27.055,0.427,0.723,0.684,0.096,0.000
1682341587063,2023-04-24T16.06.27.063,0.435,0.723,0.684,0.096,0.001
1682341587074,2023-04-24T16.06.27.074,0.446,0.723,0.684,0.096,0.001
1682341587084,2023-04-24T16.06.27.084,0.456,0.723,0.684,0.096,0.001
1682341587094,2023-04-24T16.06.27.094,0.466,0.723,0.684,0.096,0.001
1682341587104,2023-04-24T16.06.27.104,0.476,0.723,0.684,0.096,0.001
1682341587115,2023-04-24T16.06.27.115,0.487,0.723,0.684,0.096,0.001
1682341587125,2023-04-24T16.06.27.125,0.497,0.723,0.684,0.096,0.001
1682341587135,2023-04-24T16.06.27.135,0.507,0.723,0.684,0.096,0.001
1682341587145,2023-04-24T16.06.27.145,0.517,0.723,0.684,0.096,0.001
