epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1681359913911,2023-04-13T07.25.13.911,0.000,1.000,-0.011,0.010,0.000
1681359913918,2023-04-13T07.25.13.918,0.007,1.000,-0.011,0.010,0.000
1681359913933,2023-04-13T07.25.13.933,0.022,1.000,-0.011,0.010,0.000
1681359913941,2023-04-13T07.25.13.941,0.030,1.000,-0.011,0.010,0.000
1681359913949,2023-04-13T07.25.13.949,0.038,1.000,-0.011,0.010,0.000
1681359913964,2023-04-13T07.25.13.964,0.053,1.000,-0.011,0.010,0.000
1681359913971,2023-04-13T07.25.13.971,0.060,1.000,-0.012,0.010,0.000
1681359913979,2023-04-13T07.25.13.979,0.068,1.000,-0.012,0.011,0.000
1681359913993,2023-04-13T07.25.13.993,0.082,1.000,-0.012,0.011,0.000
1681359914001,2023-04-13T07.25.14.001,0.090,1.000,-0.012,0.011,0.000
1681359914008,2023-04-13T07.25.14.008,0.097,1.000,-0.012,0.011,0.000
1681359914031,2023-04-13T07.25.14.031,0.120,1.000,-0.012,0.011,0.000
1681359914033,2023-04-13T07.25.14.033,0.122,1.000,-0.012,0.011,0.000
1681359914039,2023-04-13T07.25.14.039,0.128,1.000,-0.012,0.011,0.000
1681359914054,2023-04-13T07.25.14.054,0.143,1.000,-0.012,0.011,0.000
1681359914061,2023-04-13T07.25.14.061,0.150,1.000,-0.012,0.011,0.000
1681359914069,2023-04-13T07.25.14.069,0.158,1.000,-0.012,0.011,0.000
1681359914084,2023-04-13T07.25.14.084,0.173,1.000,-0.012,0.011,0.000
1681359914091,2023-04-13T07.25.14.091,0.180,1.000,-0.012,0.011,0.000
1681359914106,2023-04-13T07.25.14.106,0.195,1.000,-0.012,0.011,0.000
1681359914113,2023-04-13T07.25.14.113,0.202,1.000,-0.012,0.011,0.000
1681359914128,2023-04-13T07.25.14.128,0.217,1.000,-0.012,0.011,0.000
1681359914136,2023-04-13T07.25.14.136,0.225,1.000,-0.012,0.011,0.000
1681359914144,2023-04-13T07.25.14.144,0.233,1.000,-0.012,0.011,0.000
1681359914152,2023-04-13T07.25.14.152,0.241,1.000,-0.012,0.011,0.000
1681359914166,2023-04-13T07.25.14.166,0.255,1.000,-0.012,0.012,0.000
1681359914252,2023-04-13T07.25.14.252,0.341,1.000,-0.012,0.012,0.000
1681359914256,2023-04-13T07.25.14.256,0.345,1.000,-0.012,0.012,0.000
1681359914257,2023-04-13T07.25.14.257,0.346,1.000,-0.012,0.012,0.000
1681359914260,2023-04-13T07.25.14.260,0.349,1.000,-0.012,0.012,0.000
1681359914261,2023-04-13T07.25.14.261,0.350,1.000,-0.012,0.012,0.000
1681359914263,2023-04-13T07.25.14.263,0.352,1.000,-0.012,0.012,0.000
1681359914264,2023-04-13T07.25.14.264,0.353,1.000,-0.012,0.011,0.000
1681359914267,2023-04-13T07.25.14.267,0.356,1.000,-0.012,0.011,0.000
1681359914268,2023-04-13T07.25.14.268,0.357,1.000,-0.012,0.011,0.000
1681359914270,2023-04-13T07.25.14.270,0.359,1.000,-0.012,0.011,0.000
1681359914272,2023-04-13T07.25.14.272,0.361,1.000,-0.012,0.012,0.000
1681359914286,2023-04-13T07.25.14.286,0.375,1.000,-0.012,0.012,0.000
1681359914293,2023-04-13T07.25.14.293,0.382,1.000,-0.012,0.012,0.000
1681359914301,2023-04-13T07.25.14.301,0.390,1.000,-0.012,0.012,0.000
1681359914316,2023-04-13T07.25.14.316,0.405,1.000,-0.012,0.012,0.000
1681359914323,2023-04-13T07.25.14.323,0.412,1.000,-0.012,0.011,0.000
1681359914339,2023-04-13T07.25.14.339,0.428,1.000,-0.011,0.011,0.000
1681359914346,2023-04-13T07.25.14.346,0.435,1.000,-0.011,0.011,0.000
1681359914354,2023-04-13T07.25.14.354,0.443,1.000,-0.011,0.011,0.000
1681359914369,2023-04-13T07.25.14.369,0.458,1.000,-0.012,0.011,0.000
1681359914383,2023-04-13T07.25.14.383,0.472,1.000,-0.012,0.012,0.000
1681359914386,2023-04-13T07.25.14.386,0.475,1.000,-0.012,0.012,0.000
1681359914399,2023-04-13T07.25.14.399,0.488,1.000,-0.012,0.012,0.000
1681359914406,2023-04-13T07.25.14.406,0.495,1.000,-0.012,0.012,0.000
1681359914414,2023-04-13T07.25.14.414,0.503,1.000,-0.012,0.012,0.000
1681359914429,2023-04-13T07.25.14.429,0.518,1.000,-0.012,0.012,0.000
1681359914436,2023-04-13T07.25.14.436,0.525,1.000,-0.012,0.012,0.000
1681359914451,2023-04-13T07.25.14.451,0.540,1.000,-0.012,0.012,0.000
1681359914459,2023-04-13T07.25.14.459,0.548,1.000,-0.012,0.012,0.000
1681359914466,2023-04-13T07.25.14.466,0.555,1.000,-0.012,0.012,0.000
1681359914473,2023-04-13T07.25.14.473,0.562,1.000,-0.012,0.012,0.000
1681359914489,2023-04-13T07.25.14.489,0.578,1.000,-0.012,0.012,0.000
1681359914496,2023-04-13T07.25.14.496,0.585,1.000,-0.012,0.012,0.000
1681359914504,2023-04-13T07.25.14.504,0.593,1.000,-0.012,0.012,0.000
1681359914519,2023-04-13T07.25.14.519,0.608,1.000,-0.012,0.012,0.000
