,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.457884060933406,1.09141922309995,0.0699807188016663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95558583460675,-0.675703103987833,0.184315094441272,3.74964463584509,-2.06727159711024,0.597341182031517,1.85644531892556,-1.47547515139123,0.0967823807057258,0,0,0,0.21342577731058,-0.571657926527646,-0.0617967752909543,-0.619821068181601,-0.561999819229772,0.105242339897705,-0.0112020421714413,-0.340263465146068,0.227895487400797,0,0,0
1,1,-0.669427227444096,1.16947612189675,-0.0393159115046675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43395172189547,-1.0237903347966,0.975123169468715,4.13838122024223,-2.16980133727052,1.6835868502443,3.28215309668372,-0.771862401391699,-0.988071086092159,0,0,0,0.304599042216656,-0.668150066084357,0.106944101778851,-0.534585085083156,-0.415432683871341,-0.103878234166082,0.0593585202879925,-0.0576628784707154,-0.0650149615911459,0,0,0
2,2,-0.614420284080402,1.24661422713496,-0.0922114698599881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8003698371362,-0.987371028765626,1.35607277650923,4.27215258063201,-2.04548068023229,2.97902663933585,0.91526220095958,-0.193378905687578,1.48124698040285,0,0,0,0.569079888085666,-0.864456795097656,0.221283594290389,-0.56289035828312,-0.417294427439055,0.0864578992285239,0.131504538069741,-0.259593189458015,0.172891088374106,0,0,0
3,3,-0.373606559424022,1.29063518497748,-0.294042102041786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85393363215877,-0.822183273737703,1.19961786453918,3.72336390954662,-1.8200903206799,2.71934440950333,0.73899360141064,-1.03947799796569,0.700471609583712,0,0,0,0.61959546536485,-1.04128648608148,0.177927385454927,-0.586476080101074,-0.273932677462674,0.127776183845354,-0.00704783002656428,-0.399811779911301,0.0983533478327416,0,0,0
4,4,-0.109512322794551,1.14671895056275,-0.453958782116098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65787974971136,-0.648777838168076,1.11998230953365,3.23022848885961,-1.60972686477949,1.95726539695495,2.13011315985957,-0.696303198514957,0.774924641949877,0,0,0,0.432455789054761,-1.01225816702358,0.237874878545282,-0.477241355784994,0.102224001858931,0.087927129383262,0.132197330668568,-0.290676100068742,-0.0510853416833594,0,0,0
5,5,0.107354275152542,0.818733596848086,-0.713542366636101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13604211412607,-0.30667034116635,1.08706404419763,2.75745756837059,-1.1801738067622,1.85578110013493,1.92082792766681,-1.17441305513067,0.899604079890519,0,0,0,0.310912417861018,-0.610284610451641,0.142462960477017,-0.186380260033286,0.202799966669751,0.0741488341806793,-0.265180752975458,-0.0801235165468695,0.279863504164405,0,0,0
6,6,0.272508600600458,0.423125429177669,-0.780620788368786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25160142991714,-0.0372336007214723,0.99788805167189,2.57566619008593,-0.57448204403119,1.96153507135441,1.85411271670674,-1.11570011611302,0.963990217939678,0,0,0,0.505211835382511,-0.202275677364918,0.553924217950625,0.190650997932769,0.226424699077995,-0.154991074680131,-0.260235907159675,0.477153940510797,0.512423500758494,0,0,0
7,7,0.307655935793543,0.0630126735083699,-0.747193408324826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615950637376628,0.214922653980447,1.02152387958485,2.15653459102854,-0.0325274407486864,1.90005812015916,1.11964090606633,-1.94269239177925,1.24411442251223,0,0,0,0.501438836262985,-0.367474180728703,0.560802588451716,0.61846905217663,0.274587421773822,-0.2661991404554,0.0601317280224813,0.233611442639831,-0.182114772361215,0,0,0
8,8,0.210405644900712,-0.252976407564941,-0.67303490160859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1473727982472,0.501670240448637,0.884511800044397,1.0333765887422,0.227925514603665,2.15282980330851,1.53353126956651,-2.90998161510485,1.46420880659612,0,0,0,0.587802411554139,-0.136552469336406,0.0664267885421648,0.750702515924188,0.090814920684959,-0.175823172434395,0.223016186923101,-0.0638442169705128,-0.0233665305958173,0,0,0
9,9,0.217710331636283,-0.562932508721026,-0.635933666220334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0089144498681,0.751667011049038,0.603769088739039,-0.0629803567138487,0.395844469075388,1.99918459845054,0.749316029134699,-0.952532931210026,0.815031522205226,0,0,0,0.728718766028039,0.0611323394812721,-0.235647866139935,0.739787038790232,-0.0980877154721704,0.0184661623903342,0.100591686720112,0.335499477536743,-0.0281355049931129,0,0,0
